id;Identifiant;GPA
0;ZZRGVIHQSKVOHHBGEKFK;0,307692308
1;ZZLZSNPCQVXENELLDICV;2,230769231
2;ZZHVNGOYLOSRUCBIVRIE;2,133333333
3;ZYVQMZRLCORQVMCKYEZX;2,846153846
4;ZYRIDVJTLWLMBDGFLDBJ;3,076923077
5;ZXFQQIULLJAZMJYZHBGO;0,785714286
6;ZXDHXYLJKEHEXKAHCNFE;2,076923077
7;ZWYXCQOAHRSYYZJHAMBC;2,210526316
8;ZWXVCDVNHLMXVRJTKNTM;1,470588235
9;ZWRTDPUCLOKPYLTIIDKF;0,838709677
10;ZWPRKKWDLRSVQNZSLJQF;1,307692308
11;ZWNFKSZJXEWNGJFLYTYJ;0,583333333
12;ZWAHSYHVTEWQWEQHXTHN;2,692307692
13;ZVSTKVZMPVESNEEQDWRY;0,769230769
14;ZVQFINOWTUEJDAVKIXZN;1,740963855
15;ZVKACAWUCZVJJROPWZGM;3,392156863
16;ZVGKBZKAEIVYGHYYMAIL;2,230769231
17;ZUVSXSCLLBKXMPOCHGKI;2,846153846
18;ZUKVFOTBCIHPFNMEYVBD;0,928571429
19;ZUKHJWKGYVGZYWGOVFZD;2,666666667
20;ZTZNRFPDROZFGMRJTZFR;0,384615385
21;ZTQLAPZHWUPZMYPNQMRF;1,788043478
22;ZTPXJCPKDHOXPXBRWEXR;1,167741935
23;ZTEDFFDJOARBUCBXGBSO;0
24;ZTBSGVTHMNXURFXCDWOL;0,4
25;ZSWQGZWJCRJHEHJNRWFO;1
26;ZSPTTZNRLQXSJRRLFJBB;2,307692308
27;ZSLQIYAYRWEPSNJJYCTS;0,769230769
28;ZRYTZKINLUCIUPJSFLAG;1,683544304
29;ZRXTIDFVYYCPZLKMKZKW;0,366666667
30;ZRRVJKMKSPXGWQIOLKYC;0,307692308
31;ZRPMZOFATJTMKGEGUWMO;3,292993631
32;ZRILIUZHIAQZQFIRIIGT;0,538461538
33;ZQPUNWSINKLGREUIWWSU;0
34;ZQFQKYWXGZKJDKIVNNKE;0,688172043
35;ZPUUVQANHAXVXLYADPNS;2,717791411
36;ZPRQDFIJHGAJXRKGVGAA;2,307692308
37;ZOQWFVBAIAYLGGFZMZDU;0,615384615
38;ZOJTPGRWKHZEVPPBDNJW;0,384615385
39;ZOBCCPUXLWEBNRVARLWX;2,740740741
40;ZNYVVDNVANYSJAXLQJHW;0,526315789
41;ZNWIKANJFJLPZSCPJVRE;0,142857143
42;ZNVDRXKBKHZOJLKAYPWG;2,857142857
43;ZNMHWBHXGHBNRIBJEKNT;3,461538462
44;ZNLNJOCOFFXPLXFXONKG;1,285714286
45;ZNDMPQMYKBWYGCANORJP;3,425806452
46;ZMRLCAXKYSTLVLBGINHU;0,846153846
47;ZMGCDLRMIHDDGLCEVUTY;0,6
48;ZKYZDRWPDEQYGGPGXCAX;2,133333333
49;ZKTERCOZTANQWFMFUVCZ;1,366666667
50;ZKIITLBIBZGLHQYHUPLP;2,075581395
51;ZKHXQEVDPZPDJZGTYUHZ;2,662068966
52;ZKGRRPXJIRLUTCGIFIVX;2,071428571
53;ZKEGFGRAGDXJITISRBUS;0,217391304
54;ZKEEQAQXFSMKOGMGWGDY;2,097222222
55;ZJVWNNWDEEGGURVYGQMM;2,03030303
56;ZJURKZTMZVAWAMEFETHC;1,684210526
57;ZJQOHELDYBAFLABTAZJG;0,214285714
58;ZJNPERCIHTTPDKMLWPAT;2,533333333
59;ZJENESITBEYRBEUOFMBO;3,461538462
60;ZJAPURUSFIJHEEPEGJOW;0,866666667
61;ZIUBNGIWTJYKRRONMULE;1,066666667
62;ZITWJHMSYPDFQYOMFLWB;2,153846154
63;ZIPPBAJMNAETMTWOIZNW;0
64;ZIDXNRDZMOGLRESZSRKY;0
