Source;Target;Code_Activity;timestamp_start;timestamp_end;Start;End;Cluster
LXXHWVJRYNNVMIDDKVKE;KHYVGUUDJSUTAWHMCNIH;297730;1545087600;1545087600;18/12/2018;18/12/2018;3
LXXHWVJRYNNVMIDDKVKE;UKTLROHAEQLJVXARBWXX;297730;1545087600;1545087600;18/12/2018;18/12/2018;3
LXXHWVJRYNNVMIDDKVKE;XLAOBSOUOYBFGDJCYMUF;297730;1545087600;1545087600;18/12/2018;18/12/2018;3
LXXHWVJRYNNVMIDDKVKE;ILOPUAYWAUSLDUVTYAIG;297730;1545087600;1545087600;18/12/2018;18/12/2018;3
LXXHWVJRYNNVMIDDKVKE;OFPOTOBJRZKEFRUDMSJE;297730;1545087600;1545087600;18/12/2018;18/12/2018;3
BQRSVODYQWJLXRYBOFXN;ZTEDFFDJOARBUCBXGBSO;297730;1545087600;1545087600;18/12/2018;18/12/2018;5
BQRSVODYQWJLXRYBOFXN;NYMZAYVMROPNZBQKIZYI;297730;1545087600;1545087600;18/12/2018;18/12/2018;5
BQRSVODYQWJLXRYBOFXN;DFWSSNYTCWEALAYGGVAQ;297730;1545087600;1545087600;18/12/2018;18/12/2018;5
BQRSVODYQWJLXRYBOFXN;OFUUQPVXSNGGWEQFRZFF;297730;1545087600;1545087600;18/12/2018;18/12/2018;5
BQRSVODYQWJLXRYBOFXN;ZHVLSZRTMKMNVBSXJYTF;297730;1545087600;1545087600;18/12/2018;18/12/2018;5
AJCVGTSUEDCXDBUNBBNJ;YEZCXXTRZXQSAJTMYOYK;297730;1545087600;1545087600;18/12/2018;18/12/2018;4
AJCVGTSUEDCXDBUNBBNJ;QYITAXWCKKGRTUJGJSAR;297730;1545087600;1545087600;18/12/2018;18/12/2018;4
AJCVGTSUEDCXDBUNBBNJ;LHWXJWQYLZKVRYYVWGIQ;297730;1545087600;1545087600;18/12/2018;18/12/2018;4
AJCVGTSUEDCXDBUNBBNJ;CNOTSASSGREGWJULQXMX;297730;1545087600;1545087600;18/12/2018;18/12/2018;4
AJCVGTSUEDCXDBUNBBNJ;XNHACUXTCEQOVFQCLVXG;297730;1545087600;1545087600;18/12/2018;18/12/2018;4
AJCVGTSUEDCXDBUNBBNJ;EQGADNGIKUKUJEWICVPD;297730;1545087600;1545087600;18/12/2018;18/12/2018;4
AJCVGTSUEDCXDBUNBBNJ;GRZLXIUSXVLXFCQJWBNF;297730;1545087600;1545087600;18/12/2018;18/12/2018;4
AJCVGTSUEDCXDBUNBBNJ;XLIQDXXIPZTATZNJYJMD;297730;1545087600;1545087600;18/12/2018;18/12/2018;4
AJCVGTSUEDCXDBUNBBNJ;NCSEFSTQUMMFFMPQACLX;297730;1545087600;1545087600;18/12/2018;18/12/2018;4
MUKYUMQLDCPRUBUDVDRY;DLDCNIBTTLLXNUBDEJLZ;297730;1545087600;1545087600;18/12/2018;18/12/2018;7
MUKYUMQLDCPRUBUDVDRY;NWZQXUIGXALWRLSAWJHZ;297730;1545087600;1545087600;18/12/2018;18/12/2018;7
MUKYUMQLDCPRUBUDVDRY;SIASTBDJAYRLKHKTZRCX;297730;1545087600;1545087600;18/12/2018;18/12/2018;7
MUKYUMQLDCPRUBUDVDRY;HQUPQHCDLORPJPUMZSMU;297730;1545087600;1545087600;18/12/2018;18/12/2018;7
MUKYUMQLDCPRUBUDVDRY;KSEUOAJVVRHDLQINYZMW;297730;1545087600;1545087600;18/12/2018;18/12/2018;7
MUKYUMQLDCPRUBUDVDRY;HRSCZFGZHCOBPOMDEJYS;297730;1545087600;1545087600;18/12/2018;18/12/2018;7
MUKYUMQLDCPRUBUDVDRY;BEFVMTSDMBTFGAUPGCVN;297730;1545087600;1545087600;18/12/2018;18/12/2018;7
MUKYUMQLDCPRUBUDVDRY;JDRJMVQVIXNEQEDHLDDC;297730;1545087600;1545087600;18/12/2018;18/12/2018;7
MUKYUMQLDCPRUBUDVDRY;OFITWMGIUMQJXYYEEPTI;297730;1545087600;1545087600;18/12/2018;18/12/2018;7
RWULCLYNQYEXONXXYIUG;AGNQMOSNOOEMJMAZSSKN;298475;1540591200;1540591200;27/10/2018;27/10/2018;6
RWULCLYNQYEXONXXYIUG;AGNQMOSNOOEMJMAZSSKN;297735;1541372400;1542495600;05/11/2018;18/11/2018;6
RWULCLYNQYEXONXXYIUG;AGNQMOSNOOEMJMAZSSKN;298470;1540159200;1541286000;22/10/2018;04/11/2018;6
RWULCLYNQYEXONXXYIUG;AGNQMOSNOOEMJMAZSSKN;297741;1543791600;1544310000;03/12/2018;09/12/2018;6
RWULCLYNQYEXONXXYIUG;FMOKWIVBSWBPBBQLBRHP;298470;1540159200;1541286000;22/10/2018;04/11/2018;6
RWULCLYNQYEXONXXYIUG;FMOKWIVBSWBPBBQLBRHP;297730;1545087600;1545087600;18/12/2018;18/12/2018;6
RWULCLYNQYEXONXXYIUG;FMOKWIVBSWBPBBQLBRHP;298471;1540332000;1540677600;24/10/2018;28/10/2018;6
RWULCLYNQYEXONXXYIUG;BCMJQWTXNXNKKJWOJIWZ;298574;1538776800;1538863200;06/10/2018;07/10/2018;6
RWULCLYNQYEXONXXYIUG;NROZQYSUNZODFGPMNVYM;297730;1545087600;1545087600;18/12/2018;18/12/2018;6
RWULCLYNQYEXONXXYIUG;SGAOMKCJEAQXGGNRCBAW;297730;1545087600;1545087600;18/12/2018;18/12/2018;6
RWULCLYNQYEXONXXYIUG;TWHBIXDJIZCCBERNERKL;297730;1545087600;1545087600;18/12/2018;18/12/2018;6
RWULCLYNQYEXONXXYIUG;BNGPUXHIWKIXVNDDGVUV;298589;1539295200;1539468000;12/10/2018;14/10/2018;6
RWULCLYNQYEXONXXYIUG;SAUGUGEADVEXXTIOYEPI;297730;1545087600;1545087600;18/12/2018;18/12/2018;6
SYLMKRXPIIYZAZVLUKOH;AIREUWWMASVKLSYIMKKJ;297730;1545087600;1545087600;18/12/2018;18/12/2018;10
SYLMKRXPIIYZAZVLUKOH;ERSIKCCDMLMGDHPIDJGG;297730;1545087600;1545087600;18/12/2018;18/12/2018;10
SYLMKRXPIIYZAZVLUKOH;NOXTKEXFXTZJDTXASBAS;297730;1545087600;1545087600;18/12/2018;18/12/2018;10
SYLMKRXPIIYZAZVLUKOH;NHNJQFGNUBIFPZKLMOOP;297730;1545087600;1545087600;18/12/2018;18/12/2018;10
SYLMKRXPIIYZAZVLUKOH;XIADSQHHTMAYQAAWDJHT;297730;1545087600;1545087600;18/12/2018;18/12/2018;10
SYLMKRXPIIYZAZVLUKOH;FRDATUFIHCIUKHBDYWTY;297730;1545087600;1545087600;18/12/2018;18/12/2018;10
SYLMKRXPIIYZAZVLUKOH;VQFBIXXMOBCFCUDXWZTO;297730;1545087600;1545087600;18/12/2018;18/12/2018;10
SYLMKRXPIIYZAZVLUKOH;WAWJEHOQUJWFJZEDDEZV;297730;1545087600;1545087600;18/12/2018;18/12/2018;10
ZTEDFFDJOARBUCBXGBSO;ZHVLSZRTMKMNVBSXJYTF;297730;1545087600;1545087600;18/12/2018;18/12/2018;5
ZTEDFFDJOARBUCBXGBSO;BQRSVODYQWJLXRYBOFXN;297730;1545087600;1545087600;18/12/2018;18/12/2018;5
ZTEDFFDJOARBUCBXGBSO;NYMZAYVMROPNZBQKIZYI;297730;1545087600;1545087600;18/12/2018;18/12/2018;5
ZTEDFFDJOARBUCBXGBSO;DFWSSNYTCWEALAYGGVAQ;297730;1545087600;1545087600;18/12/2018;18/12/2018;5
ZTEDFFDJOARBUCBXGBSO;OFUUQPVXSNGGWEQFRZFF;297730;1545087600;1545087600;18/12/2018;18/12/2018;5
QQZMEIMZNRTJHVKCKFEN;ZTZNRFPDROZFGMRJTZFR;297730;1545087600;1545087600;18/12/2018;18/12/2018;3
QQZMEIMZNRTJHVKCKFEN;MOZZFJHJNFJGABXJEGFY;297730;1545087600;1545087600;18/12/2018;18/12/2018;3
QQZMEIMZNRTJHVKCKFEN;PXAPXFNATKREWDVNKZGL;297730;1545087600;1545087600;18/12/2018;18/12/2018;3
QQZMEIMZNRTJHVKCKFEN;GDYLCIDVVEFLYALAWKET;297730;1545087600;1545087600;18/12/2018;18/12/2018;3
QQZMEIMZNRTJHVKCKFEN;GILXAQSQTGMIUCCUIVZU;297730;1545087600;1545087600;18/12/2018;18/12/2018;3
QQZMEIMZNRTJHVKCKFEN;PKNCROABKFJXCXLFFRGJ;297730;1545087600;1545087600;18/12/2018;18/12/2018;3
QQZMEIMZNRTJHVKCKFEN;ZSLQIYAYRWEPSNJJYCTS;297730;1545087600;1545087600;18/12/2018;18/12/2018;3
NOXTKEXFXTZJDTXASBAS;AIREUWWMASVKLSYIMKKJ;297730;1545087600;1545087600;18/12/2018;18/12/2018;10
NOXTKEXFXTZJDTXASBAS;ERSIKCCDMLMGDHPIDJGG;297730;1545087600;1545087600;18/12/2018;18/12/2018;10
NOXTKEXFXTZJDTXASBAS;SYLMKRXPIIYZAZVLUKOH;297730;1545087600;1545087600;18/12/2018;18/12/2018;10
NOXTKEXFXTZJDTXASBAS;NHNJQFGNUBIFPZKLMOOP;297730;1545087600;1545087600;18/12/2018;18/12/2018;10
NOXTKEXFXTZJDTXASBAS;XIADSQHHTMAYQAAWDJHT;297730;1545087600;1545087600;18/12/2018;18/12/2018;10
NOXTKEXFXTZJDTXASBAS;FRDATUFIHCIUKHBDYWTY;297730;1545087600;1545087600;18/12/2018;18/12/2018;10
NOXTKEXFXTZJDTXASBAS;VQFBIXXMOBCFCUDXWZTO;297730;1545087600;1545087600;18/12/2018;18/12/2018;10
NOXTKEXFXTZJDTXASBAS;WAWJEHOQUJWFJZEDDEZV;297730;1545087600;1545087600;18/12/2018;18/12/2018;10
NFKIWXAIALGRVRXXWOKF;ZZLZSNPCQVXENELLDICV;297730;1545087600;1545087600;18/12/2018;18/12/2018;2
NFKIWXAIALGRVRXXWOKF;MYYJEHMJSTLYYZGITLRL;297730;1545087600;1545087600;18/12/2018;18/12/2018;2
NFKIWXAIALGRVRXXWOKF;VHJWWHDCJLHDGXVKKYFK;297730;1545087600;1545087600;18/12/2018;18/12/2018;2
NFKIWXAIALGRVRXXWOKF;GAJRHODTZAYIVDARWSWW;297730;1545087600;1545087600;18/12/2018;18/12/2018;2
