id;gpa
ZZLZSNPCQVXENELLDICV;2.230769231
ZYVQMZRLCORQVMCKYEZX;2.846153846
ZYRIDVJTLWLMBDGFLDBJ;3.076923077
ZWXVCDVNHLMXVRJTKNTM;1.470588235
ZWPRKKWDLRSVQNZSLJQF;1.307692308
ZWAHSYHVTEWQWEQHXTHN;2.692307692
ZVSTKVZMPVESNEEQDWRY;0.769230769
ZUVSXSCLLBKXMPOCHGKI;2.846153846
ZTZNRFPDROZFGMRJTZFR;0.384615385
ZTEDFFDJOARBUCBXGBSO;0
ZSWQGZWJCRJHEHJNRWFO;1
ZSPTTZNRLQXSJRRLFJBB;2.307692308
ZSLQIYAYRWEPSNJJYCTS;0.769230769
ZRXTIDFVYYCPZLKMKZKW;0.366666667
ZRILIUZHIAQZQFIRIIGT;0.538461538
ZQFQKYWXGZKJDKIVNNKE;0.688172043
ZOQWFVBAIAYLGGFZMZDU;0.615384615
ZOJTPGRWKHZEVPPBDNJW;0.384615385
ZNYVVDNVANYSJAXLQJHW;0.526315789
ZMRLCAXKYSTLVLBGINHU;0.846153846
ZKEGFGRAGDXJITISRBUS;0.217391304
ZIPPBAJMNAETMTWOIZNW;0
ZHZARHZGPGULMDUTXYSY;0.166666667
ZHVLSZRTMKMNVBSXJYTF;0.153846154
ZGRDUNLVZBWVUGLCVUOI;0.872093023
ZDZNTBNGRBQKLQTEXEJY;1.153846154
ZBANWQJMHHNCVBTELXFB;2.846153846
YXOKWWVGUSCSLUFYASFM;2.692307692
YVYSHGVKHQQMUYFSKLBI;1.461538462
YVIUBHJLFGQXLOCQTKAX;0.615384615
YVDFYYWJHHGVFCIOCFRD;2.923076923
YPQIZMNIWDVWZJOKXHQD;0.524390244
YNASIZHUEHJNUMYNHWML;0.416666667
YLPTPBUNIYLHHBJMNUNC;0.395348837
YLNXMJOUUDXWCYFZJGYW;0.769230769
YIVVEAZMQPVGHTPNBWRV;1.230769231
YIDOFTOSWPZQZJSETATR;0.857142857
YHYMTZIRBXRZMKFHZBUQ;1.076923077
YFGSFIEZWUECITNNIBOW;0.925
YEZCXXTRZXQSAJTMYOYK;3.461538462
YCBKFSYRPVJEKDDQMRYC;1.076923077
YABUSAPUKQYCXAJLSDAG;0.538461538
YABGHCHPPNZLVOIMKBHV;0.769230769
XVSISXSWNTOJZHLQSRFP;0.046511628
XVFCXHVLEHMUJREYBESQ;1.307692308
XSGXVMUSBVNOLJKOBFDS;2.923076923
XQQXTMUFJDXVOGSDTUNC;2.230769231
XNHACUXTCEQOVFQCLVXG;2.076923077
XNGZQKFCFWRUXNHJZHIO;0
XLIQDXXIPZTATZNJYJMD;0.615384615
XLAOBSOUOYBFGDJCYMUF;2.923076923
XJNYZVZUHLZURVFQSKCE;1.322580645
XIQLQVNEEFXYWPXKNASR;3.307692308
XIADSQHHTMAYQAAWDJHT;0.230769231
XGYDYLGWEXZZTRBTOBGI;0.307692308
XCXVBOUAQTOJDZRYRWNL;2.153846154
WUCZKDUTQNMCTIIORNJR;1.461538462
WQBPWXQGFGDGEODIEFMF;2.153846154
WPXOWAPGYCRDKJBAEKZE;0.178082192
WLYVYVYZKBTYJMJNJAFH;1.615384615
WJWJTCFIIUBOISOZOZHL;0.461538462
