id;year;promo;city;gpa
ZZLZSNPCQVXENELLDICV;1;2022;PAR;2.230769231
ZZHVNGOYLOSRUCBIVRIE;1;2022;STG;2.133333333
ZYRIDVJTLWLMBDGFLDBJ;1;2022;PAR;3.076923077
ZXFQQIULLJAZMJYZHBGO;1;2022;LIL;0.785714286
ZXDHXYLJKEHEXKAHCNFE;1;2022;TLS;2.076923077
ZWYXCQOAHRSYYZJHAMBC;3;2020;PAR;2.210526316
ZWXVCDVNHLMXVRJTKNTM;2;2021;NAN;1.470588235
ZWRTDPUCLOKPYLTIIDKF;2;2021;RUN;0.838709677
ZWNFKSZJXEWNGJFLYTYJ;1;2022;NCE;0.583333333
ZWAHSYHVTEWQWEQHXTHN;1;2022;PAR;2.692307692
ZVSTKVZMPVESNEEQDWRY;1;2022;PAR;0.769230769
ZVQFINOWTUEJDAVKIXZN;3;2020;REN;1.740963855
ZVKACAWUCZVJJROPWZGM;3;2020;BDX;3.392156863
ZVGKBZKAEIVYGHYYMAIL;1;2022;LIL;2.230769231
ZUVSXSCLLBKXMPOCHGKI;1;2022;PAR;2.846153846
ZUKVFOTBCIHPFNMEYVBD;1;2022;NCE;0.928571429
ZUKHJWKGYVGZYWGOVFZD;1;2022;NAN;2.666666667
ZTZNRFPDROZFGMRJTZFR;1;2022;PAR;0.384615385
ZTQLAPZHWUPZMYPNQMRF;3;2020;PAR;1.788043478
ZTPXJCPKDHOXPXBRWEXR;3;2020;PAR;1.167741935
ZTEDFFDJOARBUCBXGBSO;1;2022;PAR;0
ZTBSGVTHMNXURFXCDWOL;1;2022;STG;0.4
ZSWQGZWJCRJHEHJNRWFO;1;2022;PAR;1
ZSLQIYAYRWEPSNJJYCTS;1;2022;PAR;0.769230769
ZRYTZKINLUCIUPJSFLAG;3;2020;NCY;1.683544304
ZRXTIDFVYYCPZLKMKZKW;2;2021;PAR;0.366666667
ZRRVJKMKSPXGWQIOLKYC;1;2022;BDX;0.307692308
ZRPMZOFATJTMKGEGUWMO;3;2020;MAR;3.292993631
ZQPUNWSINKLGREUIWWSU;1;2022;LIL;0
ZQFQKYWXGZKJDKIVNNKE;2;2021;PAR;0.688172043
ZPUUVQANHAXVXLYADPNS;3;2020;NAN;2.717791411
ZPRQDFIJHGAJXRKGVGAA;1;2022;STG;2.307692308
ZOBCCPUXLWEBNRVARLWX;2;2021;STG;2.740740741
ZNYVVDNVANYSJAXLQJHW;2;2021;PAR;0.526315789
ZNWIKANJFJLPZSCPJVRE;1;2022;TLS;0.142857143
ZNVDRXKBKHZOJLKAYPWG;1;2022;MAR;2.857142857
ZNMHWBHXGHBNRIBJEKNT;1;2022;LYN;3.461538462
ZNLNJOCOFFXPLXFXONKG;1;2022;NCY;1.285714286
ZNDMPQMYKBWYGCANORJP;3;2020;TLS;3.425806452
ZMRLCAXKYSTLVLBGINHU;1;2022;PAR;0.846153846
ZMGCDLRMIHDDGLCEVUTY;1;2022;STG;0.6
ZKYZDRWPDEQYGGPGXCAX;1;2022;LIL;2.133333333
ZKTERCOZTANQWFMFUVCZ;5;2018;PAR;1.366666667
ZKIITLBIBZGLHQYHUPLP;3;2020;LIL;2.075581395
ZKHXQEVDPZPDJZGTYUHZ;4;2019;BDX;2.662068966
ZKGRRPXJIRLUTCGIFIVX;1;2022;REN;2.071428571
ZKEGFGRAGDXJITISRBUS;2;2021;PAR;0.217391304
ZKEEQAQXFSMKOGMGWGDY;4;2019;NCE;2.097222222
ZJVWNNWDEEGGURVYGQMM;3;2020;TLS;2.03030303
ZJURKZTMZVAWAMEFETHC;2;2021;NCY;1.684210526
ZJQOHELDYBAFLABTAZJG;1;2022;MAR;0.214285714
ZJNPERCIHTTPDKMLWPAT;1;2022;MAR;2.533333333
ZJENESITBEYRBEUOFMBO;2;2021;REN;3.461538462
ZJAPURUSFIJHEEPEGJOW;1;2022;LIL;0.866666667
ZIUBNGIWTJYKRRONMULE;1;2022;NAN;1.066666667
ZITWJHMSYPDFQYOMFLWB;2;2021;PAR;2.153846154
ZIPPBAJMNAETMTWOIZNW;1;2022;PAR;0
ZIDXNRDZMOGLRESZSRKY;1;2022;BDX;0
ZIBQIUFSFEBHHOBFNWSG;1;2022;RUN;0.857142857
ZHZARHZGPGULMDUTXYSY;2;2021;PAR;0.166666667
ZHYJFHOCJNDMOHWQAAEZ;1;2022;MAR;2.5
ZHVLSZRTMKMNVBSXJYTF;1;2022;PAR;0.153846154
ZHNAFQGZAUVJCZXEUUYQ;1;2022;LYN;0
ZHKYFESTNMSLYMQHUWTV;2;2021;TLS;1.125
ZHASRWZEQTEKMBGHRKFE;1;2022;BDX;1.071428571
ZGRDUNLVZBWVUGLCVUOI;2;2021;PAR;0.872093023
