Source;Target;Code_Activity;timestamp_start;timestamp_end;Start;End;Cluster
FUZHNMASUAXRTGQOCIMO;YKXNABGRFAIVHABMEIKV;303840;1535752800;1543705200;01/09/2018;02/12/2018;1
FUZHNMASUAXRTGQOCIMO;YKXNABGRFAIVHABMEIKV;219665;1481756400;1481756400;15/12/2016;15/12/2016;1
FUZHNMASUAXRTGQOCIMO;YKXNABGRFAIVHABMEIKV;280413;1529272800;1529791200;18/06/2018;24/06/2018;1
FUZHNMASUAXRTGQOCIMO;YKXNABGRFAIVHABMEIKV;280411;1526248800;1527372000;14/05/2018;27/05/2018;1
FUZHNMASUAXRTGQOCIMO;YKXNABGRFAIVHABMEIKV;279858;1527458400;1529791200;28/05/2018;24/06/2018;1
FUZHNMASUAXRTGQOCIMO;YKXNABGRFAIVHABMEIKV;312484;1542582000;1544742000;19/11/2018;14/12/2018;1
FUZHNMASUAXRTGQOCIMO;YKXNABGRFAIVHABMEIKV;278655;1525644000;1528581600;07/05/2018;10/06/2018;1
FUZHNMASUAXRTGQOCIMO;YKXNABGRFAIVHABMEIKV;301278;1536876000;1539900000;14/09/2018;19/10/2018;1
FUZHNMASUAXRTGQOCIMO;YKXNABGRFAIVHABMEIKV;301274;1536703200;1537048800;12/09/2018;16/09/2018;1
FUZHNMASUAXRTGQOCIMO;YKXNABGRFAIVHABMEIKV;291010;1529877600;1530396000;25/06/2018;01/07/2018;1
FUZHNMASUAXRTGQOCIMO;YKXNABGRFAIVHABMEIKV;278650;1523829600;1525557600;16/04/2018;06/05/2018;1
FUZHNMASUAXRTGQOCIMO;YKXNABGRFAIVHABMEIKV;299765;1541372400;1543705200;05/11/2018;02/12/2018;1
FUZHNMASUAXRTGQOCIMO;YKXNABGRFAIVHABMEIKV;241989;1489964400;1495922400;20/03/2017;28/05/2017;1
FUZHNMASUAXRTGQOCIMO;YKXNABGRFAIVHABMEIKV;301268;1536530400;1536789600;10/09/2018;13/09/2018;1
FUZHNMASUAXRTGQOCIMO;YKXNABGRFAIVHABMEIKV;280414;1530482400;1531000800;02/07/2018;08/07/2018;1
FUZHNMASUAXRTGQOCIMO;YKXNABGRFAIVHABMEIKV;290714;1528668000;1529704800;11/06/2018;23/06/2018;1
FUZHNMASUAXRTGQOCIMO;LLECAEMNDCCZAQHYAPEB;312484;1542582000;1544742000;19/11/2018;14/12/2018;1
FUZHNMASUAXRTGQOCIMO;LLECAEMNDCCZAQHYAPEB;290714;1528668000;1529704800;11/06/2018;23/06/2018;1
FUZHNMASUAXRTGQOCIMO;LLECAEMNDCCZAQHYAPEB;301278;1536876000;1539900000;14/09/2018;19/10/2018;1
FUZHNMASUAXRTGQOCIMO;LLECAEMNDCCZAQHYAPEB;301274;1536703200;1537048800;12/09/2018;16/09/2018;1
FUZHNMASUAXRTGQOCIMO;LLECAEMNDCCZAQHYAPEB;299765;1541372400;1543705200;05/11/2018;02/12/2018;1
FUZHNMASUAXRTGQOCIMO;LLECAEMNDCCZAQHYAPEB;280413;1529272800;1529791200;18/06/2018;24/06/2018;1
FUZHNMASUAXRTGQOCIMO;LLECAEMNDCCZAQHYAPEB;278650;1523829600;1525557600;16/04/2018;06/05/2018;1
FUZHNMASUAXRTGQOCIMO;LLECAEMNDCCZAQHYAPEB;280414;1530482400;1531000800;02/07/2018;08/07/2018;1
FUZHNMASUAXRTGQOCIMO;LLECAEMNDCCZAQHYAPEB;279858;1527458400;1529791200;28/05/2018;24/06/2018;1
FUZHNMASUAXRTGQOCIMO;LLECAEMNDCCZAQHYAPEB;278655;1525644000;1528581600;07/05/2018;10/06/2018;1
FUZHNMASUAXRTGQOCIMO;LLECAEMNDCCZAQHYAPEB;290493;1531346400;1531864800;12/07/2018;18/07/2018;1
FUZHNMASUAXRTGQOCIMO;LLECAEMNDCCZAQHYAPEB;290502;1531864800;1532469600;18/07/2018;25/07/2018;1
FUZHNMASUAXRTGQOCIMO;LLECAEMNDCCZAQHYAPEB;291010;1529877600;1530396000;25/06/2018;01/07/2018;1
FUZHNMASUAXRTGQOCIMO;LLECAEMNDCCZAQHYAPEB;280411;1526248800;1527372000;14/05/2018;27/05/2018;1
FUZHNMASUAXRTGQOCIMO;LLECAEMNDCCZAQHYAPEB;303840;1535752800;1543705200;01/09/2018;02/12/2018;1
FUZHNMASUAXRTGQOCIMO;LLECAEMNDCCZAQHYAPEB;219665;1481756400;1481756400;15/12/2016;15/12/2016;1
FUZHNMASUAXRTGQOCIMO;LLECAEMNDCCZAQHYAPEB;241989;1489964400;1495922400;20/03/2017;28/05/2017;1
FUZHNMASUAXRTGQOCIMO;LLECAEMNDCCZAQHYAPEB;301268;1536530400;1536789600;10/09/2018;13/09/2018;1
