id;year;promo;city;gpa
ZVQFINOWTUEJDAVKIXZN;3;2020;REN;1.740963855
ZFRYHSPYXKAIZXFKEJRJ;3;2020;REN;1.151685393
YQYGIYFSWHAWMQIBXTMP;3;2020;REN;2.4285714290000002
YIFCBEWHQBZTZTCNGAIP;3;2020;REN;3.450381679
YHHJKTJYNYUIQGJVYWEZ;3;2020;REN;2.657534247
YEDPXTKGQGFTNEWJYSUI;3;2020;REN;1.564935065
XVSRUYDBSMJRMMGEOMHR;3;2020;REN;3.8394160580000003
XHUBAERPDXWFVDGSMLDP;3;2020;REN;2.7108433730000003
XCFPZERQOOULHYPDNRUD;3;2020;REN;1.740740741
XADGEDLRBUQKVJWWWXYC;3;2020;REN;3.5562913910000002
WXLIBNYBBJBULMYQLSHT;3;2020;REN;3.128834356
VUWBSEKEZLINFEQVLJOW;3;2020;REN;2.886792453
UQJBGEVFSQVQLKYLVVJU;3;2020;REN;2.03125
TSAJZFIRNGVFGXJZVQJA;3;2020;REN;3.294964029
SYJLAQJCAWEZJUKEQKPX;3;2020;REN;3.056737589
RFSYAJWAUXXNOXIIBMCQ;3;2020;REN;2.449275362
QVEYQNZUCXGUXXAXYZUI;3;2020;REN;2.42384106
PYWYCZLRGSPSQPDFVSHV;3;2020;REN;3.0214285710000004
POFLZATXTYUMOUKONEKC;3;2020;REN;2.4840764330000003
PMWRYFXXNWFVQFDUMMNK;3;2020;REN;2.516778523
PAWCKPFJRZGNTQZTJEKC;3;2020;REN;1.857142857
OYZQBFBMBLXCMJNVIEHK;3;2020;REN;2.5947712419999998
OGTJAUKIINYVXXHHXUQZ;3;2020;REN;2.65248227
NTZVUHOIMCMEMJBFPNSX;3;2020;REN;2.193548387
MBQJTDKLSWWAGLZXLRGT;3;2020;REN;3.333333333
MBBVYZDACDRFLUPMMPKU;3;2020;REN;1.658536585
LXPYSFVNOEZBNPFWKNEI;3;2020;REN;2.327272727
LWGWWQIPEQFMCJFZGFRX;3;2020;REN;2.97972973
LRQIAXROZPHDHHSJMMKE;3;2020;REN;1.310734463
JKEZKBICMMKKTGKRFQTR;3;2020;REN;2.517857143
ILINSSQGXMAEEQWETIMB;3;2020;REN;1.417582418
ICKWPRLDCGLWKMHJFRQW;3;2020;REN;2.078787879
HKIAYLOWMRRTPMEIHWBF;3;2020;REN;2.816326531
HJVPCHCCJMJCNPDSOAIR;3;2020;REN;2.411392405
GBVCEBEEGWGNFNHUYRQC;3;2020;REN;2.11299435
FQPKUHPATCSZURFNNDBB;3;2020;REN;2.041666667
ESSYXHMNHXCFGRPFAPUA;3;2020;REN;1.98255814
EBNOAQMQHAJYQLCMIBLV;3;2020;REN;1.5
DYINNJVYDXKEPVESCZUU;3;2020;REN;3.410071942
DXLJYTLUAJWXNFPHDIQG;3;2020;REN;2.05625
