Source;Target;Code_Activity;timestamp_start;timestamp_end;Start;End;Cluster
CDTCBZBNWXGNXLOCNZVZ;XKGDAFRBNQLUPLROVJJF;280460;1518390000;1520118000;12/02/2018;04/03/2018;1
CDTCBZBNWXGNXLOCNZVZ;XKGDAFRBNQLUPLROVJJF;282733;1520809200;1521068400;12/03/2018;15/03/2018;1
CDTCBZBNWXGNXLOCNZVZ;XKGDAFRBNQLUPLROVJJF;219737;1482188400;1482188400;20/12/2016;20/12/2016;1
CDTCBZBNWXGNXLOCNZVZ;XKGDAFRBNQLUPLROVJJF;301440;1536098400;1536444000;05/09/2018;09/09/2018;1
CDTCBZBNWXGNXLOCNZVZ;XKGDAFRBNQLUPLROVJJF;301458;1536876000;1539900000;14/09/2018;19/10/2018;1
CDTCBZBNWXGNXLOCNZVZ;XKGDAFRBNQLUPLROVJJF;247677;1496095200;1496527200;30/05/2017;04/06/2017;1
CDTCBZBNWXGNXLOCNZVZ;XKGDAFRBNQLUPLROVJJF;276550;1516143600;1516489200;17/01/2018;21/01/2018;1
CDTCBZBNWXGNXLOCNZVZ;XKGDAFRBNQLUPLROVJJF;236686;1488063600;1490911200;26/02/2017;31/03/2017;1
CDTCBZBNWXGNXLOCNZVZ;XKGDAFRBNQLUPLROVJJF;323918;1546210800;1547334000;31/12/2018;13/01/2019;1
CDTCBZBNWXGNXLOCNZVZ;XKGDAFRBNQLUPLROVJJF;286338;1523224800;1523743200;09/04/2018;15/04/2018;1
CDTCBZBNWXGNXLOCNZVZ;XKGDAFRBNQLUPLROVJJF;220335;1483916400;1485039600;09/01/2017;22/01/2017;1
CDTCBZBNWXGNXLOCNZVZ;XKGDAFRBNQLUPLROVJJF;279590;1519599600;1520722800;26/02/2018;11/03/2018;1
CDTCBZBNWXGNXLOCNZVZ;XKGDAFRBNQLUPLROVJJF;303930;1540159200;1543705200;22/10/2018;02/12/2018;1
CDTCBZBNWXGNXLOCNZVZ;XKGDAFRBNQLUPLROVJJF;236009;1486249200;1488063600;05/02/2017;26/02/2017;1
CDTCBZBNWXGNXLOCNZVZ;XKGDAFRBNQLUPLROVJJF;312604;1542582000;1544742000;19/11/2018;14/12/2018;1
CDTCBZBNWXGNXLOCNZVZ;XKGDAFRBNQLUPLROVJJF;283695;1526248800;1529186400;14/05/2018;17/06/2018;1
CDTCBZBNWXGNXLOCNZVZ;XKGDAFRBNQLUPLROVJJF;220330;1482102000;1483830000;19/12/2016;08/01/2017;1
CDTCBZBNWXGNXLOCNZVZ;XKGDAFRBNQLUPLROVJJF;276542;1515538800;1515884400;10/01/2018;14/01/2018;1
CDTCBZBNWXGNXLOCNZVZ;XKGDAFRBNQLUPLROVJJF;236017;1488150000;1491084000;27/02/2017;02/04/2017;1
CDTCBZBNWXGNXLOCNZVZ;XKGDAFRBNQLUPLROVJJF;279594;1520809200;1522188000;12/03/2018;28/03/2018;1
CDTCBZBNWXGNXLOCNZVZ;XKGDAFRBNQLUPLROVJJF;220325;1480892400;1482015600;05/12/2016;18/12/2016;1
CDTCBZBNWXGNXLOCNZVZ;XKGDAFRBNQLUPLROVJJF;279936;1527458400;1529791200;28/05/2018;24/06/2018;1
CDTCBZBNWXGNXLOCNZVZ;XKGDAFRBNQLUPLROVJJF;282282;1519599600;1520722800;26/02/2018;11/03/2018;1
CDTCBZBNWXGNXLOCNZVZ;XKGDAFRBNQLUPLROVJJF;278715;1525644000;1528581600;07/05/2018;10/06/2018;1
CDTCBZBNWXGNXLOCNZVZ;XKGDAFRBNQLUPLROVJJF;280463;1523224800;1523829600;09/04/2018;16/04/2018;1
CDTCBZBNWXGNXLOCNZVZ;XKGDAFRBNQLUPLROVJJF;219162;1477260000;1478386800;24/10/2016;06/11/2016;1
CDTCBZBNWXGNXLOCNZVZ;XKGDAFRBNQLUPLROVJJF;301448;1536530400;1536789600;10/09/2018;13/09/2018;1
CDTCBZBNWXGNXLOCNZVZ;XKGDAFRBNQLUPLROVJJF;236206;1493589600;1496527200;01/05/2017;04/06/2017;1
CDTCBZBNWXGNXLOCNZVZ;XKGDAFRBNQLUPLROVJJF;276533;1514934000;1515279600;03/01/2018;07/01/2018;1
CDTCBZBNWXGNXLOCNZVZ;XKGDAFRBNQLUPLROVJJF;237503;1485730800;1487458800;30/01/2017;19/02/2017;1
CDTCBZBNWXGNXLOCNZVZ;XKGDAFRBNQLUPLROVJJF;219164;1477346400;1477605600;25/10/2016;28/10/2016;1
CDTCBZBNWXGNXLOCNZVZ;XKGDAFRBNQLUPLROVJJF;279782;1516575600;1518303600;22/01/2018;11/02/2018;1
CDTCBZBNWXGNXLOCNZVZ;XKGDAFRBNQLUPLROVJJF;242088;1489964400;1495922400;20/03/2017;28/05/2017;1
CDTCBZBNWXGNXLOCNZVZ;XKGDAFRBNQLUPLROVJJF;285849;1525039200;1526162400;30/04/2018;13/05/2018;1
CDTCBZBNWXGNXLOCNZVZ;XKGDAFRBNQLUPLROVJJF;220320;1479682800;1480806000;21/11/2016;04/12/2016;1
CDTCBZBNWXGNXLOCNZVZ;XKGDAFRBNQLUPLROVJJF;309930;1537740000;1538258400;24/09/2018;30/09/2018;1
CDTCBZBNWXGNXLOCNZVZ;LCIQQXUIDMIGWVKVDEIL;236017;1488150000;1491084000;27/02/2017;02/04/2017;1
CDTCBZBNWXGNXLOCNZVZ;LCIQQXUIDMIGWVKVDEIL;279936;1527458400;1529791200;28/05/2018;24/06/2018;1
CDTCBZBNWXGNXLOCNZVZ;LCIQQXUIDMIGWVKVDEIL;282282;1519599600;1520722800;26/02/2018;11/03/2018;1
CDTCBZBNWXGNXLOCNZVZ;LCIQQXUIDMIGWVKVDEIL;219737;1482188400;1482188400;20/12/2016;20/12/2016;1
CDTCBZBNWXGNXLOCNZVZ;LCIQQXUIDMIGWVKVDEIL;301440;1536098400;1536444000;05/09/2018;09/09/2018;1
CDTCBZBNWXGNXLOCNZVZ;LCIQQXUIDMIGWVKVDEIL;301448;1536530400;1536789600;10/09/2018;13/09/2018;1
CDTCBZBNWXGNXLOCNZVZ;LCIQQXUIDMIGWVKVDEIL;236206;1493589600;1496527200;01/05/2017;04/06/2017;1
CDTCBZBNWXGNXLOCNZVZ;LCIQQXUIDMIGWVKVDEIL;276533;1514934000;1515279600;03/01/2018;07/01/2018;1
CDTCBZBNWXGNXLOCNZVZ;LCIQQXUIDMIGWVKVDEIL;278590;1516575600;1520118000;22/01/2018;04/03/2018;1
CDTCBZBNWXGNXLOCNZVZ;LCIQQXUIDMIGWVKVDEIL;242088;1489964400;1495922400;20/03/2017;28/05/2017;1
CDTCBZBNWXGNXLOCNZVZ;LCIQQXUIDMIGWVKVDEIL;285849;1525039200;1526162400;30/04/2018;13/05/2018;1
CDTCBZBNWXGNXLOCNZVZ;LCIQQXUIDMIGWVKVDEIL;301443;1536184800;1536444000;06/09/2018;09/09/2018;1
CDTCBZBNWXGNXLOCNZVZ;LCIQQXUIDMIGWVKVDEIL;309930;1537740000;1538258400;24/09/2018;30/09/2018;1
CDTCBZBNWXGNXLOCNZVZ;LCIQQXUIDMIGWVKVDEIL;301454;1536703200;1537048800;12/09/2018;16/09/2018;1
CDTCBZBNWXGNXLOCNZVZ;LCIQQXUIDMIGWVKVDEIL;301458;1536876000;1539900000;14/09/2018;19/10/2018;1
CDTCBZBNWXGNXLOCNZVZ;LCIQQXUIDMIGWVKVDEIL;276550;1516143600;1516489200;17/01/2018;21/01/2018;1
CDTCBZBNWXGNXLOCNZVZ;LCIQQXUIDMIGWVKVDEIL;280461;1519599600;1521327600;26/02/2018;18/03/2018;1
CDTCBZBNWXGNXLOCNZVZ;LCIQQXUIDMIGWVKVDEIL;303930;1540159200;1543705200;22/10/2018;02/12/2018;1
