Source;Target;Code_Activity;timestamp_start;timestamp_end;Start;End;Cluster
EURWNWQKNITLAYGXJPZZ;BEDQKHLWQRPLNYBAQMXC;274583;1523224800;1526162400;09/04/2018;13/05/2018;1
EURWNWQKNITLAYGXJPZZ;BEDQKHLWQRPLNYBAQMXC;250980;1509922800;1511046000;06/11/2017;19/11/2017;1
EURWNWQKNITLAYGXJPZZ;BEDQKHLWQRPLNYBAQMXC;311594;1542754800;1544914800;21/11/2018;16/12/2018;1
EURWNWQKNITLAYGXJPZZ;BEDQKHLWQRPLNYBAQMXC;250984;1511132400;1512255600;20/11/2017;03/12/2017;1
EURWNWQKNITLAYGXJPZZ;BEDQKHLWQRPLNYBAQMXC;274218;1523224800;1526767200;09/04/2018;20/05/2018;1
EURWNWQKNITLAYGXJPZZ;BEDQKHLWQRPLNYBAQMXC;297539;1540159200;1541286000;22/10/2018;04/11/2018;1
EURWNWQKNITLAYGXJPZZ;BEDQKHLWQRPLNYBAQMXC;250989;1512342000;1513465200;04/12/2017;17/12/2017;1
EURWNWQKNITLAYGXJPZZ;BEDQKHLWQRPLNYBAQMXC;297540;1540332000;1540677600;24/10/2018;28/10/2018;1
EURWNWQKNITLAYGXJPZZ;BEDQKHLWQRPLNYBAQMXC;250982;1511132400;1511650800;20/11/2017;26/11/2017;1
EURWNWQKNITLAYGXJPZZ;BEDQKHLWQRPLNYBAQMXC;281110;1517353200;1517353200;31/01/2018;31/01/2018;1
EURWNWQKNITLAYGXJPZZ;BEDQKHLWQRPLNYBAQMXC;250986;1512342000;1512860400;04/12/2017;10/12/2017;1
EURWNWQKNITLAYGXJPZZ;SXFXOOFILONTATWXLSAP;253666;1507327200;1507413600;07/10/2017;08/10/2017;0
EURWNWQKNITLAYGXJPZZ;TKPIYPAIFHGCFYSUIMGM;266817;1515366000;1517094000;08/01/2018;28/01/2018;0
TKPIYPAIFHGCFYSUIMGM;JNORIJEQXSVXIOPNIGWT;295344;1544655600;1545174000;13/12/2018;19/12/2018;3
TKPIYPAIFHGCFYSUIMGM;UUXGPPWFWBRRKGHPLPVZ;253666;1507327200;1507413600;07/10/2017;08/10/2017;0
TKPIYPAIFHGCFYSUIMGM;HYGHILFOZWKNWJORTZBH;295344;1544655600;1545174000;13/12/2018;19/12/2018;3
TKPIYPAIFHGCFYSUIMGM;EURWNWQKNITLAYGXJPZZ;266817;1515366000;1517094000;08/01/2018;28/01/2018;0
TKPIYPAIFHGCFYSUIMGM;CYZYROPSHGGSMOFTAZUM;250737;1513292400;1513292400;15/12/2017;15/12/2017;0
OIQXNQYSDPYLVFFBVHWX;JNORIJEQXSVXIOPNIGWT;295584;1541372400;1542495600;05/11/2018;18/11/2018;3
OIQXNQYSDPYLVFFBVHWX;JNORIJEQXSVXIOPNIGWT;255378;1508709600;1509836400;23/10/2017;05/11/2017;3
OIQXNQYSDPYLVFFBVHWX;JNORIJEQXSVXIOPNIGWT;273685;1520204400;1526162400;05/03/2018;13/05/2018;3
OIQXNQYSDPYLVFFBVHWX;JNORIJEQXSVXIOPNIGWT;295590;1543273200;1544310000;27/11/2018;09/12/2018;3
OIQXNQYSDPYLVFFBVHWX;JNORIJEQXSVXIOPNIGWT;297539;1540159200;1541286000;22/10/2018;04/11/2018;3
OIQXNQYSDPYLVFFBVHWX;JNORIJEQXSVXIOPNIGWT;266814;1511737200;1512687600;27/11/2017;08/12/2017;3
OIQXNQYSDPYLVFFBVHWX;JNORIJEQXSVXIOPNIGWT;250737;1513292400;1513292400;15/12/2017;15/12/2017;3
OIQXNQYSDPYLVFFBVHWX;JNORIJEQXSVXIOPNIGWT;295588;1542582000;1543705200;19/11/2018;02/12/2018;3
OIQXNQYSDPYLVFFBVHWX;JNORIJEQXSVXIOPNIGWT;295593;1543791600;1544914800;03/12/2018;16/12/2018;3
OIQXNQYSDPYLVFFBVHWX;JNORIJEQXSVXIOPNIGWT;297540;1540332000;1540677600;24/10/2018;28/10/2018;3
OIQXNQYSDPYLVFFBVHWX;JNORIJEQXSVXIOPNIGWT;281108;1517266800;1517266800;30/01/2018;30/01/2018;3
OIQXNQYSDPYLVFFBVHWX;HYGHILFOZWKNWJORTZBH;255378;1508709600;1509836400;23/10/2017;05/11/2017;3
OIQXNQYSDPYLVFFBVHWX;HYGHILFOZWKNWJORTZBH;250737;1513292400;1513292400;15/12/2017;15/12/2017;3
OIQXNQYSDPYLVFFBVHWX;HYGHILFOZWKNWJORTZBH;250980;1509922800;1511046000;06/11/2017;19/11/2017;3
OIQXNQYSDPYLVFFBVHWX;HYGHILFOZWKNWJORTZBH;255380;1508882400;1509228000;25/10/2017;29/10/2017;3
OIQXNQYSDPYLVFFBVHWX;HYGHILFOZWKNWJORTZBH;273685;1520204400;1526162400;05/03/2018;13/05/2018;3
OIQXNQYSDPYLVFFBVHWX;HYGHILFOZWKNWJORTZBH;297539;1540159200;1541286000;22/10/2018;04/11/2018;3
OIQXNQYSDPYLVFFBVHWX;HYGHILFOZWKNWJORTZBH;250986;1512342000;1512860400;04/12/2017;10/12/2017;3
OIQXNQYSDPYLVFFBVHWX;MXTLRVEBTGKEDCWYDPRR;250737;1513292400;1513292400;15/12/2017;15/12/2017;0
CYZYROPSHGGSMOFTAZUM;HIGUPKUCLENJFKNJYERK;266814;1511737200;1512687600;27/11/2017;08/12/2017;5
CYZYROPSHGGSMOFTAZUM;TKPIYPAIFHGCFYSUIMGM;250737;1513292400;1513292400;15/12/2017;15/12/2017;0
CYZYROPSHGGSMOFTAZUM;XGKELZYFNAOAKQDVFYIP;273685;1520204400;1526162400;05/03/2018;13/05/2018;5
MXTLRVEBTGKEDCWYDPRR;QRLFMBJWWSUZRRIPHEJM;250984;1511132400;1512255600;20/11/2017;03/12/2017;4
