Source;Target;Code_Activity;timestamp_start;timestamp_end;Start;End;Cluster
AVLSMXZYRKUPXMXFEXEH;OMILNAYISAVPWWCAFZXK;281192;1517266800;1517266800;30/01/2018;30/01/2018;1
AVLSMXZYRKUPXMXFEXEH;OMILNAYISAVPWWCAFZXK;274258;1523224800;1526767200;09/04/2018;20/05/2018;1
AVLSMXZYRKUPXMXFEXEH;GTFUHYLZAOMYPGOPXIID;297587;1540159200;1541286000;22/10/2018;04/11/2018;1
AVLSMXZYRKUPXMXFEXEH;GTFUHYLZAOMYPGOPXIID;297588;1540332000;1540677600;24/10/2018;28/10/2018;1
AVLSMXZYRKUPXMXFEXEH;AOBGHIGMGAQGQPJUZVOD;273765;1520204400;1526162400;05/03/2018;13/05/2018;0
AOBGHIGMGAQGQPJUZVOD;NXBSXKQZJLVQQRUQHZRR;295676;1541372400;1542495600;05/11/2018;18/11/2018;2
AOBGHIGMGAQGQPJUZVOD;NXBSXKQZJLVQQRUQHZRR;274252;1520809200;1523138400;12/03/2018;08/04/2018;2
AOBGHIGMGAQGQPJUZVOD;NXBSXKQZJLVQQRUQHZRR;251085;1513551600;1515279600;18/12/2017;07/01/2018;2
AOBGHIGMGAQGQPJUZVOD;NXBSXKQZJLVQQRUQHZRR;275317;1527026400;1527976800;23/05/2018;03/06/2018;2
AOBGHIGMGAQGQPJUZVOD;NXBSXKQZJLVQQRUQHZRR;275781;1519599600;1521327600;26/02/2018;18/03/2018;2
AOBGHIGMGAQGQPJUZVOD;NXBSXKQZJLVQQRUQHZRR;251089;1515366000;1516489200;08/01/2018;21/01/2018;2
AOBGHIGMGAQGQPJUZVOD;NXBSXKQZJLVQQRUQHZRR;275093;1521414000;1522533600;19/03/2018;01/04/2018;2
AOBGHIGMGAQGQPJUZVOD;NXBSXKQZJLVQQRUQHZRR;275089;1520204400;1521327600;05/03/2018;18/03/2018;2
AOBGHIGMGAQGQPJUZVOD;NXBSXKQZJLVQQRUQHZRR;275457;1523829600;1527372000;16/04/2018;27/05/2018;2
AOBGHIGMGAQGQPJUZVOD;NXBSXKQZJLVQQRUQHZRR;251078;1511823600;1512860400;28/11/2017;10/12/2017;2
