Source;Target;Code_Activity;timestamp_start;timestamp_end;Start;End;Cluster
VBAMEKVNRYTUWDPVYZUL;QCMMDYCHAVHIGEKHSBKV;266844;1511737200;1513119600;27/11/2017;13/12/2017;0
VBAMEKVNRYTUWDPVYZUL;QCMMDYCHAVHIGEKHSBKV;274268;1523224800;1526767200;09/04/2018;20/05/2018;0
VBAMEKVNRYTUWDPVYZUL;RUQNQBIZLPOGIBDXNDPW;297599;1540159200;1541286000;22/10/2018;04/11/2018;1
VBAMEKVNRYTUWDPVYZUL;RUQNQBIZLPOGIBDXNDPW;297600;1540332000;1540677600;24/10/2018;28/10/2018;1
VBAMEKVNRYTUWDPVYZUL;QXGOXBRZYKIUQOSGOION;274116;1517785200;1522533600;05/02/2018;01/04/2018;1
VBAMEKVNRYTUWDPVYZUL;BIQLSKDUEOGIZIABTDAJ;255438;1509141600;1509141600;28/10/2017;28/10/2017;0
VBAMEKVNRYTUWDPVYZUL;VCZJNSJUKDTKYFLAHKJN;297604;1540591200;1540591200;27/10/2018;27/10/2018;0
VBAMEKVNRYTUWDPVYZUL;VXZOSMAHWDMAODLLVWUY;274116;1517785200;1522533600;05/02/2018;01/04/2018;1
VBAMEKVNRYTUWDPVYZUL;DGMLPAUENOJHJPBTFYDY;297599;1540159200;1541286000;22/10/2018;04/11/2018;1
AAKXKAFZFTZOXBTLVHUA;VCZJNSJUKDTKYFLAHKJN;274116;1517785200;1522533600;05/02/2018;01/04/2018;4
AAKXKAFZFTZOXBTLVHUA;VCZJNSJUKDTKYFLAHKJN;297600;1540332000;1540677600;24/10/2018;28/10/2018;4
AAKXKAFZFTZOXBTLVHUA;VCZJNSJUKDTKYFLAHKJN;281213;1517266800;1517266800;30/01/2018;30/01/2018;4
AAKXKAFZFTZOXBTLVHUA;VCZJNSJUKDTKYFLAHKJN;274884;1522015200;1523138400;26/03/2018;08/04/2018;4
AAKXKAFZFTZOXBTLVHUA;VCZJNSJUKDTKYFLAHKJN;274809;1519599600;1522274400;26/02/2018;29/03/2018;4
AAKXKAFZFTZOXBTLVHUA;VCZJNSJUKDTKYFLAHKJN;281215;1517353200;1517353200;31/01/2018;31/01/2018;4
AAKXKAFZFTZOXBTLVHUA;VCZJNSJUKDTKYFLAHKJN;295404;1544655600;1545260400;13/12/2018;20/12/2018;4
AAKXKAFZFTZOXBTLVHUA;VCZJNSJUKDTKYFLAHKJN;274262;1520809200;1523138400;12/03/2018;08/04/2018;4
AAKXKAFZFTZOXBTLVHUA;VCZJNSJUKDTKYFLAHKJN;277144;1513551600;1515884400;18/12/2017;14/01/2018;4
AAKXKAFZFTZOXBTLVHUA;VCZJNSJUKDTKYFLAHKJN;275786;1517785200;1522533600;05/02/2018;01/04/2018;4
AAKXKAFZFTZOXBTLVHUA;VCZJNSJUKDTKYFLAHKJN;273774;1517180400;1522533600;29/01/2018;01/04/2018;4
AAKXKAFZFTZOXBTLVHUA;VCZJNSJUKDTKYFLAHKJN;274268;1523224800;1526767200;09/04/2018;20/05/2018;4
AAKXKAFZFTZOXBTLVHUA;VCZJNSJUKDTKYFLAHKJN;253893;1507932000;1517353200;14/10/2017;31/01/2018;4
AAKXKAFZFTZOXBTLVHUA;VCZJNSJUKDTKYFLAHKJN;297599;1540159200;1541286000;22/10/2018;04/11/2018;4
AAKXKAFZFTZOXBTLVHUA;VCZJNSJUKDTKYFLAHKJN;255433;1508709600;1522533600;23/10/2017;01/04/2018;4
AAKXKAFZFTZOXBTLVHUA;VCZJNSJUKDTKYFLAHKJN;273785;1520204400;1527372000;05/03/2018;27/05/2018;4
AAKXKAFZFTZOXBTLVHUA;DEHXILPVPXJQASTWUPED;274116;1517785200;1522533600;05/02/2018;01/04/2018;4
AAKXKAFZFTZOXBTLVHUA;DEHXILPVPXJQASTWUPED;274884;1522015200;1523138400;26/03/2018;08/04/2018;4
AAKXKAFZFTZOXBTLVHUA;DEHXILPVPXJQASTWUPED;295404;1544655600;1545260400;13/12/2018;20/12/2018;4
AAKXKAFZFTZOXBTLVHUA;DEHXILPVPXJQASTWUPED;274262;1520809200;1523138400;12/03/2018;08/04/2018;4
AAKXKAFZFTZOXBTLVHUA;COIASOZKAEQUSWDQUMCI;295404;1544655600;1545260400;13/12/2018;20/12/2018;4
AAKXKAFZFTZOXBTLVHUA;QCMMDYCHAVHIGEKHSBKV;255438;1509141600;1509141600;28/10/2017;28/10/2017;0
AAKXKAFZFTZOXBTLVHUA;QXGOXBRZYKIUQOSGOION;273785;1520204400;1527372000;05/03/2018;27/05/2018;0
AAKXKAFZFTZOXBTLVHUA;DGMLPAUENOJHJPBTFYDY;297604;1540591200;1540591200;27/10/2018;27/10/2018;0
VXZOSMAHWDMAODLLVWUY;RUQNQBIZLPOGIBDXNDPW;275642;1524434400;1524607200;23/04/2018;25/04/2018;1
VXZOSMAHWDMAODLLVWUY;RUQNQBIZLPOGIBDXNDPW;288393;1527199200;1527199200;25/05/2018;25/05/2018;1
VXZOSMAHWDMAODLLVWUY;RUQNQBIZLPOGIBDXNDPW;275644;1525644000;1525816800;07/05/2018;09/05/2018;1
VXZOSMAHWDMAODLLVWUY;RUQNQBIZLPOGIBDXNDPW;275641;1523829600;1524088800;16/04/2018;19/04/2018;1
VXZOSMAHWDMAODLLVWUY;RUQNQBIZLPOGIBDXNDPW;288392;1527112800;1527112800;24/05/2018;24/05/2018;1
VXZOSMAHWDMAODLLVWUY;RUQNQBIZLPOGIBDXNDPW;275643;1525039200;1525384800;30/04/2018;04/05/2018;1
VXZOSMAHWDMAODLLVWUY;RUQNQBIZLPOGIBDXNDPW;275645;1526248800;1526421600;14/05/2018;16/05/2018;1
