Source;Target;Code_Activity;timestamp_start;timestamp_end;Start;End;Cluster
TQSXWWMQQBFOSJENIVJE;KFCKKUEPJMUNQIVTCQTM;274126;1517785200;1520722800;05/02/2018;11/03/2018;1
TQSXWWMQQBFOSJENIVJE;KFCKKUEPJMUNQIVTCQTM;275799;1519599600;1521327600;26/02/2018;18/03/2018;1
TQSXWWMQQBFOSJENIVJE;KFCKKUEPJMUNQIVTCQTM;295416;1545001200;1545260400;17/12/2018;20/12/2018;1
TQSXWWMQQBFOSJENIVJE;KFCKKUEPJMUNQIVTCQTM;273793;1517180400;1520118000;29/01/2018;04/03/2018;1
TQSXWWMQQBFOSJENIVJE;KFCKKUEPJMUNQIVTCQTM;266850;1511737200;1517094000;27/11/2017;28/01/2018;1
TQSXWWMQQBFOSJENIVJE;KFCKKUEPJMUNQIVTCQTM;274272;1520809200;1523138400;12/03/2018;08/04/2018;1
TQSXWWMQQBFOSJENIVJE;KFCKKUEPJMUNQIVTCQTM;251269;1516575600;1517698800;22/01/2018;04/02/2018;1
TQSXWWMQQBFOSJENIVJE;KFCKKUEPJMUNQIVTCQTM;266853;1516575600;1518303600;22/01/2018;11/02/2018;1
TQSXWWMQQBFOSJENIVJE;KFCKKUEPJMUNQIVTCQTM;273805;1520204400;1526162400;05/03/2018;13/05/2018;1
TQSXWWMQQBFOSJENIVJE;FRZKCWUHTVFOESPVAWYD;274272;1520809200;1523138400;12/03/2018;08/04/2018;1
TQSXWWMQQBFOSJENIVJE;FRZKCWUHTVFOESPVAWYD;251269;1516575600;1517698800;22/01/2018;04/02/2018;1
TQSXWWMQQBFOSJENIVJE;FRZKCWUHTVFOESPVAWYD;266853;1516575600;1518303600;22/01/2018;11/02/2018;1
TQSXWWMQQBFOSJENIVJE;FRZKCWUHTVFOESPVAWYD;255444;1508709600;1509836400;23/10/2017;05/11/2017;1
TQSXWWMQQBFOSJENIVJE;FRZKCWUHTVFOESPVAWYD;274126;1517785200;1520722800;05/02/2018;11/03/2018;1
TQSXWWMQQBFOSJENIVJE;FRZKCWUHTVFOESPVAWYD;274814;1519599600;1521932400;26/02/2018;25/03/2018;1
TQSXWWMQQBFOSJENIVJE;FRZKCWUHTVFOESPVAWYD;274889;1522015200;1524952800;26/03/2018;29/04/2018;1
TQSXWWMQQBFOSJENIVJE;FRZKCWUHTVFOESPVAWYD;275795;1517785200;1519513200;05/02/2018;25/02/2018;1
TQSXWWMQQBFOSJENIVJE;FRZKCWUHTVFOESPVAWYD;266850;1511737200;1517094000;27/11/2017;28/01/2018;1
TQSXWWMQQBFOSJENIVJE;KZFTMCRPRNQCJFNOTZPZ;274272;1520809200;1523138400;12/03/2018;08/04/2018;1
TQSXWWMQQBFOSJENIVJE;KZFTMCRPRNQCJFNOTZPZ;273805;1520204400;1526162400;05/03/2018;13/05/2018;1
TQSXWWMQQBFOSJENIVJE;KZFTMCRPRNQCJFNOTZPZ;274126;1517785200;1520722800;05/02/2018;11/03/2018;1
TQSXWWMQQBFOSJENIVJE;JLTFEBNZWSXRAAUKOYUF;273805;1520204400;1526162400;05/03/2018;13/05/2018;0
JLTFEBNZWSXRAAUKOYUF;ACHCCQGQHBLGTRSTXGWT;274631;1523224800;1526162400;09/04/2018;13/05/2018;2
JLTFEBNZWSXRAAUKOYUF;ACHCCQGQHBLGTRSTXGWT;288188;1526853600;1527976800;21/05/2018;03/06/2018;2
JLTFEBNZWSXRAAUKOYUF;ACHCCQGQHBLGTRSTXGWT;274278;1523224800;1526767200;09/04/2018;20/05/2018;2
JLTFEBNZWSXRAAUKOYUF;ACHCCQGQHBLGTRSTXGWT;275481;1523829600;1527372000;16/04/2018;27/05/2018;2
JLTFEBNZWSXRAAUKOYUF;ACHCCQGQHBLGTRSTXGWT;288187;1526508000;1527372000;17/05/2018;27/05/2018;2
JLTFEBNZWSXRAAUKOYUF;KZFTMCRPRNQCJFNOTZPZ;273805;1520204400;1526162400;05/03/2018;13/05/2018;0
JLTFEBNZWSXRAAUKOYUF;KZFTMCRPRNQCJFNOTZPZ;275799;1519599600;1521327600;26/02/2018;18/03/2018;0
JLTFEBNZWSXRAAUKOYUF;GLBHSOEUGSTFJCVDKVOK;274272;1520809200;1523138400;12/03/2018;08/04/2018;2
JLTFEBNZWSXRAAUKOYUF;EKTTLRPOMEJYQKECIHFH;297612;1540332000;1540677600;24/10/2018;28/10/2018;2
JLTFEBNZWSXRAAUKOYUF;TQSXWWMQQBFOSJENIVJE;273805;1520204400;1526162400;05/03/2018;13/05/2018;0
JLTFEBNZWSXRAAUKOYUF;KFCKKUEPJMUNQIVTCQTM;273805;1520204400;1526162400;05/03/2018;13/05/2018;0
ACHCCQGQHBLGTRSTXGWT;JLTFEBNZWSXRAAUKOYUF;274631;1523224800;1526162400;09/04/2018;13/05/2018;2
ACHCCQGQHBLGTRSTXGWT;JLTFEBNZWSXRAAUKOYUF;274278;1523224800;1526767200;09/04/2018;20/05/2018;2
ACHCCQGQHBLGTRSTXGWT;JLTFEBNZWSXRAAUKOYUF;288188;1526853600;1527976800;21/05/2018;03/06/2018;2
ACHCCQGQHBLGTRSTXGWT;JLTFEBNZWSXRAAUKOYUF;288187;1526508000;1527372000;17/05/2018;27/05/2018;2
ACHCCQGQHBLGTRSTXGWT;JLTFEBNZWSXRAAUKOYUF;275481;1523829600;1527372000;16/04/2018;27/05/2018;2
ACHCCQGQHBLGTRSTXGWT;KZFTMCRPRNQCJFNOTZPZ;253946;1507932000;1508018400;14/10/2017;15/10/2017;0
GLBHSOEUGSTFJCVDKVOK;JLTFEBNZWSXRAAUKOYUF;274272;1520809200;1523138400;12/03/2018;08/04/2018;2
