Source;Target;Code_Activity;timestamp_start;timestamp_end;Start;End;Cluster
TIMUBFZVUQXMJFPDPQAZ;UGOIKVVNOYMUAYEVAXPW;252161;1513810800;1513810800;21/12/2017;21/12/2017;1
TIMUBFZVUQXMJFPDPQAZ;UGOIKVVNOYMUAYEVAXPW;275808;1519599600;1521327600;26/02/2018;18/03/2018;1
TIMUBFZVUQXMJFPDPQAZ;PSLPKOURTZMXVDDXRRWP;252161;1513810800;1513810800;21/12/2017;21/12/2017;1
DRCDKBYJSLJGWNYCIDWB;TISNMFBBTBLHDIDNIXOL;252161;1513810800;1513810800;21/12/2017;21/12/2017;0
DRCDKBYJSLJGWNYCIDWB;PSHNESDUPJHPUVHFKDBO;252173;1509922800;1511046000;06/11/2017;19/11/2017;0
YPQIZMNIWDVWZJOKXHQD;ZKEGFGRAGDXJITISRBUS;273814;1517180400;1521759600;29/01/2018;23/03/2018;5
YPQIZMNIWDVWZJOKXHQD;ZKEGFGRAGDXJITISRBUS;281261;1517785200;1517785200;05/02/2018;05/02/2018;5
YPQIZMNIWDVWZJOKXHQD;SPQQEALFROFZKQJLOXQM;275804;1517785200;1519513200;05/02/2018;25/02/2018;0
YPQIZMNIWDVWZJOKXHQD;SPQQEALFROFZKQJLOXQM;274136;1517785200;1520722800;05/02/2018;11/03/2018;0
OYNRGTKPYSWSFJYQOKEJ;CPRFTWWCZBDLRWLSCDRF;273825;1520204400;1526162400;05/03/2018;13/05/2018;0
OYNRGTKPYSWSFJYQOKEJ;FKHMLEOORRJCQVDAYPWV;275808;1519599600;1521327600;26/02/2018;18/03/2018;3
OYNRGTKPYSWSFJYQOKEJ;BZJRTILGZSEYXXUJSCMS;298471;1540332000;1540677600;24/10/2018;28/10/2018;3
OYNRGTKPYSWSFJYQOKEJ;VAOMUQAXWKQIZKVEZJAY;255295;1509141600;1509141600;28/10/2017;28/10/2017;3
DWGIVMDBGPGXMBZAOFXG;JYIZDHFAVSCSKYKKAUAN;274639;1523224800;1526162400;09/04/2018;13/05/2018;3
DWGIVMDBGPGXMBZAOFXG;JYIZDHFAVSCSKYKKAUAN;274136;1517785200;1520722800;05/02/2018;11/03/2018;3
DWGIVMDBGPGXMBZAOFXG;JYIZDHFAVSCSKYKKAUAN;274288;1523224800;1526767200;09/04/2018;20/05/2018;3
DWGIVMDBGPGXMBZAOFXG;JXXWEDDCBKNAKLOFFJCK;274282;1520809200;1523138400;12/03/2018;08/04/2018;0
DWGIVMDBGPGXMBZAOFXG;SQVWDCXHNJJFLOPPHHRA;275665;1525039200;1525557600;30/04/2018;06/05/2018;0
ZNYVVDNVANYSJAXLQJHW;HRIXOCKXTLMJXEJICEVQ;252161;1513810800;1513810800;21/12/2017;21/12/2017;6
ZNYVVDNVANYSJAXLQJHW;HRIXOCKXTLMJXEJICEVQ;274282;1520809200;1523138400;12/03/2018;08/04/2018;6
ZNYVVDNVANYSJAXLQJHW;HRIXOCKXTLMJXEJICEVQ;274136;1517785200;1520722800;05/02/2018;11/03/2018;6
ZNYVVDNVANYSJAXLQJHW;PDXXEVSMBODNAGIVYNXZ;266859;1515366000;1517871600;08/01/2018;06/02/2018;6
ZNYVVDNVANYSJAXLQJHW;PDXXEVSMBODNAGIVYNXZ;252161;1513810800;1513810800;21/12/2017;21/12/2017;6
ZNYVVDNVANYSJAXLQJHW;EOEKVNTPNIDMYEWRYXDW;266859;1515366000;1517871600;08/01/2018;06/02/2018;6
ZNYVVDNVANYSJAXLQJHW;EOEKVNTPNIDMYEWRYXDW;252161;1513810800;1513810800;21/12/2017;21/12/2017;6
ZNYVVDNVANYSJAXLQJHW;PLHQEVBGJQPCNKRTKFRQ;252161;1513810800;1513810800;21/12/2017;21/12/2017;6
ZNYVVDNVANYSJAXLQJHW;FRCOGXHSZPRFLFCBXJJA;252161;1513810800;1513810800;21/12/2017;21/12/2017;6
ZNYVVDNVANYSJAXLQJHW;PWCWSIDLADZJHDIMFNRL;252161;1513810800;1513810800;21/12/2017;21/12/2017;6
CDLBYJADHTSSLBMWXPYI;KAAIROULIUXYZHSTBEBK;301391;1535925600;1537048800;03/09/2018;16/09/2018;9
CDLBYJADHTSSLBMWXPYI;KAAIROULIUXYZHSTBEBK;299527;1541977200;1547334000;12/11/2018;13/01/2019;9
CDLBYJADHTSSLBMWXPYI;KAAIROULIUXYZHSTBEBK;301387;1535925600;1536530400;03/09/2018;10/09/2018;9
CDLBYJADHTSSLBMWXPYI;KAAIROULIUXYZHSTBEBK;303900;1540159200;1543705200;22/10/2018;02/12/2018;9
CDLBYJADHTSSLBMWXPYI;KAAIROULIUXYZHSTBEBK;301383;1535925600;1536444000;03/09/2018;09/09/2018;9
CDLBYJADHTSSLBMWXPYI;KAAIROULIUXYZHSTBEBK;300357;1540767600;1542495600;29/10/2018;18/11/2018;9
CDLBYJADHTSSLBMWXPYI;KAAIROULIUXYZHSTBEBK;301380;1535925600;1536444000;03/09/2018;09/09/2018;9
CDLBYJADHTSSLBMWXPYI;KAAIROULIUXYZHSTBEBK;312564;1542582000;1544742000;19/11/2018;14/12/2018;9
CDLBYJADHTSSLBMWXPYI;KAAIROULIUXYZHSTBEBK;299711;1537135200;1538863200;17/09/2018;07/10/2018;9
CDLBYJADHTSSLBMWXPYI;KAAIROULIUXYZHSTBEBK;301377;1535925600;1536444000;03/09/2018;09/09/2018;9
CDLBYJADHTSSLBMWXPYI;KAAIROULIUXYZHSTBEBK;301112;1537135200;1538258400;17/09/2018;30/09/2018;9
CDLBYJADHTSSLBMWXPYI;KAAIROULIUXYZHSTBEBK;300266;1538344800;1540072800;01/10/2018;21/10/2018;9
CDLBYJADHTSSLBMWXPYI;KAAIROULIUXYZHSTBEBK;301398;1536876000;1539900000;14/09/2018;19/10/2018;9
CDLBYJADHTSSLBMWXPYI;KAAIROULIUXYZHSTBEBK;299789;1541372400;1543705200;05/11/2018;02/12/2018;9
CDLBYJADHTSSLBMWXPYI;KAAIROULIUXYZHSTBEBK;301388;1536530400;1536789600;10/09/2018;13/09/2018;9
CDLBYJADHTSSLBMWXPYI;KAAIROULIUXYZHSTBEBK;301376;1536012000;1536271200;04/09/2018;07/09/2018;9
CDLBYJADHTSSLBMWXPYI;KAAIROULIUXYZHSTBEBK;301394;1535925600;1537048800;03/09/2018;16/09/2018;9
CDLBYJADHTSSLBMWXPYI;MMKHKMTTFSEUAHRNUBXL;299711;1537135200;1538863200;17/09/2018;07/10/2018;9
CDLBYJADHTSSLBMWXPYI;MMKHKMTTFSEUAHRNUBXL;301377;1535925600;1536444000;03/09/2018;09/09/2018;9
CDLBYJADHTSSLBMWXPYI;MMKHKMTTFSEUAHRNUBXL;280108;1521414000;1529791200;19/03/2018;24/06/2018;9
CDLBYJADHTSSLBMWXPYI;MMKHKMTTFSEUAHRNUBXL;280104;1517785200;1521327600;05/02/2018;18/03/2018;9
CDLBYJADHTSSLBMWXPYI;MMKHKMTTFSEUAHRNUBXL;301112;1537135200;1538258400;17/09/2018;30/09/2018;9
CDLBYJADHTSSLBMWXPYI;MMKHKMTTFSEUAHRNUBXL;301398;1536876000;1539900000;14/09/2018;19/10/2018;9
CDLBYJADHTSSLBMWXPYI;MMKHKMTTFSEUAHRNUBXL;301388;1536530400;1536789600;10/09/2018;13/09/2018;9
CDLBYJADHTSSLBMWXPYI;MMKHKMTTFSEUAHRNUBXL;301376;1536012000;1536271200;04/09/2018;07/09/2018;9
CDLBYJADHTSSLBMWXPYI;MMKHKMTTFSEUAHRNUBXL;301394;1535925600;1537048800;03/09/2018;16/09/2018;9
CDLBYJADHTSSLBMWXPYI;MMKHKMTTFSEUAHRNUBXL;301391;1535925600;1537048800;03/09/2018;16/09/2018;9
CDLBYJADHTSSLBMWXPYI;MMKHKMTTFSEUAHRNUBXL;301387;1535925600;1536530400;03/09/2018;10/09/2018;9
CDLBYJADHTSSLBMWXPYI;MMKHKMTTFSEUAHRNUBXL;303900;1540159200;1543705200;22/10/2018;02/12/2018;9
CDLBYJADHTSSLBMWXPYI;MMKHKMTTFSEUAHRNUBXL;301383;1535925600;1536444000;03/09/2018;09/09/2018;9
CDLBYJADHTSSLBMWXPYI;MMKHKMTTFSEUAHRNUBXL;301380;1535925600;1536444000;03/09/2018;09/09/2018;9
CDLBYJADHTSSLBMWXPYI;MMKHKMTTFSEUAHRNUBXL;312564;1542582000;1544742000;19/11/2018;14/12/2018;9
