Source;Target;Code_Activity;timestamp_start;timestamp_end;Start;End;Cluster
GAMLFVDKWKRZXKXRXXWC;SWGTVNLMSPGUFEIHVHQQ;274302;1520722800;1523138400;11/03/2018;08/04/2018;1
GAMLFVDKWKRZXKXRXXWC;SWGTVNLMSPGUFEIHVHQQ;281958;1518303600;1520031600;11/02/2018;03/03/2018;1
GAMLFVDKWKRZXKXRXXWC;SWGTVNLMSPGUFEIHVHQQ;281961;1522447200;1524261600;31/03/2018;21/04/2018;1
GAMLFVDKWKRZXKXRXXWC;SWGTVNLMSPGUFEIHVHQQ;274829;1519513200;1522792800;25/02/2018;04/04/2018;1
GAMLFVDKWKRZXKXRXXWC;SWGTVNLMSPGUFEIHVHQQ;255466;1508709600;1509836400;23/10/2017;05/11/2017;1
GAMLFVDKWKRZXKXRXXWC;XVELZWKJAOLKPMJUKKSH;275685;1523829600;1524261600;16/04/2018;21/04/2018;1
GAMLFVDKWKRZXKXRXXWC;XVELZWKJAOLKPMJUKKSH;275687;1525039200;1525557600;30/04/2018;06/05/2018;1
GAMLFVDKWKRZXKXRXXWC;XVELZWKJAOLKPMJUKKSH;275689;1526248800;1526767200;14/05/2018;20/05/2018;1
GAMLFVDKWKRZXKXRXXWC;XVELZWKJAOLKPMJUKKSH;275686;1524434400;1524866400;23/04/2018;28/04/2018;1
GAMLFVDKWKRZXKXRXXWC;XVELZWKJAOLKPMJUKKSH;275688;1525644000;1526162400;07/05/2018;13/05/2018;1
GAMLFVDKWKRZXKXRXXWC;SWBJDJAOHCVGTBSBKNXL;255466;1508709600;1509836400;23/10/2017;05/11/2017;1
GAMLFVDKWKRZXKXRXXWC;SWBJDJAOHCVGTBSBKNXL;255468;1508882400;1509228000;25/10/2017;29/10/2017;1
GAMLFVDKWKRZXKXRXXWC;RTVONQAMANTJRNXUYGIK;295440;1545174000;1545174000;19/12/2018;19/12/2018;0
GAMLFVDKWKRZXKXRXXWC;LSWNTZPVSPYYGAHBVZQR;281297;1517266800;1517266800;30/01/2018;30/01/2018;0
GAMLFVDKWKRZXKXRXXWC;TELMWGIQJSZIZHXXSPUK;295440;1545174000;1545174000;19/12/2018;19/12/2018;0
SWGTVNLMSPGUFEIHVHQQ;GAMLFVDKWKRZXKXRXXWC;274302;1520722800;1523138400;11/03/2018;08/04/2018;1
