id;year;promo;city;gpa
ZHKYFESTNMSLYMQHUWTV;2;2021;TLS;1.125
YDQMKKZPSSKEVQYXXEXZ;2;2021;TLS;1.1304347829999999
UIYMOEIHUWBMYMFVTJTM;2;2021;TLS;0.527272727
SIQJHYHVPGEXLAWCWIWK;2;2021;TLS;1.3125
RCCXIWSJRHFKHXBKZVSA;2;2021;TLS;1.727272727
PKQYJJXBLOJUBBDRQCYR;2;2021;TLS;3.095238095
PFWAVKRRDRLAGBHOJFBH;2;2021;TLS;0.655172414
ORTLMVOLRBAUUNYMODZI;2;2021;TLS;1.964285714
NUZHLRGEQITZSSAPVSTJ;2;2021;TLS;0.846153846
NUQAQFOZMWUEPTLYEIYQ;2;2021;TLS;1.153846154
HTFJNUFDEAPNUAYBXTUN;2;2021;TLS;0.666666667
GOIKLIBPEKBZDJDGZFFP;2;2021;TLS;1.0
BTFTKFFOQKYGZMXOZPFJ;2;2021;TLS;1.47826087
