Source;Target;Code_Activity;timestamp_start;timestamp_end;Start;End;Cluster
PKQYJJXBLOJUBBDRQCYR;NUZHLRGEQITZSSAPVSTJ;288762;1527458400;1527976800;28/05/2018;03/06/2018;1
PKQYJJXBLOJUBBDRQCYR;NUZHLRGEQITZSSAPVSTJ;295814;1541372400;1542495600;05/11/2018;18/11/2018;1
PKQYJJXBLOJUBBDRQCYR;NUZHLRGEQITZSSAPVSTJ;287514;1526853600;1527976800;21/05/2018;03/06/2018;1
PKQYJJXBLOJUBBDRQCYR;NUZHLRGEQITZSSAPVSTJ;295820;1543791600;1544310000;03/12/2018;09/12/2018;1
PKQYJJXBLOJUBBDRQCYR;NUZHLRGEQITZSSAPVSTJ;274322;1520809200;1523138400;12/03/2018;08/04/2018;1
PKQYJJXBLOJUBBDRQCYR;NUZHLRGEQITZSSAPVSTJ;250845;1513724400;1513724400;20/12/2017;20/12/2017;1
PKQYJJXBLOJUBBDRQCYR;NUZHLRGEQITZSSAPVSTJ;295818;1542582000;1543705200;19/11/2018;02/12/2018;1
PKQYJJXBLOJUBBDRQCYR;NUZHLRGEQITZSSAPVSTJ;274328;1523224800;1526767200;09/04/2018;20/05/2018;1
PKQYJJXBLOJUBBDRQCYR;NUZHLRGEQITZSSAPVSTJ;251187;1509922800;1511046000;06/11/2017;19/11/2017;1
PKQYJJXBLOJUBBDRQCYR;RCCXIWSJRHFKHXBKZVSA;274322;1520809200;1523138400;12/03/2018;08/04/2018;1
PKQYJJXBLOJUBBDRQCYR;RCCXIWSJRHFKHXBKZVSA;274328;1523224800;1526767200;09/04/2018;20/05/2018;1
PKQYJJXBLOJUBBDRQCYR;RCCXIWSJRHFKHXBKZVSA;288762;1527458400;1527976800;28/05/2018;03/06/2018;1
PKQYJJXBLOJUBBDRQCYR;RCCXIWSJRHFKHXBKZVSA;287514;1526853600;1527976800;21/05/2018;03/06/2018;1
PKQYJJXBLOJUBBDRQCYR;NUQAQFOZMWUEPTLYEIYQ;295823;1543791600;1544914800;03/12/2018;16/12/2018;0
PKQYJJXBLOJUBBDRQCYR;NUQAQFOZMWUEPTLYEIYQ;295827;1545001200;1546729200;17/12/2018;06/01/2019;0
PKQYJJXBLOJUBBDRQCYR;NUQAQFOZMWUEPTLYEIYQ;295464;1544655600;1545260400;13/12/2018;20/12/2018;0
PKQYJJXBLOJUBBDRQCYR;HTFJNUFDEAPNUAYBXTUN;250845;1513724400;1513724400;20/12/2017;20/12/2017;1
YDQMKKZPSSKEVQYXXEXZ;UIYMOEIHUWBMYMFVTJTM;295464;1544655600;1545260400;13/12/2018;20/12/2018;2
YDQMKKZPSSKEVQYXXEXZ;UIYMOEIHUWBMYMFVTJTM;275844;1519599600;1521327600;26/02/2018;18/03/2018;2
YDQMKKZPSSKEVQYXXEXZ;UIYMOEIHUWBMYMFVTJTM;266877;1515366000;1517094000;08/01/2018;28/01/2018;2
YDQMKKZPSSKEVQYXXEXZ;UIYMOEIHUWBMYMFVTJTM;255490;1508882400;1509318000;25/10/2017;30/10/2017;2
YDQMKKZPSSKEVQYXXEXZ;UIYMOEIHUWBMYMFVTJTM;297659;1540159200;1541286000;22/10/2018;04/11/2018;2
YDQMKKZPSSKEVQYXXEXZ;UIYMOEIHUWBMYMFVTJTM;281339;1517266800;1517266800;30/01/2018;30/01/2018;2
