id;year;promo;city;gpa
ZYRIDVJTLWLMBDGFLDBJ;1;2022;PAR;3.076923077
ZWAHSYHVTEWQWEQHXTHN;1;2022;PAR;2.692307692
ZVSTKVZMPVESNEEQDWRY;1;2022;PAR;0.7692307690000001
ZUVSXSCLLBKXMPOCHGKI;1;2022;PAR;2.8461538460000004
ZTZNRFPDROZFGMRJTZFR;1;2022;PAR;0.384615385
ZTEDFFDJOARBUCBXGBSO;1;2022;PAR;0.0
ZSWQGZWJCRJHEHJNRWFO;1;2022;PAR;1.0
ZSLQIYAYRWEPSNJJYCTS;1;2022;PAR;0.7692307690000001
ZMRLCAXKYSTLVLBGINHU;1;2022;PAR;0.846153846
ZIPPBAJMNAETMTWOIZNW;1;2022;PAR;0.0
ZHVLSZRTMKMNVBSXJYTF;1;2022;PAR;0.153846154
ZDZNTBNGRBQKLQTEXEJY;1;2022;PAR;1.153846154
YVYSHGVKHQQMUYFSKLBI;1;2022;PAR;1.4615384619999998
YIVVEAZMQPVGHTPNBWRV;1;2022;PAR;1.230769231
YEZCXXTRZXQSAJTMYOYK;1;2022;PAR;3.461538462
XSGXVMUSBVNOLJKOBFDS;1;2022;PAR;2.923076923
XQQXTMUFJDXVOGSDTUNC;1;2022;PAR;2.230769231
XNHACUXTCEQOVFQCLVXG;1;2022;PAR;2.076923077
XLIQDXXIPZTATZNJYJMD;1;2022;PAR;0.615384615
XLAOBSOUOYBFGDJCYMUF;1;2022;PAR;2.923076923
XIQLQVNEEFXYWPXKNASR;1;2022;PAR;3.307692308
XIADSQHHTMAYQAAWDJHT;1;2022;PAR;0.23076923100000002
XCXVBOUAQTOJDZRYRWNL;1;2022;PAR;2.153846154
WUCZKDUTQNMCTIIORNJR;1;2022;PAR;1.4615384619999998
WQBPWXQGFGDGEODIEFMF;1;2022;PAR;2.153846154
WLYVYVYZKBTYJMJNJAFH;1;2022;PAR;1.615384615
WJWJTCFIIUBOISOZOZHL;1;2022;PAR;0.46153846200000004
WIBCJZGAUSOHAMVPNQST;1;2022;PAR;4.0
WFNOLXGHNVVLQVRMILWC;1;2022;PAR;1.846153846
WAWJEHOQUJWFJZEDDEZV;1;2022;PAR;1.076923077
VVFLDMNMPNFVCKPDGRNU;1;2022;PAR;2.615384615
VUXGQBCDMAXJCJMJJWWN;1;2022;PAR;2.538461538
VSUTPXSKUTJPRREFLJIL;1;2022;PAR;2.461538462
VRQUHPEPMJRAGRKDHEFS;1;2022;PAR;0.23076923100000002
VQKXSEWGOXCECUXLVBOI;1;2022;PAR;2.307692308
VQFBIXXMOBCFCUDXWZTO;1;2022;PAR;0.307692308
VOTCOZRHKFIHUPIWVQDC;1;2022;PAR;0.7692307690000001
VOANAKVXFBVLWBNVGGTE;1;2022;PAR;0.7692307690000001
VKSOPRLBVSMUNAXGVQWF;1;2022;PAR;3.1538461539999996
VHJWWHDCJLHDGXVKKYFK;1;2022;PAR;1.4615384619999998
VFPJGHCPMBGLATGHTEDJ;1;2022;PAR;1.846153846
UZQJUOREKECGHQAQVPVB;1;2022;PAR;0.538461538
UKTLROHAEQLJVXARBWXX;1;2022;PAR;0.846153846
UCGTXPCYXRBHZEMKHVGV;1;2022;PAR;0.0
TWHBIXDJIZCCBERNERKL;1;2022;PAR;1.9230769230000002
TWFNYNGSYLYOEDXGCCMG;1;2022;PAR;3.692307692
TVKRBAQBTLWZWMWSVMTE;1;2022;PAR;1.076923077
TQRXGKBLURYUSHLADPIH;1;2022;PAR;2.8461538460000004
