id;year;promo;city;gpa
ZZHVNGOYLOSRUCBIVRIE;1;2022;STG;2.133333333
ZTBSGVTHMNXURFXCDWOL;1;2022;STG;0.4
ZPRQDFIJHGAJXRKGVGAA;1;2022;STG;2.307692308
ZMGCDLRMIHDDGLCEVUTY;1;2022;STG;0.6
ZFADPBOTKXEPBUBGMIBZ;1;2022;STG;0.666666667
XMNCQFUSDFKOJGSFQFUL;1;2022;STG;0.6
XCVITCXNHIBUBWSJRMQT;1;2022;STG;1.4615384619999998
WYAURYKYGKSGKGUUYRZO;1;2022;STG;3.266666667
WOTYJDKZUPJDDYUERRWW;1;2022;STG;1.307692308
WNWSYHEWNZMCOZGOYUXO;1;2022;STG;4.0
VTKQGLUHXOHHAMISPPLD;1;2022;STG;1.230769231
VGGHMRLONZFEPRZCQTHZ;1;2022;STG;2.8461538460000004
URPTWSLWRSHNLAIVLSVR;1;2022;STG;1.8
UNILIOQSHCSRUHBNNKWM;1;2022;STG;1.066666667
UILQYZZCNGBVBZGNBYUE;1;2022;STG;2.153846154
UACICDJEVZGMGQDFDRFN;1;2022;STG;1.2
TWMCTYSIMLUVCDOJBQRM;1;2022;STG;1.6666666669999999
SXVXPARDBFJCDUDWZICN;1;2022;STG;0.666666667
STEKKDXESZIJTVAVZIDD;1;2022;STG;0.26666666699999997
SFMRJWSEXXBQQWOPKSMQ;1;2022;STG;0.615384615
RWPLEATDCCZRWXEYJVBA;1;2022;STG;1.142857143
RNFLHIUQKAIIBROIPGUR;1;2022;STG;2.769230769
RKMBGAOPSMHDTIIZDYZM;1;2022;STG;2.133333333
PBHUOEVXGTJLYIOIJYBV;1;2022;STG;1.571428571
OVLSMQRQWXSMTDJIPBTX;1;2022;STG;1.0
OTDHUCXWSEONUUDMRBKY;1;2022;STG;1.8666666669999998
OMJTSMLIYFYPBYAFWHCM;1;2022;STG;0.923076923
OFWFYAEDBJWHDFSPIZCQ;1;2022;STG;2.8461538460000004
NWQUWDVGRIJCEZCDNTBS;1;2022;STG;2.0
NDZMTGOWNOPOAFUVMENH;1;2022;STG;1.066666667
MSPRZEMHGUNBUKKAAQOM;1;2022;STG;3.166666667
MKITDNWAECJEVYPBLZPH;1;2022;STG;0.0
MJOEIDKFZIUSAYCXHRTA;1;2022;STG;1.846153846
LKKXSKMLONDLLGQTAWTP;1;2022;STG;1.9230769230000002
KAUDNKCIYKTWUNXUNCAY;1;2022;STG;2.692307692
JQQAGUPLIAQMQMRQISBH;1;2022;STG;0.4
HVQDUPYKVGUNSOFZUMFT;1;2022;STG;2.076923077
HSELJCSXFOJVQOEJBCCQ;1;2022;STG;2.0
HHGGBJKCNSSIESDCMNVZ;1;2022;STG;2.5333333330000003
HCYPTFKDUTVWVZEOAWMT;1;2022;STG;0.26666666699999997
GRQGMUVVTZIJNWIKEWUH;1;2022;STG;0.25
GHUJGZRGISQEWOTQDTXI;1;2022;STG;3.230769231
GGQBRUJBDDQRBDMNHFOU;1;2022;STG;2.076923077
GFYKXUIYGUSAZXJJWQNZ;1;2022;STG;3.384615385
GFVLQHGNRHSXNYOLYGNL;1;2022;STG;0.933333333
EOEMLUUNGTVNENUTZKAQ;1;2022;STG;1.533333333
EHPQNBARHHDVPXUVUHRX;1;2022;STG;0.0
EGKSDXOBWEXKHCVCEHXV;1;2022;STG;1.083333333
DXLBYJGWTNXENTNRRDJL;1;2022;STG;2.769230769
DLYDBLLSWLZZVSHOGAXI;1;2022;STG;2.4
CTQKYERMIMUOVQUIFITQ;1;2022;STG;2.384615385
CRNRHUUMKLYONIKRNPGO;1;2022;STG;0.533333333
CNSQULNPVHNRKHUKWSOB;1;2022;STG;0.8666666670000001
CEKLMTVTAMYFSPPQWVHF;1;2022;STG;1.142857143
BUPNXTUBVRSRNIEYNCOJ;1;2022;STG;2.642857143
BAHBPFAMAJKKYGQSTOMJ;1;2022;STG;1.8666666669999998
AYCJLXEKECQWDEMHJHKS;1;2022;STG;1.6666666669999999
AUICAARZMYAFUPZRGQVU;1;2022;STG;0.133333333
ACSVBYNCANMBWXISUMLD;1;2022;STG;3.066666667
