id;year;promo;city;gpa
ZVKACAWUCZVJJROPWZGM;3;2020;BDX;3.3921568630000003
ZRRVJKMKSPXGWQIOLKYC;1;2022;BDX;0.307692308
ZKHXQEVDPZPDJZGTYUHZ;4;2019;BDX;2.662068966
ZIDXNRDZMOGLRESZSRKY;1;2022;BDX;0.0
ZHASRWZEQTEKMBGHRKFE;1;2022;BDX;1.071428571
ZGAMMCAKLFAIIOQJEHNV;1;2022;BDX;1.9230769230000002
ZCQPUNIIEFDJLTTTJZFJ;1;2022;BDX;0.153846154
YYWDAPQQHJNQMGQJOZSC;1;2022;BDX;0.0
YWQQQAPJMXSCAZSDAITV;1;2022;BDX;2.153846154
YTASEHQNVDMGHELMCTLX;3;2020;BDX;2.076923077
YRYDCXCLZXRLRDKXFKUN;3;2020;BDX;1.230769231
YOOBLURQAMPCQUFZGNWT;3;2020;BDX;1.832214765
YNBZGQPEDOLZPGVZBBDF;1;2022;BDX;0.923076923
YKRHJYDMJEWHKQLRXIXD;1;2022;BDX;0.0
YJMDUNXDSSRZYRYFSUIS;3;2020;BDX;2.229813665
YGVQEKXLHMOZAYXPVTZE;3;2020;BDX;1.640522876
YGPUXMCUUFYZJJGGVSFB;1;2022;BDX;0.153846154
YEFWWRFNCLJLEPBWNPWK;1;2022;BDX;0.153846154
YBDCOXTYNWXPRCCMUMAR;4;2019;BDX;2.02484472
YASEWPUUHNPCZSGGPGTJ;1;2022;BDX;0.923076923
XWHHZNUFQVXZJPTRKCII;3;2020;BDX;2.198717949
XUBVNLUVJBWTGPUPEHLH;3;2020;BDX;3.522580645
XREJYUUQDYDDCUUSQMAP;1;2022;BDX;2.230769231
XEBATCZBIKHBJSSMVIFA;1;2022;BDX;0.23076923100000002
WUQCBSDYLYXOGMAVKZLL;1;2022;BDX;0.615384615
WQOMQHFAUJKHHPHADSRV;1;2022;BDX;2.769230769
WQBXWAVDBDDDZDSREOSM;1;2022;BDX;1.230769231
WNDBWYULRHJUTTEBFYRJ;1;2022;BDX;2.076923077
WKVDCDQNBXMTCUGPHJRF;4;2019;BDX;1.558823529
WIPNYGRMYTWAERLJPUNX;3;2020;BDX;1.829457364
WHALPZBFYVPHKGRZECJY;1;2022;BDX;0.307692308
WGOOLCAPEWJTHTZYHUUQ;1;2022;BDX;2.307692308
WCCRWWFDHKNYPBRZHHUB;3;2020;BDX;1.368421053
VMNONPTHTAEUVBITVXQP;3;2020;BDX;2.137254902
VHTGMJIWFDJJUMTAVRXL;3;2020;BDX;2.09202454
UZDEXAUWOAHLCWMZPRDE;1;2022;BDX;0.7692307690000001
UTLVHTRLKUFIUOHCVQCQ;4;2019;BDX;1.801324503
UTJJUEXNSRMFIXBWZDIR;1;2022;BDX;0.692307692
URUXGWBGZBWZRNABGXJY;3;2020;BDX;2.9379844960000003
URNBYJDSGMQPLVIDBOIQ;1;2022;BDX;0.615384615
UPSVIFAAYJCCWXCMATVX;1;2022;BDX;0.615384615
UOPYUGWDSLSHHABBEAZY;3;2020;BDX;1.2933333329999999
UKGASJHPTAFEQFZYANHL;3;2020;BDX;2.136363636
UEEMBMPZOOLQOWHQVQOB;1;2022;BDX;0.846153846
UEAPLNUWRKEXEUIEQRME;1;2022;BDX;1.428571429
TTSPIVLNPZFYBQKYWQJB;1;2022;BDX;1.153846154
TNGOFLTASSKCPXNSIWMU;4;2019;BDX;1.823170732
THIUXQOILWJPRVXFOTGE;1;2022;BDX;0.307692308
SWMKSMTPSXARROQWEVIR;1;2022;BDX;0.23076923100000002
RXKQWGEWITZELRGIUGWD;1;2022;BDX;0.7692307690000001
QXUPTWCTVWTUQSQGPHLB;3;2020;BDX;1.874213836
QSHKPMFKWWPBYICDVTMO;1;2022;BDX;2.307692308
QRHIWNJGGAVQNNRYKVEH;1;2022;BDX;0.307692308
QOHMXTAMZMLKRNOOWUJX;1;2022;BDX;0.846153846
QNFPDJMKHJTRMPVXBNXD;3;2020;BDX;2.263157895
QJMMEPEAOLVPNQGIGYVM;1;2022;BDX;2.076923077
QIAKCEBKJCOYJZQRNELU;1;2022;BDX;2.923076923
QEWTPGOTTVHBQYPGTHCW;1;2022;BDX;0.615384615
QAKTZIEPNWMBUXFXFKYX;1;2022;BDX;1.4615384619999998
QAIBWKNXJGVBSOMOCSSD;1;2022;BDX;1.857142857
PWUZWANRZQULZMIEAGPK;1;2022;BDX;0.538461538
PWSIYXWWPAOETQACTMEH;1;2022;BDX;1.357142857
PGXJUCCAEURRWHUGMMKC;1;2022;BDX;1.076923077
PEDNHXMOPROZPIMXZZVH;1;2022;BDX;1.5384615380000002
PDRIFPXSMZXZWJSHVTCB;1;2022;BDX;0.615384615
PAHSWUUXLXCKJMRLOSKP;4;2019;BDX;1.787356322
OYBTUCZRIWJNQLCAGQQV;2;2021;BDX;0.851851852
OWRSDTNNNKBMQWEWGSVX;4;2019;BDX;2.041176471
