id;year;promo;city;gpa
ZXFQQIULLJAZMJYZHBGO;1;2022;LIL;0.7857142859999999
ZVGKBZKAEIVYGHYYMAIL;1;2022;LIL;2.230769231
ZQPUNWSINKLGREUIWWSU;1;2022;LIL;0.0
ZKYZDRWPDEQYGGPGXCAX;1;2022;LIL;2.133333333
ZKIITLBIBZGLHQYHUPLP;3;2020;LIL;2.075581395
ZJAPURUSFIJHEEPEGJOW;1;2022;LIL;0.8666666670000001
ZEXYGBOQMGFOMBLLVRNV;1;2022;LIL;2.4
ZAGWFIUAWFGQIXLWGGFI;1;2022;LIL;0.7333333329999999
YYTZAOSMXPVEHHMSJIBX;2;2021;LIL;1.75
YXLMTXZHULQHDUMHTQTP;1;2022;LIL;1.2
YXFQVGPQHHGAUFPTSNTJ;1;2022;LIL;3.133333333
YLGITFKWBASDGBVUZEWU;1;2022;LIL;0.7333333329999999
YKKQGNTEMHNERMQFZVFB;1;2022;LIL;2.266666667
YCWWJONHOPYEQWUVVZOS;1;2022;LIL;2.4666666669999997
YBWUHHPGPPNQJMPAILUE;1;2022;LIL;0.933333333
XYKKQFGIWMKYFUZZUKSJ;3;2020;LIL;3.7628205130000003
XWGIWKMIIFVVPOTAOLJT;1;2022;LIL;1.8666666669999998
XWDFFSKXYZXXLCUEJEAA;1;2022;LIL;2.5333333330000003
XSIVHEURDMEHUXTEQLVJ;1;2022;LIL;0.8
XRFBOAHEOMXCSKOWEJDU;1;2022;LIL;1.2
XPUSXLJJLZZGGRKCMKBF;5;2018;LIL;1.121212121
XKBCJTQFMIUGXDFIYWRA;1;2022;LIL;1.066666667
XGKZIUHZNIDJGJHQKHMU;3;2020;LIL;3.705128205
XGKELZYFNAOAKQDVFYIP;2;2021;LIL;2.625
XGJRDRXTOOBFAFEGDBDL;3;2020;LIL;1.83030303
XCQVUFGTVMKOHHKBDKEP;1;2022;LIL;1.133333333
WYDZXPVHCBDXQDGIFPOC;1;2022;LIL;1.4
WPYUVQISLNQNGWRSUZCA;1;2022;LIL;0.933333333
WPWILWPGPIWAOCPRHYQP;1;2022;LIL;1.466666667
