id;year;promo;city;gpa
ZNMHWBHXGHBNRIBJEKNT;1;2022;LYN;3.461538462
ZHNAFQGZAUVJCZXEUUYQ;1;2022;LYN;0.0
ZFPOZTHSBNYSPUDWXSYP;3;2020;LYN;2.2721518990000003
ZEHBOWGLTNVTUIVUIVHK;1;2022;LYN;0.5
ZDTETSRDRAGOXTKDAKMQ;2;2021;LYN;2.95
ZAUQWHFAAARARKYOZPSF;1;2022;LYN;0.307692308
YTJDESPOLOXYPYTXIXTJ;1;2022;LYN;2.5
YSQLOCJENGSFANPTMRDY;3;2020;LYN;1.279761905
YRJEMEAKBHTDYLKQUTTZ;3;2020;LYN;1.61875
YOIJTZXGFHEMGKSQKRRU;3;2020;LYN;2.436241611
YNMWZQACNCDUZEJELVIG;1;2022;LYN;0.642857143
YJDWNPJIOITMXQMUUPBZ;3;2020;LYN;2.549668874
YGOTNMMAXBIHNLHTRQYT;2;2021;LYN;0.541666667
YFBLDGGBJBSZYHGEVCBX;3;2020;LYN;1.947712418
YDUWTNVMPDPHGRGZZTNX;1;2022;LYN;0.846153846
XYXPCILAPNERTCZSCCCR;3;2020;LYN;0.8684210529999999
XXSSYDNXWFTBFHOJIAGA;1;2022;LYN;1.357142857
XNFGVLYRPIIDTKQBODFF;1;2022;LYN;1.692307692
XKUVOPJZUYAMLGDAULQM;1;2022;LYN;1.4615384619999998
XKPPRZMGBIYQNJTCEGJP;1;2022;LYN;1.384615385
XAJXMFEAMXLBPQXELZDG;1;2022;LYN;2.142857143
WPWUIXBBCSOIRFJKTIQQ;1;2022;LYN;0.0
WMMPXIOOKENMERMAPVRB;1;2022;LYN;0.333333333
WMHQXABRMKVDPGDSSNPN;3;2020;LYN;1.8994082840000002
WLUWHWVYPXDQHDXGLVQM;1;2022;LYN;1.714285714
WKAESJRWJXCVPSHDVFXQ;1;2022;LYN;2.0
WJLCTZJYPLMBIDNFRCZY;1;2022;LYN;1.9166666669999999
WJIWTXLJLLVFFQZYAMCS;1;2022;LYN;0.857142857
WIXXCLGSFXBTJZKFGVPL;3;2020;LYN;1.5792682930000002
WIRTPZPBPUIRCRPPQVQL;1;2022;LYN;1.0
WIPTOYRLDJOFSAVSRDCA;3;2020;LYN;0.457142857
WEHUPQVONKHTOJCRDFBH;1;2022;LYN;1.285714286
WAOXBBWCRNEZXXUPHCXA;1;2022;LYN;1.928571429
WAFSWQQTAYCMKOZRHMAU;1;2022;LYN;0.307692308
VXLLOSLXWEESHJEZIFLD;1;2022;LYN;0.615384615
VVKQUALAJZNZHXFIAYPK;3;2020;LYN;2.039473684
VUBLDQIMWRAPBMUBSRDO;2;2021;LYN;2.333333333
VQLIAOKEQBWPWGBXPNQJ;1;2022;LYN;2.357142857
VJOUOMTULJLSWPCMITNI;2;2021;LYN;0.150943396
VJJCRJQIBPULNPXWAGQP;3;2020;LYN;2.352112676
VIQHGRRPZYSQYPYKLIEE;3;2020;LYN;2.6818181819999998
VAIHOBCVFLTSHXVSYFEQ;2;2021;LYN;0.61038961
UYRHVMAENHIHWULQXBNH;1;2022;LYN;0.7142857140000001
UWGBMSAJYRCGLAPPXLRC;1;2022;LYN;0.7857142859999999
UUTDBIWVMFOTAOXXVRER;3;2020;LYN;2.882716049
UUADHJANPSNCFCFNRSFO;1;2022;LYN;1.0
UTGNWQLSZKUUCRGBUXUA;3;2020;LYN;2.965517241
URBAQDNPQJNRWSJVRCCB;1;2022;LYN;0.35714285700000004
UQDSDTLQKWDRJGNFKIXW;2;2021;LYN;0.11666666699999999
UOTIFHMKVYQPKNOUQBTW;1;2022;LYN;2.461538462
UMZAOMQODAUESKGAAUEW;1;2022;LYN;2.769230769
ULFEFYDZKAAUMWDESFNM;2;2021;LYN;0.533333333
UKPWAPHWOJWSJCVKFHLG;3;2020;LYN;1.076923077
UITVUJHMKXJTAOFBDBJR;3;2020;LYN;1.795454545
UINTWJAMACBNPJSJINOT;1;2022;LYN;1.357142857
UHKTJLLZQCQCXRUQSDLI;3;2020;LYN;1.621794872
UCMNSJBJUIGQYBZVUZPS;2;2021;LYN;2.157303371
UALOBGYOSHBVQVVZJJAM;3;2020;LYN;3.07518797
TXOTKJLSJFJCDEEOMDQS;1;2022;LYN;3.0
TWULUFQSGYUUGYPDCRSM;1;2022;LYN;2.461538462
TVSULBTUCAUSDGCSGZIV;1;2022;LYN;0.7692307690000001
TSTOCTXGHTNGVPVQZDIF;1;2022;LYN;1.4615384619999998
TOJFYAPSUPWYYWMLCDTK;1;2022;LYN;1.214285714
TGJUCKGLTKMUOCFERSKT;1;2022;LYN;3.692307692
TFUUPZQFNNQNNUDBAYIS;3;2020;LYN;1.6645962730000001
TFKMNILSDMQUNKNCXVBQ;5;2018;LYN;1.715555556
SYVGUMYLQMOVOAWXGVRQ;3;2020;LYN;1.7290322580000002
SXNEZBWYPITDGKFXSHZR;3;2020;LYN;1.4527027030000002
SWUBFGFHRTIFLNEQDHSQ;1;2022;LYN;1.4166666669999999
SUXOJNVLALZXJQSDOJDO;2;2021;LYN;0.32183908
SUPVCQGYFZYHOPQVHIUI;1;2022;LYN;1.307692308
SULLJFJHAKKVEKVRDLQJ;1;2022;LYN;1.692307692
SRONSJYGBWUZPQCEENAZ;1;2022;LYN;1.692307692
SRJZGNFDTMNPOPIPNQZN;1;2022;LYN;0.7857142859999999
SPHRIHLCMVZSNGGLHRCO;3;2020;LYN;1.6566265059999998
SPHAKTPCVAXHZCGHZXVC;3;2020;LYN;1.873417722
SNQCMUOEATGKUIJCNPUB;1;2022;LYN;2.357142857
SKTBBBOBPEHUSRTRHXWQ;3;2020;LYN;3.721428571
SGLXJUXVHICMLTWAGFFO;1;2022;LYN;3.384615385
SEJZUAUPLYGRHNSWMRCQ;3;2020;LYN;3.5
SASAXZEAOCUIPLNNKPGD;2;2021;LYN;1.337349398
SAGUCMOXCYMDPMBYSDDD;3;2020;LYN;2.136986301
RXRMFLTHHRWWGIBACORX;3;2020;LYN;2.378531073
RTDJCNEPZWIVJVCIGWVB;1;2022;LYN;1.153846154
RSKIXBIMBYXOCROFHMPQ;1;2022;LYN;1.928571429
RRUIVQLWYDSTOCAABWDJ;1;2022;LYN;1.076923077
RONXRGAPEURISSFPTWUB;2;2021;LYN;0.7333333329999999
ROBOEBCBQGBJMWWWJHAG;4;2019;LYN;1.004926108
RJUSNVNLZWJPAQWPASVX;1;2022;LYN;2.285714286
RGWPZUWDSZFYNYALRKWR;1;2022;LYN;0.307692308
RBHMJNHUGULLLHFFRVKH;3;2020;LYN;2.624242424
RACBYDNILQXJSJIQQBXW;4;2019;LYN;0.990196078
QZZVHMATPPIWVKWPKDSV;3;2020;LYN;1.9415584419999998
QXVJYICFULMITZVBANDS;1;2022;LYN;0.7142857140000001
QWRWCKSPWDBVXGWCBTNP;3;2020;LYN;1.48125
QSRRYKAUNERTCRBEYGVL;1;2022;LYN;2.4285714290000002
QQEUYKPCBCNXASYCEBRI;3;2020;LYN;3.71875
QNAYNRNMXULGHNMURGRP;1;2022;LYN;1.9230769230000002
QDYSWETDZQJAAQMJLZYB;3;2020;LYN;1.74566474
QCCHLRPVOJJWZUNBAIPY;3;2020;LYN;1.14379085
PYLPSLNMJIDVYSYFBTWV;3;2020;LYN;3.235772358
PVRPIDBRBHUOVDACTVVU;1;2022;LYN;2.8461538460000004
PVOPARSUGANUMXDGBOQE;4;2019;LYN;1.042105263
PSGEIIFUZFRWHYYUVEGB;1;2022;LYN;0.9285714290000001
PPTOYHZHENPNCGOKDJZA;1;2022;LYN;3.642857143
PPSYGVBKTPDOFHMGAZOR;2;2021;LYN;0.831460674
PPIAHIGMORVZJNNNRPZM;4;2019;LYN;1.6597938140000001
PPFZSXTUZPLRWUHCZPEP;3;2020;LYN;1.960674157
PKZUNWAZLIQLXZYMNCZP;3;2020;LYN;1.4658385090000001
PKHUEFPROWZMFGIQIOPP;1;2022;LYN;0.7857142859999999
PJZMXVDXPOEJWXNSAGWB;3;2020;LYN;3.310126582
PIOOBCKNSBCYZUJAHZAR;1;2022;LYN;0.7692307690000001
PFTSOFOJHXSYYXAFVZDK;1;2022;LYN;1.5384615380000002
PDZOAKATYGZYJQHTCIKD;3;2020;LYN;2.6
PDZJWOJFDYZARFWWIXYE;1;2022;LYN;1.0
PCPSCXALNOLJGZZRSUUY;4;2019;LYN;0.917475728
PCKMAGRZZQVYYJORDLXJ;1;2022;LYN;4.0
PBZGCAIQDFUDRYQLFXDG;3;2020;LYN;2.3223684209999997
OVIKHSJSXJXYMXEWYXGK;3;2020;LYN;3.074074074
OSFQHDIJVQUYLPWRYPRK;3;2020;LYN;2.3537414969999997
OODJPPOUWZQOWDNYQCDM;3;2020;LYN;1.8944099380000001
OMGQTOCYWMXNWRXMOAMR;3;2020;LYN;1.729281768
OGVJHUGVVZMCIAEYMPIX;3;2020;LYN;2.3782051280000003
OGCUGGEIOCKPSBNCRPAT;1;2022;LYN;0.46153846200000004
OAYAIBDDKSKBQGBOMOLT;1;2022;LYN;0.307692308
OAVWUEBQNEUGDQIOVFAC;3;2020;LYN;2.8863636360000005
NXMNAVTYKKYQLLJVGOBZ;1;2022;LYN;1.615384615
NXDIDCJZZMKDGQZAHKII;4;2019;LYN;1.298013245
NVDLETHCFNAXNVUEYJCP;1;2022;LYN;0.0
NPFSPNGYFEWVRBAVHXFR;2;2021;LYN;1.544303797
NOQYJSTIPHEKSCKPCGJT;3;2020;LYN;2.671232877
NNWKTEMZKUWIAMTKXADP;3;2020;LYN;2.254658385
NNFRBZSJYNZBJNDZLKWV;3;2020;LYN;1.521472393
NHXUOHFYQKGKDQUQDNUH;2;2021;LYN;1.027777778
NFDSIBTYJLGQUQEKZTWL;4;2019;LYN;1.1714285709999999
NENUWKKGAZDXSWYNNXJZ;1;2022;LYN;0.307692308
NDSMDKPHOSUJPKQSKIZP;1;2022;LYN;3.428571429
NCQIJUXYARCBCANRQGBG;1;2022;LYN;1.384615385
NAJEISUDLLVJINBHPJSZ;1;2022;LYN;0.846153846
MZMQYUGFBGCCQNKNINZP;3;2020;LYN;1.3546511630000002
MZIAVTCRGIZAZQYVUVMO;1;2022;LYN;0.642857143
MWKPTYNYJIUVIAHDMVCB;1;2022;LYN;3.307692308
MWGHREVOXJGFAUMOMRRW;3;2020;LYN;3.235294118
MVNCRSUJPBSCXDLWWMKM;3;2020;LYN;2.453551913
MVKZXXKDAGVCMTSASUKD;1;2022;LYN;1.214285714
MUJCSGYMISPJMINGRTFZ;1;2022;LYN;1.076923077
MUDLIHXNUDMEZLDDHIEJ;1;2022;LYN;1.5833333330000001
MRHQHUMLIZLDGXFPSQHG;3;2020;LYN;1.741176471
MLXGIECRTUJWJGIDLLHB;2;2021;LYN;0.202898551
MGSEOQZRERBAHNGSYQWE;1;2022;LYN;1.769230769
MBEQRRFHRSEIWHKPOJPR;1;2022;LYN;1.076923077
LWHHZDSUWINEEFCWNWIV;1;2022;LYN;3.230769231
LTCGOBXPTLGVVYQQXKZI;1;2022;LYN;1.307692308
LLGKDLFMRPZHGUDRIRBH;3;2020;LYN;1.6875
LHQTYOMYKKJOIZISGZMQ;1;2022;LYN;1.071428571
LDOJOSXVFGNMNQPRQLMY;1;2022;LYN;3.642857143
LCLAQLCJVJDNNJXDJGXS;3;2020;LYN;1.71875
LAZLTXUZZOELCVBJRAQC;1;2022;LYN;0.692307692
KUGGMRCWPJKTSIMRVQLY;3;2020;LYN;1.822485207
KRSJSACICZFPPJUCUXDN;3;2020;LYN;2.4709302330000003
KRGJFGJKXHQTDQROAKTV;1;2022;LYN;0.46153846200000004
KQGLRAZUQDWWDEFACUYL;4;2019;LYN;1.033707865
KOCCLFTPCMVZXIZBHKMQ;1;2022;LYN;1.076923077
KJPVVILRNIJYRTKSSIFJ;3;2020;LYN;1.569536424
KISFFZBOYDGCDFLEGUBR;3;2020;LYN;1.447852761
KFJWQANEXBLELCYCPYKH;1;2022;LYN;1.714285714
KFFJVPUEEAMXSMFIDTLY;2;2021;LYN;1.039473684
KEPXUBDBPKJGCJAYITTW;3;2020;LYN;2.367741935
KCMWPRSVLVBLCMPDMHQT;3;2020;LYN;3.2919708030000003
KCJUIGSSUNMNCQCUMWKJ;1;2022;LYN;2.5714285709999998
KBRSEJYIYQTNAGWNEHBE;1;2022;LYN;1.071428571
JVKURWBSUOVMTQICYJFP;3;2020;LYN;1.9933774830000002
JURQAROLGYQZSXARHBBY;2;2021;LYN;0.378787879
JRXYBIYIIWKSRJYPAPVW;3;2020;LYN;3.243421053
JRMJCXWNGQNJCCRGMSVS;1;2022;LYN;0.7857142859999999
JPSTHLWLCFNAGTEIYELG;2;2021;LYN;0.425
JNPPUIGWFJYZXLHXPKIC;1;2022;LYN;1.928571429
JHKTESDEJFEITTJRJTHU;3;2020;LYN;2.437086093
JHFETXAJLOOAWEBYEEDD;2;2021;LYN;1.301369863
ITMPKJMRHKAOOCFQIGQS;3;2020;LYN;2.072727273
ISARXSXOAUIFQQDGUOQR;1;2022;LYN;0.9285714290000001
IPQXTUMRTJSUKEUIQUUC;1;2022;LYN;0.0
IOAGBBBIKYYNYEFLJCEV;2;2021;LYN;0.863013699
IMUUNDVQXMUIMOOEDUSB;1;2022;LYN;1.166666667
ILCQXMWXRGMKYYGGHYMW;3;2020;LYN;2.0
IKKUKJLKLUASTQZXYTXH;1;2022;LYN;0.7142857140000001
IJYCRCFKQLLSABTPMDNR;1;2022;LYN;0.214285714
IJNYXZYQILCZQIJGSTWA;1;2022;LYN;2.214285714
IALGTKXHJAMBXNAENHUR;3;2020;LYN;2.192546584
HYIKBPZUQZYRIUTRBBNX;1;2022;LYN;1.083333333
HVOEHJMJQXLSAHVTTYTX;3;2020;LYN;1.2647058820000001
HSMIONBGOTBXUUPMVITH;1;2022;LYN;0.9285714290000001
HROTHBQENNHBUPZUJSEU;3;2020;LYN;1.654545455
HQPISUWOQVJVKMMYUUYQ;1;2022;LYN;0.0
HPVXJHVOTBWFQQUDAZJF;1;2022;LYN;2.538461538
HOWSSHCFBELRSBONPPDV;4;2019;LYN;0.9439252340000001
HNCYPLNYOZJVRIQUONWA;3;2020;LYN;3.223684211
HLVGQTYIQSYXVBGIYMTS;3;2020;LYN;2.459119497
HJEQQZMZUWWNVOVAARDK;3;2020;LYN;1.407894737
HHWNFJXAQCTLEEPDMWVP;1;2022;LYN;3.076923077
GYMHNWTCHTTSCTEJAQRB;3;2020;LYN;1.765822785
GSCXYEVBQNFQAWCDOBPE;3;2020;LYN;2.0
GRYINSPPCYEGVJZGJAJB;1;2022;LYN;1.076923077
GOIQKRIKYGXFKUFCHXFV;1;2022;LYN;1.9230769230000002
GHKQHRPZLZENXGOPIGKH;3;2020;LYN;2.759124088
GGTQFNVEUAJKOYUOKACU;1;2022;LYN;1.5
GETSTUWMZQZJLJQBTLLP;4;2019;LYN;1.22459893
GEIFBWADIFRMTWLZLNYM;1;2022;LYN;1.153846154
GDREUXUYFIIUGVZJGVQK;1;2022;LYN;1.0
FXPZMWAHFKJLCVXBUTTK;3;2020;LYN;1.56626506
FWYRTDIGTSQCKFZMAXMK;2;2021;LYN;0.151898734
FWGDXBVCCSYXQHBYDLLB;3;2020;LYN;1.611428571
FRZQNQLBOJDISKGZJLIA;3;2020;LYN;1.9631901840000001
FPZNTENDNAUUBNAGRUDN;1;2022;LYN;3.307692308
FPBFLINBNRLXKDPLYCDG;1;2022;LYN;1.5
FNXJPQEHAGCRHOORWWDC;1;2022;LYN;0.615384615
FNQZYEAIWFJCQQBUALNT;1;2022;LYN;2.384615385
FMVMFEQGOWTFRLXSTYZI;1;2022;LYN;2.0
FMFXPPYVUPWMLQYLDOAL;1;2022;LYN;1.357142857
FLMKCJKMGHRGRCBWSIDK;1;2022;LYN;0.28571428600000004
FKVTHVNLZQCLOOMQHEEA;4;2019;LYN;0.808510638
FGTEQHHIZLSLCDRJRABJ;1;2022;LYN;2.8461538460000004
FGLWVGIEDJZJYSZPTCUX;1;2022;LYN;2.083333333
FGEJVTSQEXMTNBHJLEUF;1;2022;LYN;0.0
FDHHPWUGCSKAKCFXQUTM;1;2022;LYN;0.214285714
FDGSRVDHTFJRTJRBJZOY;1;2022;LYN;2.214285714
EYPWFZCASUKOIQVKTVPP;3;2020;LYN;2.069444444
EXMGXWPOWEURBJEXXBOT;3;2020;LYN;3.201492537
EWMLFGIPLREMMNTEHRVI;4;2019;LYN;1.525
ETLDJBGGJFWGPDFKNCFB;1;2022;LYN;1.5833333330000001
ERWGENMRPZBCPEIXLSBY;2;2021;LYN;0.586666667
EQOJMBHOQSZIGPKQSDOH;1;2022;LYN;2.214285714
EQFWHAUJVXCYQNLPMEWF;1;2022;LYN;1.571428571
EOZSUXVGSAJUHZEZBRKH;1;2022;LYN;0.692307692
ENDYHLMKLJKVGRKADAQX;3;2020;LYN;2.609756098
EKOITPBHCJGAQDWPUAKT;3;2020;LYN;3.024539877
EGYFBHGMOQGJGPUUZSSP;3;2020;LYN;1.040268456
EGVDMRKPMEFXATUENOOY;3;2020;LYN;1.7218934909999999
EFGZCMFCBXYILHNNYTJZ;1;2022;LYN;0.7142857140000001
EENTDXSSUMEJOMFOKDJC;1;2022;LYN;1.928571429
EDJYFFFVSZXYSCPZQYWE;3;2020;LYN;2.0714285709999998
DPQIZZMSSSREOBWFLLIQ;2;2021;LYN;0.09433962300000001
DISJLIBGKBKTMDMNXIJD;1;2022;LYN;0.9285714290000001
DHDEGEIXLXIZWFTJSEAR;1;2022;LYN;2.153846154
DAOWCZGIFQDOBRHHQAPE;3;2020;LYN;2.4785276069999997
CUOOEUUSZLGCKAGSFAXX;3;2020;LYN;2.006024096
CRZPHHSGIAINXSRFECAO;1;2022;LYN;0.7142857140000001
CRTBEPJIRFIPGRTPNIYR;1;2022;LYN;0.0
CQDGSUHZUIJCPSMWDAWR;2;2021;LYN;0.7333333329999999
CFESQMTLEFGWWVBIAWSV;3;2020;LYN;2.991596639
CAQLMMSGTNOTOFGWGCVX;3;2020;LYN;1.464285714
BVYMBJQMOXBPDTSQXOOK;1;2022;LYN;1.888888889
BVIERDSDQRGOZMQKAXNA;3;2020;LYN;3.1363636360000005
BQSEBVYQOCKBIVPPLUTY;1;2022;LYN;0.857142857
BPYWUVPJZCZQFCEFSGHY;3;2020;LYN;3.191666667
BPYTPXHDEHYXAXZCAGRX;2;2021;LYN;0.34177215200000005
