id;year;promo;city;gpa
ZRPMZOFATJTMKGEGUWMO;3;2020;MAR;3.2929936310000003
ZNVDRXKBKHZOJLKAYPWG;1;2022;MAR;2.857142857
ZJQOHELDYBAFLABTAZJG;1;2022;MAR;0.214285714
ZJNPERCIHTTPDKMLWPAT;1;2022;MAR;2.5333333330000003
ZHYJFHOCJNDMOHWQAAEZ;1;2022;MAR;2.5
ZGPAPHGBWXJUTIPSHVRX;1;2022;MAR;1.714285714
YXWDWMLRGVBMFYANAJJF;2;2021;MAR;2.647058824
YVWTMHDKOXTDPWBKOKJA;1;2022;MAR;1.2
YRWYRNZFSGVWZXBKTKCN;3;2020;MAR;2.3237410069999997
YOKIKNBTHIYUBYRVYARD;3;2020;MAR;2.1309523809999997
YNRDKBUSRUEFSSGBYLTR;3;2020;MAR;1.5032258059999999
YHLZNKDFVWTGQKHIUJAV;1;2022;MAR;1.133333333
YCIVRTJFNMJZSCDODKXN;1;2022;MAR;0.7692307690000001
YBHINEBQXBYGYQZIWTOQ;3;2020;MAR;2.759398496
XWPCHSXPBYQAAHYXPTGI;2;2021;MAR;1.44
XPLNLIBORIBDSILHDEUL;2;2021;MAR;0.7023809520000001
WWRNHWYMAHGNVSQXMTYY;3;2020;MAR;2.384057971
WVEYTZHIEZWAMJUUABEX;3;2020;MAR;2.265822785
WUVZEKYPPSIDXEEIRRUZ;3;2020;MAR;3.815068493
WQRZCEDWDFDUHUTTWFHX;1;2022;MAR;0.538461538
WKYBGWHHSNRGPDMTRBOC;1;2022;MAR;2.357142857
VXLBWYWBIBUQOJGDCELA;2;2021;MAR;1.925925926
VRNVECUXSZYJZGSRYAAZ;3;2020;MAR;1.509677419
VPKQUVIWSNTYQAKMRIPH;2;2021;MAR;1.083333333
VMLCVMMLPVFJGXLZLWJB;3;2020;MAR;2.145833333
VJIDJSYSLJAWIZTQNPIZ;1;2022;MAR;2.333333333
VEVBGITVNLJELZCEOJPP;1;2022;MAR;0.25
VAWANZWDJNNRDBGLGHGU;3;2020;MAR;1.37254902
UROHTYDNBZVAASJYZXVV;1;2022;MAR;2.5333333330000003
TUJBPMDLXERTWHDLBZHC;1;2022;MAR;2.928571429
TMZWFQWMIZXHSRHZQONC;1;2022;MAR;1.785714286
TFGBUOFXLYLRWRTMIFZX;1;2022;MAR;2.4
TBJBUXPCYUQSITHHQHRH;1;2022;MAR;1.733333333
SZLHVCPJZRQFRAJMVYCE;1;2022;MAR;1.333333333
SLTXKPARTKRIVKVTFIUX;1;2022;MAR;2.0714285709999998
SHAYFHGLWQHATABBUDSA;1;2022;MAR;1.714285714
SGQWYUQDOQMLWEXUHQBC;1;2022;MAR;1.642857143
SBUNSQNRICIINRTXCLFV;1;2022;MAR;1.714285714
RRFLSLWMSHYYLCJBFDRZ;1;2022;MAR;2.866666667
RQMUXRNVNBLEULAAKENE;1;2022;MAR;0.0
RNIBBLLGDJJFAYAKVDYK;1;2022;MAR;1.8
RMFKMTFQNVVPDUPQQBXD;3;2020;MAR;2.93877551
RLWLUVFDIVPGFESSPAZG;1;2022;MAR;0.0
RLTOSUJDNMXYYWFYZAMB;1;2022;MAR;1.285714286
RLQRVRGKGKTHDNQENKBS;1;2022;MAR;2.333333333
RJNTUDHWWWWWWEDFUAWD;1;2022;MAR;2.5
RGYQIDRYLMIQQSPGHHVG;1;2022;MAR;0.923076923
QVGDEGVEZDUVDCYTKOXF;1;2022;MAR;0.0
QUBUCJTNQQZBRSTYFWSO;1;2022;MAR;1.8
QKKHHNXIOPMTNWFTTPEA;3;2020;MAR;1.771604938
QKCRUJHXVYBFYTAYJNDY;3;2020;MAR;2.135135135
QIGQBGPVMMVUACRYAFNT;3;2020;MAR;1.980645161
QICRBORQDWIXSDYGHCHX;2;2021;MAR;2.851851852
QCLPHLYCRYQDUHYNOHWJ;1;2022;MAR;2.733333333
QCCOKCRZMXBMLUHVCWGY;1;2022;MAR;3.1538461539999996
PMVOUBLUEDCGMWUJRETG;1;2022;MAR;0.9285714290000001
OXYDMPLVDZLTIXLFNSJO;3;2020;MAR;2.703947368
OVNOICBOOZLQLQTHSBPC;1;2022;MAR;0.0
OVILSSREQCFJLUNESIVM;3;2020;MAR;1.812903226
OEYSYFKRTHAKLKRAAVAW;1;2022;MAR;1.066666667
OCUBNTKXFVACFGCNAHYF;1;2022;MAR;2.266666667
NYQRVOBPKYNBWHJIFFVJ;3;2020;MAR;1.863945578
NXIHTYZLESOQXJCGDBSS;1;2022;MAR;1.2
NPADFQIPAFKYIVQLZPNG;1;2022;MAR;0.538461538
NOJLYISBLDPYSKGWNUID;3;2020;MAR;3.202531646
NKKEVRWVAOVRGVSHRMXQ;1;2022;MAR;1.2
NGYVSXZDXSEGHYHJKKHA;1;2022;MAR;0.846153846
LVPVIFFACRSYLAJJWNIW;1;2022;MAR;1.285714286
LVCSHQPXCDCRGLJXNSAS;1;2022;MAR;0.23076923100000002
LPZWXXJTSFLVXNPFROYC;4;2019;MAR;1.87755102
LPLYUYCJRXQHFMUHORCP;3;2020;MAR;2.299319728
LLCLPRYYRWGPKCGDDWUK;4;2019;MAR;1.363636364
KZXRFDJIQTNKALQANRJB;1;2022;MAR;0.923076923
KZWTDFZTNXEIDSSEYIHW;3;2020;MAR;1.872180451
KTJWAEVUNOLZMUWMHRZG;1;2022;MAR;1.214285714
KTIHKZUEPHFSNYDKLFYZ;1;2022;MAR;1.5384615380000002
KOVVVNNCFSVWCOBXRCIZ;1;2022;MAR;0.923076923
KKGKJFWWKZTAVLFALITS;1;2022;MAR;2.4285714290000002
KIBHVOISJCVUKQVHYZET;3;2020;MAR;2.059602649
KDQENOAIZCGVEYZUATVN;1;2022;MAR;1.066666667
KDONPBVGXTWIQOWOHNSC;3;2020;MAR;2.228571429
KCGNZYFHVMYOPRUFQIVP;2;2021;MAR;1.947368421
KAZHDTHNFVBQVKJVRSLX;1;2022;MAR;1.0
JRLPCERBMQYPWNQPPRNY;2;2021;MAR;2.379310345
