id;year;promo;city;gpa
ZGFKXEGYYOGFRPMCOSON;1;2022;MPL;1.5833333330000001
ZDAQKFBXJKCYTQSJRNQL;1;2022;MPL;0.666666667
ZBVJBLGPZLDIBKXIOZHE;3;2020;MPL;3.765151515
YZBIVYHLROJCWLCNJNBC;1;2022;MPL;1.75
YWYHIGOVVOQLQCAQXOQP;1;2022;MPL;2.083333333
YTBQMDZQNAOLTJIQVTMA;3;2020;MPL;3.3783783780000003
YPICAVIJUOSXGGKFWLML;3;2020;MPL;0.758169935
YKXNABGRFAIVHABMEIKV;3;2020;MPL;1.9527027030000002
XWWYYONRBRCWDAEDHYVU;1;2022;MPL;0.916666667
XOSPXVYGWUGORLFRNDSU;4;2019;MPL;1.201388889
XOIFEVOJFMHDULVYFRQH;3;2020;MPL;1.898734177
WZEWPAEAOGXTYJSKKEMJ;1;2022;MPL;1.0
WUVTVMVKBSIIOGAADASH;1;2022;MPL;1.8333333330000001
WOYDVMJSUZIJWAZLYFWD;3;2020;MPL;2.5684931509999998
WNUGIFDTYCGNUUKODERP;3;2020;MPL;2.321167883
WMOIRRSTCLNIRSXICSWJ;2;2021;MPL;1.4166666669999999
WGVYVSHZHHBECQBXENJA;1;2022;MPL;1.6666666669999999
VTFLHCABVCIRGFUYMHTA;3;2020;MPL;2.657718121
VNQRKEFJXUMEBWMZJNCL;1;2022;MPL;2.461538462
VMHGWZNWVPUHIWBAQPPJ;1;2022;MPL;1.0
VLOCAAFVLIYPPSQZWPQE;1;2022;MPL;1.8333333330000001
VEPNXKQSKOVLTDXZEJWM;1;2022;MPL;1.25
VEMYNVJNAWCDUNLLFOYR;1;2022;MPL;1.5
VBUWZZDLGKMJJZGCYISO;1;2022;MPL;3.083333333
UYUCXVOXASUZLKCGBEGA;1;2022;MPL;1.0
UVWPVGZZVMVLLHPPWBKW;1;2022;MPL;0.583333333
UJZMOICPWGLFUOBXTRGP;1;2022;MPL;3.615384615
UFFQLBECTNYHMYZQVKGE;1;2022;MPL;2.25
TVDTBDGTXGPHVBNMFAOH;1;2022;MPL;2.166666667
TSORBJFBWNLXTXOVFUZM;1;2022;MPL;2.538461538
SPUAWCZYCXSGGEYINCAJ;1;2022;MPL;2.166666667
SFESNTBWSMKQUFGVKRWT;3;2020;MPL;1.740740741
SCKVPPQUYKNCUPIVJMGU;1;2022;MPL;1.5
SACOBZUQEUDMTWUNDAOR;3;2020;MPL;2.384615385
RRBDUSQYJLEQLPPNVSHR;3;2020;MPL;2.148148148
RPRIHJHSOXRUTZDNRLUA;2;2021;MPL;1.181818182
RPMISXXNUCUNYXACPDNT;1;2022;MPL;0.75
ROCOLPVSARLKCZLAWWZS;3;2020;MPL;3.081632653
RIGABEWYYNNKUCYLSMNV;1;2022;MPL;2.583333333
RHABUOKXPHQBSZXFFPVR;1;2022;MPL;0.916666667
QJHYSZCJLYVZIXGKDPIV;1;2022;MPL;3.1538461539999996
QFVJXLMQYHEQOQYUNGLT;1;2022;MPL;1.5833333330000001
QDYORVRERBQYKRQHQBOG;1;2022;MPL;2.333333333
QAJWYOVKLASDWAVLCGNG;3;2020;MPL;3.0
PVYADAQAYCANTLCRLRSG;1;2022;MPL;0.5
PUZOIWAHHRGBENQFJWBR;1;2022;MPL;1.5833333330000001
OTRVRASVTTEZSUZZLYGZ;1;2022;MPL;1.333333333
OTHGEAKNVTXHCBYKOKKZ;1;2022;MPL;3.5
OPGYFICQNKXVKYWGDSVP;4;2019;MPL;0.946601942
ODPKIYKIVTCFPMFTFCKT;3;2020;MPL;1.881578947
NYDJCVLEAWEWJQFVDNKP;2;2021;MPL;0.739130435
NSEUNOIVXTMFSHWXKFYL;1;2022;MPL;3.166666667
NHZUSAIQJLCDONLGGJXG;1;2022;MPL;3.230769231
NEZBIGMPPCESQWUWZIXG;1;2022;MPL;0.5
NBIYKNBWMNHAASSPSGBM;1;2022;MPL;2.0
NAIJOIAQNWHZANUGSENL;3;2020;MPL;1.208860759
MVQXUWJICDHJEOEFEOXX;1;2022;MPL;1.75
MKMZKNQQQWOXYNSRONJC;1;2022;MPL;0.5
MHSNLHEPHAGZLSZSZYPN;1;2022;MPL;1.083333333
MGJHUMWJZQDVDYJFYFPY;1;2022;MPL;1.333333333
MDAUMUFVEHLYLPNKNLLH;1;2022;MPL;1.4166666669999999
LXQKJRQMXZBJJCCUYSTN;1;2022;MPL;1.333333333
LVPSYOBVIIBOUJNGSPAI;3;2020;MPL;3.0060975610000003
LLECAEMNDCCZAQHYAPEB;3;2020;MPL;2.084507042
