id;year;promo;city;gpa
ZWXVCDVNHLMXVRJTKNTM;2;2021;NAN;1.470588235
ZUKHJWKGYVGZYWGOVFZD;1;2022;NAN;2.666666667
ZPUUVQANHAXVXLYADPNS;3;2020;NAN;2.7177914110000003
ZIUBNGIWTJYKRRONMULE;1;2022;NAN;1.066666667
ZAKNPXIMDBINGNXSDTGX;1;2022;NAN;2.230769231
YWTYKYOBDTVRULKIVHQC;1;2022;NAN;0.46666666700000003
YPSLWEPMOPVDFIYPJVRY;3;2020;NAN;3.328947368
YKMRHTGGPNSGPMJMLMAM;1;2022;NAN;0.7142857140000001
YEACTCYJJYPADBSONYZM;1;2022;NAN;0.666666667
YCMTWXKUMXLTNVRVXVFF;4;2019;NAN;2.539393939
YAOOUMOKZJNUVKPEWJPB;2;2021;NAN;3.0909090910000003
XZGCRSAGMCRTXYYMMERD;3;2020;NAN;1.543859649
XYOLBYVIYBEAIVUPTCUY;1;2022;NAN;1.733333333
XXZLMUJJNEDAWFMDBAXJ;4;2019;NAN;1.544378698
XVLTGULRFRCKQKSUYHUO;1;2022;NAN;1.6666666669999999
XOZLKCBJVLVLUOCCVCZE;3;2020;NAN;2.555555556
XNRULYOCHVNJWCNTPBNU;1;2022;NAN;2.4
XMFLBMJLQZNWYKPXITKF;1;2022;NAN;0.666666667
WPCTMERZUXYDJRGYIIGB;3;2020;NAN;2.425531915
WLGRGCJZJOERCJIVUEVN;1;2022;NAN;3.714285714
WKZRKTIYBROAORWQDGVJ;3;2020;NAN;3.427631579
VXOGROIOTABHRAGCEJDH;3;2020;NAN;1.993103448
VTMEMOZALLVHIWUGUIGH;1;2022;NAN;2.133333333
VQDMXMHCGBPNNQVDCSQS;1;2022;NAN;1.2
VPDMYAPKOSNWMFSTXWLU;1;2022;NAN;2.0
VHIHSUKPMHMIIKHVKTZE;1;2022;NAN;0.583333333
VFWKQGHEXLTTXHSMALKW;3;2020;NAN;2.6842105259999998
UZZOVRKQHVUZBMWHJYWV;4;2019;NAN;1.63583815
UZSGFRPWZDXWEQZHIHDF;1;2022;NAN;1.9333333330000002
UZOVHGSKMWNTGLQKBKKS;1;2022;NAN;0.916666667
UWHZBVKKORMSUEVRLFBY;1;2022;NAN;1.642857143
USQJGOJTITHAWIRYXSUY;1;2022;NAN;1.0
UPFATCBBJKFPKKEOGCGK;1;2022;NAN;0.8666666670000001
UKAAFAAHEOMLQRRKFECZ;1;2022;NAN;0.583333333
UDKPRUODEMESMHJFGFNY;3;2020;NAN;1.52173913
TZYBYJBEPKAPWKQTRHDV;2;2021;NAN;2.066666667
TTPIOGFBDYOZULNANCRC;3;2020;NAN;2.6688741719999998
TMJLHXLDKCRIUDXGVNLF;3;2020;NAN;2.403726708
TJLNEAJMFJZPVZOKFATD;1;2022;NAN;1.714285714
TIVFHQKLBVJQVKPHFWRK;4;2019;NAN;2.536144578
THJUQMKDXAERVSUUCQLY;3;2020;NAN;2.979591837
TFJDIXPQUWRRWMHBXBFE;1;2022;NAN;1.533333333
TCIGQTZXKANMGJIJDMQC;3;2020;NAN;3.083333333
SZZCRAHCRLLFIAROWKBW;1;2022;NAN;1.4
SWXILAMXFSLUMVRDHDJU;1;2022;NAN;2.142857143
SRKHEEQZOWNHLJLGPTSR;1;2022;NAN;0.5
SDDKYGPLDLIVNOMKSSRY;1;2022;NAN;0.8666666670000001
SBVRYKCPOCNZZNIIZJZH;3;2020;NAN;1.569536424
RSHBHVPZTXZVOFYAQDGQ;3;2020;NAN;2.341935484
RFCHEZGXWZGNTTBHBLZF;1;2022;NAN;1.071428571
QXVNYRTEFFSFZHJGYXNJ;1;2022;NAN;0.666666667
QTTLROVBLLRSKBZXFABN;1;2022;NAN;0.8666666670000001
QSWGTPFAIPEGXEYZTTCA;1;2022;NAN;0.4
QHICBOGEPFAWKQVYQQLQ;1;2022;NAN;1.6
PVAISJMOPMFVZVDPKJSD;3;2020;NAN;1.9325153369999999
PRRGPUVCUQIIAOSHBZKN;1;2022;NAN;3.2
