Source;Target;Code_Activity;timestamp_start;timestamp_end;Start;End;Cluster
GOJTWKMZTABRBODLXNYD;BQKFIKQOOJZLAAQZZZNE;295689;1545001200;1546729200;17/12/2018;06/01/2019;1
GOJTWKMZTABRBODLXNYD;BWAYZINYUIMQIHUVZZTT;295392;1544655600;1545260400;13/12/2018;20/12/2018;1
GOJTWKMZTABRBODLXNYD;BWAYZINYUIMQIHUVZZTT;297091;1539381600;1539468000;13/10/2018;14/10/2018;1
GOJTWKMZTABRBODLXNYD;UPFATCBBJKFPKKEOGCGK;295392;1544655600;1545260400;13/12/2018;20/12/2018;1
GOJTWKMZTABRBODLXNYD;QXVNYRTEFFSFZHJGYXNJ;295392;1544655600;1545260400;13/12/2018;20/12/2018;1
GOJTWKMZTABRBODLXNYD;JNZKAZEBXXQMTVXNUNQT;297076;1538776800;1538863200;06/10/2018;07/10/2018;1
GOJTWKMZTABRBODLXNYD;IROXJGBQPKMCDMGAMNTA;295392;1544655600;1545260400;13/12/2018;20/12/2018;1
GOJTWKMZTABRBODLXNYD;CLFUMVMFSYJDFKMTNAXH;297587;1540159200;1541286000;22/10/2018;04/11/2018;1
GOJTWKMZTABRBODLXNYD;HXJVTTQQOYHMQUFVVAUQ;297588;1540332000;1540677600;24/10/2018;28/10/2018;1
GOJTWKMZTABRBODLXNYD;ICKREINRKHSMWEDSYHSX;297587;1540159200;1541286000;22/10/2018;04/11/2018;1
GOJTWKMZTABRBODLXNYD;BFFCMXENYRBGHJDYPMWU;295392;1544655600;1545260400;13/12/2018;20/12/2018;1
GOJTWKMZTABRBODLXNYD;SRKHEEQZOWNHLJLGPTSR;297592;1540591200;1540591200;27/10/2018;27/10/2018;1
BWAYZINYUIMQIHUVZZTT;IZJHABQBOVCXDJRXTHCU;295680;1542582000;1543705200;19/11/2018;02/12/2018;1
BWAYZINYUIMQIHUVZZTT;IZJHABQBOVCXDJRXTHCU;295676;1541372400;1542495600;05/11/2018;18/11/2018;1
BWAYZINYUIMQIHUVZZTT;YWTYKYOBDTVRULKIVHQC;297587;1540159200;1541286000;22/10/2018;04/11/2018;1
BWAYZINYUIMQIHUVZZTT;YWTYKYOBDTVRULKIVHQC;297596;1545001200;1546124400;17/12/2018;30/12/2018;1
BWAYZINYUIMQIHUVZZTT;YWTYKYOBDTVRULKIVHQC;297588;1540332000;1540677600;24/10/2018;28/10/2018;1
BWAYZINYUIMQIHUVZZTT;GOJTWKMZTABRBODLXNYD;295392;1544655600;1545260400;13/12/2018;20/12/2018;1
BWAYZINYUIMQIHUVZZTT;GOJTWKMZTABRBODLXNYD;297091;1539381600;1539468000;13/10/2018;14/10/2018;1
BWAYZINYUIMQIHUVZZTT;IROXJGBQPKMCDMGAMNTA;295392;1544655600;1545260400;13/12/2018;20/12/2018;1
BWAYZINYUIMQIHUVZZTT;UZOVHGSKMWNTGLQKBKKS;297592;1540591200;1540591200;27/10/2018;27/10/2018;1
BWAYZINYUIMQIHUVZZTT;UPFATCBBJKFPKKEOGCGK;295392;1544655600;1545260400;13/12/2018;20/12/2018;1
