id;year;promo;city;gpa
ZWNFKSZJXEWNGJFLYTYJ;1;2022;NCE;0.583333333
ZUKVFOTBCIHPFNMEYVBD;1;2022;NCE;0.9285714290000001
ZKEEQAQXFSMKOGMGWGDY;4;2019;NCE;2.097222222
YXUJGIFXOCWYBBXQKEHE;1;2022;NCE;2.461538462
XVPAHEMZSNGLEUBLAZYL;2;2021;NCE;0.375
XQNAYJBZWSNENRKGIDDX;1;2022;NCE;1.785714286
XAWDPSWCXDRCNQHZRZOM;3;2020;NCE;1.582278481
WXJQITUZTUPICGFQLAAQ;4;2019;NCE;2.531468531
WJVONEAGMCNRUXBNYOKG;1;2022;NCE;1.357142857
WHGEIOSEUQYLFMPGEIIJ;4;2019;NCE;1.29375
WCZFCXKGEXVDXTCQIKEE;1;2022;NCE;0.307692308
VXZOSMAHWDMAODLLVWUY;2;2021;NCE;0.386666667
VXCWFZWADAZCKKTKTQWO;3;2020;NCE;3.340136054
VVWRFREDVHZXVXEVPPRF;3;2020;NCE;2.401273885
VUURFCWPWBOVETMDRTXP;3;2020;NCE;2.321678322
VTGMSLCBARWXACSGUMFT;1;2022;NCE;1.5384615380000002
VLZCGDEGBHVNDDWDWAIZ;1;2022;NCE;0.307692308
VHXAUKXLMZSGBXAHWLRT;1;2022;NCE;2.214285714
VCZJNSJUKDTKYFLAHKJN;2;2021;NCE;0.413793103
VCXBDSDFTLMVCFHTLOLZ;1;2022;NCE;1.384615385
VBTPITUILOBPIUEELOEY;1;2022;NCE;0.7692307690000001
VBAMEKVNRYTUWDPVYZUL;2;2021;NCE;0.936507937
URKGNEUUAQYYGUTVTFDW;1;2022;NCE;0.583333333
UNPWMYNJEKCAHSRYHVTH;3;2020;NCE;2.238095238
UMEIVYIRSJZFHNLGCFUJ;1;2022;NCE;0.642857143
UEIYVPZVCLGBYOYHAWCF;1;2022;NCE;0.615384615
UBQPOYPHUGPROZTESSYF;1;2022;NCE;1.4615384619999998
UBNLQVPYEUEDVNXEKIZJ;1;2022;NCE;1.0
UAUALFIGVZMFDRTAFNRC;3;2020;NCE;2.482517483
TQKNPNMYQABSZWWWPFDE;1;2022;NCE;1.75
TQGMTMMMQQFFBVFUUOGC;2;2021;NCE;1.123076923
TKKNDESUWJGAZHAEVNYI;1;2022;NCE;1.571428571
TKFMABUTUGXQSQMNVUCM;1;2022;NCE;1.357142857
TJZPSYNEQZKOEMOLJCKS;1;2022;NCE;0.9285714290000001
TEPVZMYTTWRLKVFAHUZJ;3;2020;NCE;1.685185185
SYLOUNBNDBUYHBMOLJCJ;3;2020;NCE;2.686666667
SSRJISUGIHSSCRASOLJI;4;2019;NCE;1.4358974359999999
SPCZUFJXRWIUAJMBJTSY;1;2022;NCE;3.285714286
SOYGSILUJZAREMEUCYXL;4;2019;NCE;2.132183908
SOVAHQDSZPXQYYPXEGHX;1;2022;NCE;3.692307692
SEZLOCQGUYTOXCTIGODV;3;2020;NCE;3.482517483
SDXCGYUGXTKDUMHBRDSO;3;2020;NCE;1.383647799
SAWXXFVLNTPGYZVMGDCB;1;2022;NCE;0.7857142859999999
RZBGIVEWMOYWNKVLJRLA;1;2022;NCE;0.857142857
RUQNQBIZLPOGIBDXNDPW;2;2021;NCE;0.531914894
RNBUJVRCPXYRKJWFONJN;3;2020;NCE;2.39869281
RJVPLMRKVQPJLGZBVMLC;3;2020;NCE;1.04375
RHOHFNDCHQAPKZMMLDMR;3;2020;NCE;3.787878788
QXGOXBRZYKIUQOSGOION;2;2021;NCE;0.7792207790000001
QTOSOTVZOSNOUGUYJLYW;1;2022;NCE;1.428571429
QQEXRFVINISFRGFLKGUX;1;2022;NCE;0.538461538
QNXESZRUWEUIXUWKMIGT;1;2022;NCE;2.230769231
QMVNPKANMZLQJUREQLVD;1;2022;NCE;1.0
QGQYZQHCOLHTKBZEQKVN;1;2022;NCE;1.428571429
QCMMDYCHAVHIGEKHSBKV;2;2021;NCE;0.6323529410000001
QARQBAVJYUNTCLOPPJBW;1;2022;NCE;1.0
PPOBUASSSDXXOURZFZUO;3;2020;NCE;3.838235294
PMTQMTIDVPEJBCKWVRYC;2;2021;NCE;0.272727273
PLLYDNJDDSFKQERPZAEO;1;2022;NCE;0.28571428600000004
PKYHBJDXNXAHVDHFQECU;3;2020;NCE;1.573099415
PHNKYAJMFCITKMKMGUUJ;3;2020;NCE;2.814814815
PAZCZXOTVXIJCXCCWART;3;2020;NCE;1.460227273
OZTWYRIUELRKWKRXFDPY;3;2020;NCE;1.6887417219999998
OURNRPVKPIJROBAXFIYE;3;2020;NCE;2.038216561
OKTXWHLJLTVKMXCLRWKU;3;2020;NCE;2.463768116
OGGJIHEHVJBEODRXOSSG;1;2022;NCE;1.857142857
