Source;Target;Code_Activity;timestamp_start;timestamp_end;Start;End;Cluster
EPSUXISXTBBEHFHNKBEH;JJSZUGOATPRMQTOHNBAJ;295404;1544655600;1545260400;13/12/2018;20/12/2018;1
EPSUXISXTBBEHFHNKBEH;LEMCGFFOPCEERLKBIUAA;295404;1544655600;1545260400;13/12/2018;20/12/2018;1
EPSUXISXTBBEHFHNKBEH;PLLYDNJDDSFKQERPZAEO;297604;1540591200;1540591200;27/10/2018;27/10/2018;1
EPSUXISXTBBEHFHNKBEH;JYZRPXKSMJPEAMZIIWTX;295404;1544655600;1545260400;13/12/2018;20/12/2018;1
EPSUXISXTBBEHFHNKBEH;ODNRAZPDIHFLBULUAEFN;297117;1538776800;1538863200;06/10/2018;07/10/2018;1
EPSUXISXTBBEHFHNKBEH;APHXFSKRPRJIECBVFRPI;297132;1539381600;1539468000;13/10/2018;14/10/2018;1
EPSUXISXTBBEHFHNKBEH;IIPASUYOXFYUIPQPVPOS;297600;1540332000;1540677600;24/10/2018;28/10/2018;1
EPSUXISXTBBEHFHNKBEH;UEIYVPZVCLGBYOYHAWCF;297599;1540159200;1541286000;22/10/2018;04/11/2018;1
EPSUXISXTBBEHFHNKBEH;JEPTTMFPJDBUQVTPWFWQ;295404;1544655600;1545260400;13/12/2018;20/12/2018;1
EPSUXISXTBBEHFHNKBEH;TKKNDESUWJGAZHAEVNYI;295404;1544655600;1545260400;13/12/2018;20/12/2018;1
EPSUXISXTBBEHFHNKBEH;SAWXXFVLNTPGYZVMGDCB;297599;1540159200;1541286000;22/10/2018;04/11/2018;1
SOVAHQDSZPXQYYPXEGHX;TQGMTMMMQQFFBVFUUOGC;295703;1542582000;1543705200;19/11/2018;02/12/2018;1
SOVAHQDSZPXQYYPXEGHX;TQGMTMMMQQFFBVFUUOGC;297117;1538776800;1538863200;06/10/2018;07/10/2018;1
SOVAHQDSZPXQYYPXEGHX;TQGMTMMMQQFFBVFUUOGC;297599;1540159200;1541286000;22/10/2018;04/11/2018;1
SOVAHQDSZPXQYYPXEGHX;TQGMTMMMQQFFBVFUUOGC;297600;1540332000;1540677600;24/10/2018;28/10/2018;1
SOVAHQDSZPXQYYPXEGHX;TQGMTMMMQQFFBVFUUOGC;295705;1543791600;1544310000;03/12/2018;09/12/2018;1
SOVAHQDSZPXQYYPXEGHX;DEHXILPVPXJQASTWUPED;297132;1539381600;1539468000;13/10/2018;14/10/2018;1
SOVAHQDSZPXQYYPXEGHX;NTFAQRHWEGLFSULXSFIS;297599;1540159200;1541286000;22/10/2018;04/11/2018;1
SOVAHQDSZPXQYYPXEGHX;TQKNPNMYQABSZWWWPFDE;297604;1540591200;1540591200;27/10/2018;27/10/2018;1
SOVAHQDSZPXQYYPXEGHX;SPCZUFJXRWIUAJMBJTSY;295699;1541372400;1542495600;05/11/2018;18/11/2018;1
QQEXRFVINISFRGFLKGUX;URKGNEUUAQYYGUTVTFDW;295404;1544655600;1545260400;13/12/2018;20/12/2018;1
QQEXRFVINISFRGFLKGUX;URKGNEUUAQYYGUTVTFDW;297600;1540332000;1540677600;24/10/2018;28/10/2018;1
QQEXRFVINISFRGFLKGUX;URKGNEUUAQYYGUTVTFDW;297599;1540159200;1541286000;22/10/2018;04/11/2018;1
QQEXRFVINISFRGFLKGUX;URKGNEUUAQYYGUTVTFDW;295703;1542582000;1543705200;19/11/2018;02/12/2018;1
QQEXRFVINISFRGFLKGUX;HMZDKGBMLRQOCVDLJZLY;297599;1540159200;1541286000;22/10/2018;04/11/2018;1
QQEXRFVINISFRGFLKGUX;HMZDKGBMLRQOCVDLJZLY;295699;1541372400;1542495600;05/11/2018;18/11/2018;1
QQEXRFVINISFRGFLKGUX;DGMLPAUENOJHJPBTFYDY;295404;1544655600;1545260400;13/12/2018;20/12/2018;1
QQEXRFVINISFRGFLKGUX;NSNEVXYTFCAECLAMGJJC;297117;1538776800;1538863200;06/10/2018;07/10/2018;1
QQEXRFVINISFRGFLKGUX;CMBLRLWTUHBPWFLPGUHW;297604;1540591200;1540591200;27/10/2018;27/10/2018;1
QQEXRFVINISFRGFLKGUX;BNKRHCXDXBYVFNWQXOGF;295404;1544655600;1545260400;13/12/2018;20/12/2018;1
QQEXRFVINISFRGFLKGUX;QGQYZQHCOLHTKBZEQKVN;295404;1544655600;1545260400;13/12/2018;20/12/2018;1
PLLYDNJDDSFKQERPZAEO;RZBGIVEWMOYWNKVLJRLA;295404;1544655600;1545260400;13/12/2018;20/12/2018;1
PLLYDNJDDSFKQERPZAEO;RZBGIVEWMOYWNKVLJRLA;297600;1540332000;1540677600;24/10/2018;28/10/2018;1
PLLYDNJDDSFKQERPZAEO;RZBGIVEWMOYWNKVLJRLA;297599;1540159200;1541286000;22/10/2018;04/11/2018;1
PLLYDNJDDSFKQERPZAEO;NTNPFMONWNDEKHLWWPAV;297599;1540159200;1541286000;22/10/2018;04/11/2018;1
PLLYDNJDDSFKQERPZAEO;NTNPFMONWNDEKHLWWPAV;295404;1544655600;1545260400;13/12/2018;20/12/2018;1
PLLYDNJDDSFKQERPZAEO;VBAMEKVNRYTUWDPVYZUL;295404;1544655600;1545260400;13/12/2018;20/12/2018;1
PLLYDNJDDSFKQERPZAEO;AAKXKAFZFTZOXBTLVHUA;297117;1538776800;1538863200;06/10/2018;07/10/2018;1
PLLYDNJDDSFKQERPZAEO;LBUPAJNVKEVQBSNCQDQY;295404;1544655600;1545260400;13/12/2018;20/12/2018;1
PLLYDNJDDSFKQERPZAEO;EPSUXISXTBBEHFHNKBEH;297604;1540591200;1540591200;27/10/2018;27/10/2018;1
PLLYDNJDDSFKQERPZAEO;GYKJXXAKCFGXCKARAVXQ;295404;1544655600;1545260400;13/12/2018;20/12/2018;1
PLLYDNJDDSFKQERPZAEO;CBDHYMZIBVYKAUVNKGWA;295404;1544655600;1545260400;13/12/2018;20/12/2018;1
PLLYDNJDDSFKQERPZAEO;VTGMSLCBARWXACSGUMFT;297132;1539381600;1539468000;13/10/2018;14/10/2018;1
PLLYDNJDDSFKQERPZAEO;APHXFSKRPRJIECBVFRPI;295404;1544655600;1545260400;13/12/2018;20/12/2018;1
PLLYDNJDDSFKQERPZAEO;MRRSSRGDXRNQVFQHJPVX;295404;1544655600;1545260400;13/12/2018;20/12/2018;1
PLLYDNJDDSFKQERPZAEO;TKFMABUTUGXQSQMNVUCM;295404;1544655600;1545260400;13/12/2018;20/12/2018;1
OGGJIHEHVJBEODRXOSSG;ZUKVFOTBCIHPFNMEYVBD;295712;1545001200;1546729200;17/12/2018;06/01/2019;1
OGGJIHEHVJBEODRXOSSG;ZUKVFOTBCIHPFNMEYVBD;295718;1548025200;1548543600;21/01/2019;27/01/2019;1
OGGJIHEHVJBEODRXOSSG;ZUKVFOTBCIHPFNMEYVBD;295708;1543791600;1544914800;03/12/2018;16/12/2018;1
OGGJIHEHVJBEODRXOSSG;ZUKVFOTBCIHPFNMEYVBD;295699;1541372400;1542495600;05/11/2018;18/11/2018;1
OGGJIHEHVJBEODRXOSSG;ZUKVFOTBCIHPFNMEYVBD;295716;1546470000;1547938800;03/01/2019;20/01/2019;1
OGGJIHEHVJBEODRXOSSG;ZUKVFOTBCIHPFNMEYVBD;295705;1543791600;1544310000;03/12/2018;09/12/2018;1
OGGJIHEHVJBEODRXOSSG;ZUKVFOTBCIHPFNMEYVBD;295404;1544655600;1545260400;13/12/2018;20/12/2018;1
OGGJIHEHVJBEODRXOSSG;WJVONEAGMCNRUXBNYOKG;295703;1542582000;1543705200;19/11/2018;02/12/2018;1
OGGJIHEHVJBEODRXOSSG;WJVONEAGMCNRUXBNYOKG;297117;1538776800;1538863200;06/10/2018;07/10/2018;1
OGGJIHEHVJBEODRXOSSG;WJVONEAGMCNRUXBNYOKG;295404;1544655600;1545260400;13/12/2018;20/12/2018;1
OGGJIHEHVJBEODRXOSSG;WJVONEAGMCNRUXBNYOKG;297600;1540332000;1540677600;24/10/2018;28/10/2018;1
OGGJIHEHVJBEODRXOSSG;QCMMDYCHAVHIGEKHSBKV;297604;1540591200;1540591200;27/10/2018;27/10/2018;1
OGGJIHEHVJBEODRXOSSG;QNXESZRUWEUIXUWKMIGT;295404;1544655600;1545260400;13/12/2018;20/12/2018;1
OGGJIHEHVJBEODRXOSSG;SPCZUFJXRWIUAJMBJTSY;297132;1539381600;1539468000;13/10/2018;14/10/2018;1
OGGJIHEHVJBEODRXOSSG;LFTMTNQDLIVABWYSRQYQ;295404;1544655600;1545260400;13/12/2018;20/12/2018;1
OGGJIHEHVJBEODRXOSSG;VCXBDSDFTLMVCFHTLOLZ;297599;1540159200;1541286000;22/10/2018;04/11/2018;1
OGGJIHEHVJBEODRXOSSG;QGQYZQHCOLHTKBZEQKVN;297599;1540159200;1541286000;22/10/2018;04/11/2018;1
VTGMSLCBARWXACSGUMFT;VBTPITUILOBPIUEELOEY;297599;1540159200;1541286000;22/10/2018;04/11/2018;1
VTGMSLCBARWXACSGUMFT;VBTPITUILOBPIUEELOEY;295404;1544655600;1545260400;13/12/2018;20/12/2018;1
VTGMSLCBARWXACSGUMFT;YXUJGIFXOCWYBBXQKEHE;295404;1544655600;1545260400;13/12/2018;20/12/2018;1
VTGMSLCBARWXACSGUMFT;YXUJGIFXOCWYBBXQKEHE;297599;1540159200;1541286000;22/10/2018;04/11/2018;1
VTGMSLCBARWXACSGUMFT;LDITENKZNCZIISAWIZTK;295404;1544655600;1545260400;13/12/2018;20/12/2018;1
VTGMSLCBARWXACSGUMFT;VHXAUKXLMZSGBXAHWLRT;297117;1538776800;1538863200;06/10/2018;07/10/2018;1
VTGMSLCBARWXACSGUMFT;NTFAQRHWEGLFSULXSFIS;295404;1544655600;1545260400;13/12/2018;20/12/2018;1
VTGMSLCBARWXACSGUMFT;PLLYDNJDDSFKQERPZAEO;297132;1539381600;1539468000;13/10/2018;14/10/2018;1
VTGMSLCBARWXACSGUMFT;QTOSOTVZOSNOUGUYJLYW;297604;1540591200;1540591200;27/10/2018;27/10/2018;1
VTGMSLCBARWXACSGUMFT;ODNRAZPDIHFLBULUAEFN;295404;1544655600;1545260400;13/12/2018;20/12/2018;1
VTGMSLCBARWXACSGUMFT;UBNLQVPYEUEDVNXEKIZJ;297600;1540332000;1540677600;24/10/2018;28/10/2018;1
VTGMSLCBARWXACSGUMFT;FBVWETOOOUZPYVNECAVD;295404;1544655600;1545260400;13/12/2018;20/12/2018;1
VTGMSLCBARWXACSGUMFT;KGKVFHVHFIWNRSQDLMVA;295404;1544655600;1545260400;13/12/2018;20/12/2018;1
UBNLQVPYEUEDVNXEKIZJ;QXGOXBRZYKIUQOSGOION;297132;1539381600;1539468000;13/10/2018;14/10/2018;1
UBNLQVPYEUEDVNXEKIZJ;TJZPSYNEQZKOEMOLJCKS;297599;1540159200;1541286000;22/10/2018;04/11/2018;1
UBNLQVPYEUEDVNXEKIZJ;VLZCGDEGBHVNDDWDWAIZ;297117;1538776800;1538863200;06/10/2018;07/10/2018;1
UBNLQVPYEUEDVNXEKIZJ;VTGMSLCBARWXACSGUMFT;297600;1540332000;1540677600;24/10/2018;28/10/2018;1
UBNLQVPYEUEDVNXEKIZJ;APHXFSKRPRJIECBVFRPI;297599;1540159200;1541286000;22/10/2018;04/11/2018;1
UBNLQVPYEUEDVNXEKIZJ;TKFMABUTUGXQSQMNVUCM;297604;1540591200;1540591200;27/10/2018;27/10/2018;1
UBQPOYPHUGPROZTESSYF;UMEIVYIRSJZFHNLGCFUJ;295708;1543791600;1544914800;03/12/2018;16/12/2018;1
UBQPOYPHUGPROZTESSYF;UMEIVYIRSJZFHNLGCFUJ;297600;1540332000;1540677600;24/10/2018;28/10/2018;1
UBQPOYPHUGPROZTESSYF;UMEIVYIRSJZFHNLGCFUJ;297599;1540159200;1541286000;22/10/2018;04/11/2018;1
UBQPOYPHUGPROZTESSYF;CYKBEDQHBFVVBWOCBIVR;297599;1540159200;1541286000;22/10/2018;04/11/2018;1
UBQPOYPHUGPROZTESSYF;CYKBEDQHBFVVBWOCBIVR;295699;1541372400;1542495600;05/11/2018;18/11/2018;1
UBQPOYPHUGPROZTESSYF;VXZOSMAHWDMAODLLVWUY;297604;1540591200;1540591200;27/10/2018;27/10/2018;1
UBQPOYPHUGPROZTESSYF;EUISABONVSDPJOQGGOIT;295716;1546470000;1547938800;03/01/2019;20/01/2019;1
UBQPOYPHUGPROZTESSYF;FBVWETOOOUZPYVNECAVD;297117;1538776800;1538863200;06/10/2018;07/10/2018;1
UBQPOYPHUGPROZTESSYF;KGKVFHVHFIWNRSQDLMVA;297132;1539381600;1539468000;13/10/2018;14/10/2018;1
JEPTTMFPJDBUQVTPWFWQ;JJSZUGOATPRMQTOHNBAJ;295404;1544655600;1545260400;13/12/2018;20/12/2018;1
JEPTTMFPJDBUQVTPWFWQ;VBTPITUILOBPIUEELOEY;297132;1539381600;1539468000;13/10/2018;14/10/2018;1
JEPTTMFPJDBUQVTPWFWQ;LEMCGFFOPCEERLKBIUAA;295404;1544655600;1545260400;13/12/2018;20/12/2018;1
JEPTTMFPJDBUQVTPWFWQ;EPSUXISXTBBEHFHNKBEH;295404;1544655600;1545260400;13/12/2018;20/12/2018;1
JEPTTMFPJDBUQVTPWFWQ;JYZRPXKSMJPEAMZIIWTX;295404;1544655600;1545260400;13/12/2018;20/12/2018;1
JEPTTMFPJDBUQVTPWFWQ;EUISABONVSDPJOQGGOIT;297117;1538776800;1538863200;06/10/2018;07/10/2018;1
JEPTTMFPJDBUQVTPWFWQ;TKKNDESUWJGAZHAEVNYI;295404;1544655600;1545260400;13/12/2018;20/12/2018;1
NMKHTSKYJQNMXBTLEIVT;FQPQBIXMNSMCRRNONWGN;278555;1520204400;1523397600;05/03/2018;11/04/2018;2
NMKHTSKYJQNMXBTLEIVT;FQPQBIXMNSMCRRNONWGN;301104;1537135200;1538258400;17/09/2018;30/09/2018;2
NMKHTSKYJQNMXBTLEIVT;FQPQBIXMNSMCRRNONWGN;278675;1525644000;1529186400;07/05/2018;17/06/2018;2
NMKHTSKYJQNMXBTLEIVT;FQPQBIXMNSMCRRNONWGN;301323;1536184800;1536444000;06/09/2018;09/09/2018;2
NMKHTSKYJQNMXBTLEIVT;FQPQBIXMNSMCRRNONWGN;301328;1536530400;1536789600;10/09/2018;13/09/2018;2
NMKHTSKYJQNMXBTLEIVT;FQPQBIXMNSMCRRNONWGN;280426;1521414000;1522533600;19/03/2018;01/04/2018;2
NMKHTSKYJQNMXBTLEIVT;FQPQBIXMNSMCRRNONWGN;300437;1541372400;1541890800;05/11/2018;11/11/2018;2
NMKHTSKYJQNMXBTLEIVT;FQPQBIXMNSMCRRNONWGN;291036;1530136800;1530828000;28/06/2018;06/07/2018;2
NMKHTSKYJQNMXBTLEIVT;FQPQBIXMNSMCRRNONWGN;276450;1515711600;1515884400;12/01/2018;14/01/2018;2
NMKHTSKYJQNMXBTLEIVT;FQPQBIXMNSMCRRNONWGN;237461;1485730800;1487631600;30/01/2017;21/02/2017;2
NMKHTSKYJQNMXBTLEIVT;FQPQBIXMNSMCRRNONWGN;280084;1517785200;1521327600;05/02/2018;18/03/2018;2
NMKHTSKYJQNMXBTLEIVT;FQPQBIXMNSMCRRNONWGN;301320;1536098400;1536444000;05/09/2018;09/09/2018;2
NMKHTSKYJQNMXBTLEIVT;FQPQBIXMNSMCRRNONWGN;301316;1536012000;1536271200;04/09/2018;07/09/2018;2
NMKHTSKYJQNMXBTLEIVT;FQPQBIXMNSMCRRNONWGN;278670;1523829600;1525989600;16/04/2018;11/05/2018;2
NMKHTSKYJQNMXBTLEIVT;FQPQBIXMNSMCRRNONWGN;300252;1538344800;1540072800;01/10/2018;21/10/2018;2
NMKHTSKYJQNMXBTLEIVT;FQPQBIXMNSMCRRNONWGN;301327;1536530400;1536530400;10/09/2018;10/09/2018;2
NMKHTSKYJQNMXBTLEIVT;FQPQBIXMNSMCRRNONWGN;279884;1527458400;1530050400;28/05/2018;27/06/2018;2
NMKHTSKYJQNMXBTLEIVT;FQPQBIXMNSMCRRNONWGN;280425;1520204400;1521327600;05/03/2018;18/03/2018;2
NMKHTSKYJQNMXBTLEIVT;FQPQBIXMNSMCRRNONWGN;276441;1515106800;1515279600;05/01/2018;07/01/2018;2
NMKHTSKYJQNMXBTLEIVT;FQPQBIXMNSMCRRNONWGN;300433;1538949600;1540677600;08/10/2018;28/10/2018;2
NMKHTSKYJQNMXBTLEIVT;FQPQBIXMNSMCRRNONWGN;280088;1521414000;1529791200;19/03/2018;24/06/2018;2
NMKHTSKYJQNMXBTLEIVT;FQPQBIXMNSMCRRNONWGN;237149;1491775200;1495317600;10/04/2017;21/05/2017;2
NMKHTSKYJQNMXBTLEIVT;FQPQBIXMNSMCRRNONWGN;301334;1536703200;1537048800;12/09/2018;16/09/2018;2
NMKHTSKYJQNMXBTLEIVT;FQPQBIXMNSMCRRNONWGN;291068;1530136800;1530655200;28/06/2018;04/07/2018;2
NMKHTSKYJQNMXBTLEIVT;FQPQBIXMNSMCRRNONWGN;286600;1529877600;1530396000;25/06/2018;01/07/2018;2
NMKHTSKYJQNMXBTLEIVT;FQPQBIXMNSMCRRNONWGN;280428;1523224800;1524348000;09/04/2018;22/04/2018;2
NMKHTSKYJQNMXBTLEIVT;FQPQBIXMNSMCRRNONWGN;279558;1519599600;1520722800;26/02/2018;11/03/2018;2
NMKHTSKYJQNMXBTLEIVT;FQPQBIXMNSMCRRNONWGN;219689;1481842800;1481842800;16/12/2016;16/12/2016;2
NMKHTSKYJQNMXBTLEIVT;FQPQBIXMNSMCRRNONWGN;286454;1528668000;1529186400;11/06/2018;17/06/2018;2
