id;year;promo;city;gpa
ZYRIDVJTLWLMBDGFLDBJ;1;2022;PAR;3.076923077
ZWYXCQOAHRSYYZJHAMBC;3;2020;PAR;2.210526316
ZWAHSYHVTEWQWEQHXTHN;1;2022;PAR;2.692307692
ZVSTKVZMPVESNEEQDWRY;1;2022;PAR;0.7692307690000001
ZUVSXSCLLBKXMPOCHGKI;1;2022;PAR;2.8461538460000004
ZTZNRFPDROZFGMRJTZFR;1;2022;PAR;0.384615385
ZTQLAPZHWUPZMYPNQMRF;3;2020;PAR;1.788043478
ZTPXJCPKDHOXPXBRWEXR;3;2020;PAR;1.167741935
ZTEDFFDJOARBUCBXGBSO;1;2022;PAR;0.0
ZSWQGZWJCRJHEHJNRWFO;1;2022;PAR;1.0
ZSLQIYAYRWEPSNJJYCTS;1;2022;PAR;0.7692307690000001
ZRXTIDFVYYCPZLKMKZKW;2;2021;PAR;0.36666666700000006
ZQFQKYWXGZKJDKIVNNKE;2;2021;PAR;0.688172043
ZNYVVDNVANYSJAXLQJHW;2;2021;PAR;0.526315789
ZMRLCAXKYSTLVLBGINHU;1;2022;PAR;0.846153846
ZKTERCOZTANQWFMFUVCZ;5;2018;PAR;1.3666666669999998
ZKEGFGRAGDXJITISRBUS;2;2021;PAR;0.21739130399999998
ZITWJHMSYPDFQYOMFLWB;2;2021;PAR;2.153846154
ZIPPBAJMNAETMTWOIZNW;1;2022;PAR;0.0
ZHZARHZGPGULMDUTXYSY;2;2021;PAR;0.166666667
ZHVLSZRTMKMNVBSXJYTF;1;2022;PAR;0.153846154
ZGRDUNLVZBWVUGLCVUOI;2;2021;PAR;0.872093023
ZDZNTBNGRBQKLQTEXEJY;1;2022;PAR;1.153846154
ZDLHTYZUVQVOFPQOEFZO;3;2020;PAR;1.578378378
ZCAPWKSQDOIWKCSIKCRA;3;2020;PAR;1.41875
ZBCFCYMDMPRATEJFNCCB;3;2020;PAR;1.306451613
YYQOLNZSXZZBZDZULBLM;3;2020;PAR;2.1017964069999997
YVYSHGVKHQQMUYFSKLBI;1;2022;PAR;1.4615384619999998
YTQFEWNXUAMXKAHRJWBR;3;2020;PAR;1.89375
YSBMJLOZKMVAUUNAGPBK;4;2019;PAR;0.815642458
YPQIZMNIWDVWZJOKXHQD;2;2021;PAR;0.524390244
YPMONVHFQDEGKPFAOUWB;3;2020;PAR;2.4125
YNAQGGTVDGMMHNASGDVZ;4;2019;PAR;1.302702703
YLPTPBUNIYLHHBJMNUNC;2;2021;PAR;0.395348837
YLDJJRUUTSBJNBAUXJED;3;2020;PAR;1.865497076
YIVVEAZMQPVGHTPNBWRV;1;2022;PAR;1.230769231
