id;year;promo;city;gpa
ZVQFINOWTUEJDAVKIXZN;3;2020;REN;1.740963855
ZKGRRPXJIRLUTCGIFIVX;1;2022;REN;2.0714285709999998
ZJENESITBEYRBEUOFMBO;2;2021;REN;3.461538462
ZFRYHSPYXKAIZXFKEJRJ;3;2020;REN;1.151685393
YYFXQKHKIMBXBOVNWWNH;1;2022;REN;1.428571429
YSFOHEJELBMEAFVRYMLV;1;2022;REN;1.928571429
YQYGIYFSWHAWMQIBXTMP;3;2020;REN;2.4285714290000002
YIFCBEWHQBZTZTCNGAIP;3;2020;REN;3.450381679
YHHJKTJYNYUIQGJVYWEZ;3;2020;REN;2.657534247
YGRWWUUWCDJAOXUMHVWJ;1;2022;REN;1.285714286
YEDPXTKGQGFTNEWJYSUI;3;2020;REN;1.564935065
XVSRUYDBSMJRMMGEOMHR;3;2020;REN;3.8394160580000003
XHUBAERPDXWFVDGSMLDP;3;2020;REN;2.7108433730000003
XDSTVWTTVVLZQXBOHUUB;1;2022;REN;1.928571429
XCFPZERQOOULHYPDNRUD;3;2020;REN;1.740740741
XADGEDLRBUQKVJWWWXYC;3;2020;REN;3.5562913910000002
WXLIBNYBBJBULMYQLSHT;3;2020;REN;3.128834356
WXFGCJPMYVWTAGHQMBEY;1;2022;REN;1.571428571
WOOUNORDKUFYMGEMYSHA;1;2022;REN;4.0
WNIIOJOOTXFQBHIBFQBN;1;2022;REN;3.928571429
WCJCMMIIGTFRDCRHWIBY;1;2022;REN;2.642857143
WBEMQTCZEQZSPISWMQRZ;1;2022;REN;2.857142857
WBDBLOQUEXAMEGLUPXKN;1;2022;REN;0.7142857140000001
VUWBSEKEZLINFEQVLJOW;3;2020;REN;2.886792453
UZXRQCCYPKPQSYVHDAVM;1;2022;REN;2.4285714290000002
UQJBGEVFSQVQLKYLVVJU;3;2020;REN;2.03125
UOHGTXJWHDBHNWBCWDLM;1;2022;REN;0.28571428600000004
UNRCVUFWTYQLYKWARSBV;1;2022;REN;0.214285714
UNFHUSYIMDEBGCVCBCYI;1;2022;REN;1.357142857
UDJBUBGIGPSFWBUIQEOK;1;2022;REN;4.0
TWOQTQWAEBGCBBUZHECQ;1;2022;REN;3.428571429
TUXGGIAKMFRYPXTZKVPL;2;2021;REN;2.142857143
TSAJZFIRNGVFGXJZVQJA;3;2020;REN;3.294964029
TLLTKMIYXKZZIEKABSTH;1;2022;REN;3.214285714
TLFBNLGNULKEEPGYTAJO;1;2022;REN;2.642857143
TKCEATVSPCWDASQROJLX;4;2019;REN;1.358024691
