id;year;promo;city;gpa
ZWRTDPUCLOKPYLTIIDKF;2;2021;RUN;0.838709677
ZIBQIUFSFEBHHOBFNWSG;1;2022;RUN;0.857142857
ZBXEWASSFEOKJVEXJCOM;1;2022;RUN;1.142857143
YVDMATJDZCNAQGHRWGHX;1;2022;RUN;2.0
YSRZRLIPLSWPJPMOSZKX;1;2022;RUN;2.4285714290000002
YOHLQZYBBKNYIYQSYVZT;1;2022;RUN;2.5714285709999998
YNKPPBDTZOTQRZPGLXZO;1;2022;RUN;1.571428571
XZMFZWSSLDETUUIBQBMM;1;2022;RUN;0.428571429
XVELZWKJAOLKPMJUKKSH;2;2021;RUN;1.714285714
XNAPRKYNJOAKHXROEIDO;1;2022;RUN;2.0
XLTEMQGQWYWWNQYKRFRC;1;2022;RUN;0.857142857
XEZRKDIOLGUYWCTEEHYG;1;2022;RUN;2.0
WJVARNYRBPBTDQGLUHEI;1;2022;RUN;1.142857143
VTAZJEVTTPFVQULZQQPZ;1;2022;RUN;0.857142857
VFLQYYPAVKPTDWHKALLN;1;2022;RUN;1.571428571
URLBVLNZYORZJGATIQTQ;1;2022;RUN;0.571428571
TLNXCQEHISPMUESTOROK;1;2022;RUN;3.0
TKRYRCXAZRGQIDBXETCB;1;2022;RUN;0.857142857
TELMWGIQJSZIZHXXSPUK;2;2021;RUN;0.129032258
SWGTVNLMSPGUFEIHVHQQ;2;2021;RUN;0.534482759
SWBJDJAOHCVGTBSBKNXL;2;2021;RUN;0.644067797
SHLUUIITFOQNRBDWQRLC;1;2022;RUN;2.5714285709999998
SDZUMSDFJNZGYLKUPSSM;1;2022;RUN;1.428571429
RTVONQAMANTJRNXUYGIK;2;2021;RUN;0.38888888899999996
RMSINWTTLQVAWKHWXQBN;1;2022;RUN;1.142857143
PUCZIWUNUDEQFGRPVEOJ;1;2022;RUN;2.0
PNKXNFOWTZMMQTBQCZYM;1;2022;RUN;2.4285714290000002
PKFBPIYNHLEFHRFUSJZG;1;2022;RUN;1.142857143
NSXYWLMRBMASEXUADBUC;1;2022;RUN;0.571428571
NQLEXHAWOAOTKEQSPIPC;1;2022;RUN;2.0
NPJETNCGJSKNXEMYBMNS;1;2022;RUN;2.5714285709999998
NOVWCATRLNIOOBXKSLVP;2;2021;RUN;0.835616438
LZELOCRPISZEAZCAFRLU;1;2022;RUN;0.428571429
LSWNTZPVSPYYGAHBVZQR;2;2021;RUN;0.729166667
LIWLBKFZIKLWVDDFYLRZ;1;2022;RUN;0.857142857
LHPKYQVEPADUUBLSSUSU;1;2022;RUN;3.428571429
JQQCOYJBWKGDZDGQAFRX;1;2022;RUN;2.0
JFFYPJMZUVEAIHRVWMUQ;1;2022;RUN;0.0
IVBCGIYKKDECKORGNJAO;1;2022;RUN;1.571428571
ILJTCIUCOYRRYIYWXOHQ;1;2022;RUN;0.857142857
IIQARMGKDZMNLJKBWJWV;1;2022;RUN;1.571428571
IEDZPZIHMIPSIVMHJAMS;1;2022;RUN;4.0
HWGITHWJXFLOFUPDAXRA;1;2022;RUN;2.0
HNOWOKURRAHFATIVZODQ;2;2021;RUN;0.262295082
HKABBMLLFBVEIJFKJGXJ;2;2021;RUN;0.45945945899999996
GWBFDJAIIDMPJGXUFHGW;1;2022;RUN;0.0
GUIXPBMEIZFIRLATPPDB;2;2021;RUN;1.43902439
GAMLFVDKWKRZXKXRXXWC;2;2021;RUN;0.979166667
FPOBPJYWGLPUNLCRFNXS;1;2022;RUN;2.0
FAUFHWYCXNOZFXYNFEXS;1;2022;RUN;1.142857143
EMSGXRCSFBMEOHFETEYM;1;2022;RUN;1.428571429
EDUBWMXOFREUTIQSAFCB;1;2022;RUN;1.571428571
ECLTNZRMYFQQENDACHWV;1;2022;RUN;0.428571429
BNMRLBABNAOBBXFPKZJD;1;2022;RUN;2.5714285709999998
BLWTVBWCEDUQHAGTPXFM;1;2022;RUN;1.571428571
