Source;Target;Code_Activity;timestamp_start;timestamp_end;Start;End;Cluster
PNKXNFOWTZMMQTBQCZYM;BNMRLBABNAOBBXFPKZJD;295440;1545174000;1545174000;19/12/2018;19/12/2018;1
PNKXNFOWTZMMQTBQCZYM;BNMRLBABNAOBBXFPKZJD;295768;1541372400;1542495600;05/11/2018;18/11/2018;1
PNKXNFOWTZMMQTBQCZYM;BNMRLBABNAOBBXFPKZJD;295785;1546815600;1547938800;07/01/2019;20/01/2019;1
PNKXNFOWTZMMQTBQCZYM;BNMRLBABNAOBBXFPKZJD;295774;1543705200;1544223600;02/12/2018;08/12/2018;1
PNKXNFOWTZMMQTBQCZYM;BNMRLBABNAOBBXFPKZJD;295787;1547938800;1548457200;20/01/2019;26/01/2019;1
PNKXNFOWTZMMQTBQCZYM;BNMRLBABNAOBBXFPKZJD;295777;1543791600;1544914800;03/12/2018;16/12/2018;1
PNKXNFOWTZMMQTBQCZYM;TLNXCQEHISPMUESTOROK;295440;1545174000;1545174000;19/12/2018;19/12/2018;1
PNKXNFOWTZMMQTBQCZYM;TLNXCQEHISPMUESTOROK;295770;1542495600;1543014000;18/11/2018;24/11/2018;1
PNKXNFOWTZMMQTBQCZYM;TLNXCQEHISPMUESTOROK;297636;1540332000;1540677600;24/10/2018;28/10/2018;1
PNKXNFOWTZMMQTBQCZYM;TLNXCQEHISPMUESTOROK;295772;1542582000;1543705200;19/11/2018;02/12/2018;1
PNKXNFOWTZMMQTBQCZYM;XEZRKDIOLGUYWCTEEHYG;295440;1545174000;1545174000;19/12/2018;19/12/2018;1
PNKXNFOWTZMMQTBQCZYM;XEZRKDIOLGUYWCTEEHYG;297635;1540159200;1541286000;22/10/2018;04/11/2018;1
PNKXNFOWTZMMQTBQCZYM;SWBJDJAOHCVGTBSBKNXL;297255;1539381600;1539468000;13/10/2018;14/10/2018;0
PNKXNFOWTZMMQTBQCZYM;YSRZRLIPLSWPJPMOSZKX;295440;1545174000;1545174000;19/12/2018;19/12/2018;1
PNKXNFOWTZMMQTBQCZYM;YNKPPBDTZOTQRZPGLXZO;297240;1538776800;1538863200;06/10/2018;07/10/2018;1
PNKXNFOWTZMMQTBQCZYM;XZMFZWSSLDETUUIBQBMM;295440;1545174000;1545174000;19/12/2018;19/12/2018;1
PNKXNFOWTZMMQTBQCZYM;BLWTVBWCEDUQHAGTPXFM;297640;1540591200;1540591200;27/10/2018;27/10/2018;0
EMSGXRCSFBMEOHFETEYM;JFFYPJMZUVEAIHRVWMUQ;297636;1540332000;1540677600;24/10/2018;28/10/2018;0
EMSGXRCSFBMEOHFETEYM;JFFYPJMZUVEAIHRVWMUQ;295768;1541372400;1542495600;05/11/2018;18/11/2018;0
EMSGXRCSFBMEOHFETEYM;JFFYPJMZUVEAIHRVWMUQ;295770;1542495600;1543014000;18/11/2018;24/11/2018;0
EMSGXRCSFBMEOHFETEYM;JFFYPJMZUVEAIHRVWMUQ;295772;1542582000;1543705200;19/11/2018;02/12/2018;0
EMSGXRCSFBMEOHFETEYM;JFFYPJMZUVEAIHRVWMUQ;295785;1546815600;1547938800;07/01/2019;20/01/2019;0
EMSGXRCSFBMEOHFETEYM;JFFYPJMZUVEAIHRVWMUQ;295774;1543705200;1544223600;02/12/2018;08/12/2018;0
EMSGXRCSFBMEOHFETEYM;BLWTVBWCEDUQHAGTPXFM;295781;1545001200;1546729200;17/12/2018;06/01/2019;3
EMSGXRCSFBMEOHFETEYM;BLWTVBWCEDUQHAGTPXFM;295787;1547938800;1548457200;20/01/2019;26/01/2019;3
EMSGXRCSFBMEOHFETEYM;BLWTVBWCEDUQHAGTPXFM;297635;1540159200;1541286000;22/10/2018;04/11/2018;3
EMSGXRCSFBMEOHFETEYM;BLWTVBWCEDUQHAGTPXFM;295440;1545174000;1545174000;19/12/2018;19/12/2018;3
EMSGXRCSFBMEOHFETEYM;VTAZJEVTTPFVQULZQQPZ;295440;1545174000;1545174000;19/12/2018;19/12/2018;3
EMSGXRCSFBMEOHFETEYM;IVBCGIYKKDECKORGNJAO;297240;1538776800;1538863200;06/10/2018;07/10/2018;0
EMSGXRCSFBMEOHFETEYM;FPOBPJYWGLPUNLCRFNXS;297255;1539381600;1539468000;13/10/2018;14/10/2018;0
EMSGXRCSFBMEOHFETEYM;RMSINWTTLQVAWKHWXQBN;297635;1540159200;1541286000;22/10/2018;04/11/2018;3
EMSGXRCSFBMEOHFETEYM;TKRYRCXAZRGQIDBXETCB;295440;1545174000;1545174000;19/12/2018;19/12/2018;3
EMSGXRCSFBMEOHFETEYM;YNKPPBDTZOTQRZPGLXZO;297640;1540591200;1540591200;27/10/2018;27/10/2018;0
EMSGXRCSFBMEOHFETEYM;PKFBPIYNHLEFHRFUSJZG;295440;1545174000;1545174000;19/12/2018;19/12/2018;3
EMSGXRCSFBMEOHFETEYM;WJVARNYRBPBTDQGLUHEI;295440;1545174000;1545174000;19/12/2018;19/12/2018;3
GAMLFVDKWKRZXKXRXXWC;SWGTVNLMSPGUFEIHVHQQ;274302;1520722800;1523138400;11/03/2018;08/04/2018;4
GAMLFVDKWKRZXKXRXXWC;SWGTVNLMSPGUFEIHVHQQ;281958;1518303600;1520031600;11/02/2018;03/03/2018;4
GAMLFVDKWKRZXKXRXXWC;SWGTVNLMSPGUFEIHVHQQ;281961;1522447200;1524261600;31/03/2018;21/04/2018;4
GAMLFVDKWKRZXKXRXXWC;SWGTVNLMSPGUFEIHVHQQ;274829;1519513200;1522792800;25/02/2018;04/04/2018;4
GAMLFVDKWKRZXKXRXXWC;SWGTVNLMSPGUFEIHVHQQ;255466;1508709600;1509836400;23/10/2017;05/11/2017;4
GAMLFVDKWKRZXKXRXXWC;XVELZWKJAOLKPMJUKKSH;275685;1523829600;1524261600;16/04/2018;21/04/2018;0
GAMLFVDKWKRZXKXRXXWC;XVELZWKJAOLKPMJUKKSH;275687;1525039200;1525557600;30/04/2018;06/05/2018;0
GAMLFVDKWKRZXKXRXXWC;XVELZWKJAOLKPMJUKKSH;275689;1526248800;1526767200;14/05/2018;20/05/2018;0
GAMLFVDKWKRZXKXRXXWC;XVELZWKJAOLKPMJUKKSH;275686;1524434400;1524866400;23/04/2018;28/04/2018;0
GAMLFVDKWKRZXKXRXXWC;XVELZWKJAOLKPMJUKKSH;275688;1525644000;1526162400;07/05/2018;13/05/2018;0
GAMLFVDKWKRZXKXRXXWC;IEDZPZIHMIPSIVMHJAMS;295440;1545174000;1545174000;19/12/2018;19/12/2018;4
GAMLFVDKWKRZXKXRXXWC;IEDZPZIHMIPSIVMHJAMS;295777;1543791600;1544914800;03/12/2018;16/12/2018;4
GAMLFVDKWKRZXKXRXXWC;IEDZPZIHMIPSIVMHJAMS;297635;1540159200;1541286000;22/10/2018;04/11/2018;4
GAMLFVDKWKRZXKXRXXWC;IEDZPZIHMIPSIVMHJAMS;297636;1540332000;1540677600;24/10/2018;28/10/2018;4
GAMLFVDKWKRZXKXRXXWC;JQQCOYJBWKGDZDGQAFRX;295440;1545174000;1545174000;19/12/2018;19/12/2018;4
