Source;Target;Code_Activity;timestamp_start;timestamp_end;Start;End;Cluster
AVCCICJHCSOPHUNUYMIP;BQBGBTASGDPKKPSWCNKL;297480;1540332000;1540677600;24/10/2018;28/10/2018;1
AVCCICJHCSOPHUNUYMIP;BQBGBTASGDPKKPSWCNKL;295486;1546815600;1547938800;07/01/2019;20/01/2019;1
AVCCICJHCSOPHUNUYMIP;BQBGBTASGDPKKPSWCNKL;297479;1540159200;1541286000;22/10/2018;04/11/2018;1
AVCCICJHCSOPHUNUYMIP;BXCYXDMMQOLHDUQSKQDG;295473;1542582000;1543705200;19/11/2018;02/12/2018;1
AVCCICJHCSOPHUNUYMIP;BXCYXDMMQOLHDUQSKQDG;295482;1545001200;1546729200;17/12/2018;06/01/2019;1
AVCCICJHCSOPHUNUYMIP;BDKIPRHVWAOGGHVGEQDY;297484;1540591200;1540591200;27/10/2018;27/10/2018;1
AVCCICJHCSOPHUNUYMIP;BDKIPRHVWAOGGHVGEQDY;297479;1540159200;1541286000;22/10/2018;04/11/2018;1
AVCCICJHCSOPHUNUYMIP;NGXMLXOAQGQEJWIJZGSS;296722;1539381600;1539468000;13/10/2018;14/10/2018;0
AVCCICJHCSOPHUNUYMIP;DWGFSYVYUUATMJIHJNJJ;295478;1543791600;1544914800;03/12/2018;16/12/2018;0
AVCCICJHCSOPHUNUYMIP;QGDXKEBYTEHHEVPSODDX;295469;1541372400;1542495600;05/11/2018;18/11/2018;1
QGDXKEBYTEHHEVPSODDX;DWGFSYVYUUATMJIHJNJJ;297480;1540332000;1540677600;24/10/2018;28/10/2018;0
QGDXKEBYTEHHEVPSODDX;DWGFSYVYUUATMJIHJNJJ;296722;1539381600;1539468000;13/10/2018;14/10/2018;0
QGDXKEBYTEHHEVPSODDX;DWGFSYVYUUATMJIHJNJJ;295486;1546815600;1547938800;07/01/2019;20/01/2019;0
QGDXKEBYTEHHEVPSODDX;BQBGBTASGDPKKPSWCNKL;295471;1542582000;1543100400;19/11/2018;25/11/2018;1
QGDXKEBYTEHHEVPSODDX;BQBGBTASGDPKKPSWCNKL;295482;1545001200;1546729200;17/12/2018;06/01/2019;1
QGDXKEBYTEHHEVPSODDX;BQBGBTASGDPKKPSWCNKL;295473;1542582000;1543705200;19/11/2018;02/12/2018;1
QGDXKEBYTEHHEVPSODDX;AQDHIOJVHYEWMHUYNZLG;297479;1540159200;1541286000;22/10/2018;04/11/2018;0
QGDXKEBYTEHHEVPSODDX;AQDHIOJVHYEWMHUYNZLG;297484;1540591200;1540591200;27/10/2018;27/10/2018;0
QGDXKEBYTEHHEVPSODDX;AQDHIOJVHYEWMHUYNZLG;296707;1538776800;1538863200;06/10/2018;07/10/2018;0
QGDXKEBYTEHHEVPSODDX;AVCCICJHCSOPHUNUYMIP;295469;1541372400;1542495600;05/11/2018;18/11/2018;1
QGDXKEBYTEHHEVPSODDX;BDKIPRHVWAOGGHVGEQDY;295478;1543791600;1544914800;03/12/2018;16/12/2018;1
