id;year;promo;city;gpa
ZXDHXYLJKEHEXKAHCNFE;1;2022;TLS;2.076923077
ZNWIKANJFJLPZSCPJVRE;1;2022;TLS;0.14285714300000002
ZNDMPQMYKBWYGCANORJP;3;2020;TLS;3.425806452
ZJVWNNWDEEGGURVYGQMM;3;2020;TLS;2.03030303
ZHKYFESTNMSLYMQHUWTV;2;2021;TLS;1.125
ZCRQCZPEDVAZRSMPESHD;3;2020;TLS;1.8554913290000001
YTGWTGVAJEXCFGFNHPTX;1;2022;TLS;1.214285714
YTBBZMNJRSEOUPHTQBHV;3;2020;TLS;1.796296296
YJSIEOAMZUTEATQVALWB;3;2020;TLS;1.25862069
YDQMKKZPSSKEVQYXXEXZ;2;2021;TLS;1.1304347829999999
XTONFYHJYYCIYQPVOUXC;3;2020;TLS;1.165745856
XSIBXOSTAGUKRVCGWLBX;1;2022;TLS;3.428571429
WYDYCSKNGRNHOIAWCLVK;1;2022;TLS;0.0
WWGLDFTUSZEFABTJNZQX;3;2020;TLS;2.251572327
WUIUHTJMSKGXAKSHQYTO;1;2022;TLS;1.214285714
WLUKGCLGEAWMLMZCZWAH;3;2020;TLS;2.940789474
WHMKQWXRQWXBJBSACJYH;3;2020;TLS;1.7159090909999999
WHCMKRWVMZALICDXSZHL;3;2020;TLS;2.296052632
WEGTXSMJZBOSKTFVSWLT;1;2022;TLS;0.7857142859999999
WEDFIWMBUANCEPLMSHIS;1;2022;TLS;0.5
WAHOVXIQGNIZANRPIYLI;3;2020;TLS;2.25
WAGAAZMGOBPHVKFERTEA;1;2022;TLS;1.857142857
VTQHSKRNBGKPPUWPSRMZ;1;2022;TLS;0.833333333
VSECABIUMGWNFSHZJFRD;1;2022;TLS;1.5
VQTRSSXBXWJVHFTCMTGJ;1;2022;TLS;1.076923077
VPKSTCJUGOFGTHOAVGUO;3;2020;TLS;2.333333333
VPEJBBXVKCUGNMDWDQWD;3;2020;TLS;2.122807018
VBSYQFBNFDLFPIWIMVMI;3;2020;TLS;1.987730061
UZUZXYEEYRTJFSGLNAUA;1;2022;TLS;0.692307692
UXYMJGYTVZKJPFYKDFEK;1;2022;TLS;0.0
UXCXINQBTLSKVUQFZPOV;3;2020;TLS;2.335443038
UURWXWAMLCRNZLZPRHCQ;1;2022;TLS;0.9285714290000001
UPVINQPJYUVGZABYLYOL;5;2018;TLS;1.183168317
UMFVUIHEDWLPNZLLDCCM;1;2022;TLS;1.214285714
UIYMOEIHUWBMYMFVTJTM;2;2021;TLS;0.527272727
UHVRROCZNXSAXZRMCMSR;3;2020;TLS;3.4266666669999997
UGFEQALJBTOLYOYWKOSY;1;2022;TLS;0.7142857140000001
TSFSDORJIYOOOBCRGXEM;3;2020;TLS;1.263157895
TLWEKJESAVGTUIHNOJFV;3;2020;TLS;1.273743017
THAFTSKJQWPBTIAZBQFJ;1;2022;TLS;1.214285714
TGTKYAROMFPHATEYQGLC;5;2018;TLS;1.230392157
TFIXNXONGUPCFVYVAGHF;1;2022;TLS;2.142857143
TDOFSPTODGHGYOZQULAH;3;2020;TLS;2.3181818180000002
TBLLJWVBETMECURHNMKY;3;2020;TLS;1.267716535
SLGYYWFPYOKNGQCNIYKY;1;2022;TLS;1.142857143
SIQJHYHVPGEXLAWCWIWK;2;2021;TLS;1.3125
SBIHXCHLZWFKQGHDYBUT;3;2020;TLS;2.552325581
RTOIDLLWPLYXFLDFFLTL;1;2022;TLS;1.928571429
RTJAQAUQYBHESTVUITIH;1;2022;TLS;1.857142857
RNKYMVMXQBIIUQUFHOIU;3;2020;TLS;2.9324324319999997
RFNQUIRJLLPKJPEMNCNG;1;2022;TLS;1.928571429
RCCXIWSJRHFKHXBKZVSA;2;2021;TLS;1.727272727
QPBCSYKDGTZVDDXORVPK;3;2020;TLS;0.953757225
QJKJCVDKJYWOTSBMWNWO;1;2022;TLS;0.23076923100000002
QCHTFSHOGUOVXOUVULJP;3;2020;TLS;2.673469388
PZRAEQXHGJZCZTANXWZN;4;2019;TLS;0.659836066
PZFWRTXLBEWXKLQDKBOY;3;2020;TLS;1.886227545
PYTBPOUKDBQTILVMZXTT;3;2020;TLS;2.01754386
PUCHORWGSJASYRNNEJNG;1;2022;TLS;1.428571429
PSZFRVMOABLXCCYQTQSF;3;2020;TLS;1.814371257
PKQYJJXBLOJUBBDRQCYR;2;2021;TLS;3.095238095
PFWAVKRRDRLAGBHOJFBH;2;2021;TLS;0.655172414
OSDUDRFCNYGCPCXLLNRN;3;2020;TLS;1.6470588240000001
ORTLMVOLRBAUUNYMODZI;2;2021;TLS;1.964285714
ORMRMYTRMIQIWWAWBNDY;4;2019;TLS;3.0625
OOPPVFKYZPXAQDLTTHEP;3;2020;TLS;1.5649717509999999
OONICWVJQUULNETGJAGO;1;2022;TLS;1.857142857
ONZVGCGJYZHYKPKUZWGD;1;2022;TLS;0.7142857140000001
OKVNBDJZKMWJUBIKYECF;1;2022;TLS;0.5
ODQDESNQCSGLELDEILRC;4;2019;TLS;1.561111111
NUZHLRGEQITZSSAPVSTJ;2;2021;TLS;0.846153846
NUQAQFOZMWUEPTLYEIYQ;2;2021;TLS;1.153846154
NLIOQECUVMFMKEIOFRUC;1;2022;TLS;0.0
NHRFQFCGATQEUMZGLVKI;1;2022;TLS;0.7142857140000001
NEFCBEHNDOHJCAIONCUZ;1;2022;TLS;1.5
NDMCBIJBBUSORGBCEALR;3;2020;TLS;2.2012195119999998
NDJXGHVOHDIWTOZCOGBR;1;2022;TLS;0.7692307690000001
MYWBAVBKSCOPMZHFBQEL;3;2020;TLS;2.7012987010000002
MPGSYMMHMDWLSTJTABRX;3;2020;TLS;1.393939394
MMICXLJXKUNMPCYXVSYE;1;2022;TLS;3.538461538
MMGNQRQAEHKKQKZWQZNG;3;2020;TLS;2.18404908
MJXKGIDLUDCOPQHREFUS;1;2022;TLS;1.428571429
MIWZZKUSKBFZRDLLIXVT;1;2022;TLS;1.714285714
LWWOQBFULWTLTJXXXNRH;3;2020;TLS;1.607734807
LPPIKNBDJTBVTBWKDYTL;3;2020;TLS;1.964285714
KVMTBNXOAYLRBQEZSSNM;1;2022;TLS;0.7142857140000001
KOZSEWMCKNHCJZCUXIXH;3;2020;TLS;1.922619048
KBLYZPXVJRHAHUEDLIMX;1;2022;TLS;1.714285714
JYWGBXGQTAKBWUHRBISJ;3;2020;TLS;1.607734807
JUCYFSFXMTRQICNAGBQS;3;2020;TLS;1.532544379
JRINLTNQVLBXBBKTNIQF;3;2020;TLS;2.891156463
JGMUFFWVEUYEEUUZIHQW;1;2022;TLS;0.857142857
JAJQDHREQVECFPSMBDQN;1;2022;TLS;2.285714286
IXBIDIOTFVHQMYFOFIPK;3;2020;TLS;1.690217391
IUVFNNHEPBGCCAJZTKOZ;1;2022;TLS;1.714285714
IQXPXSBTVDQLKZWIEVVZ;3;2020;TLS;1.0909090909999999
IQUJELYFSVISLMVDNBMF;3;2020;TLS;2.917197452
IQGISXYIVFTWHDYYQIUA;1;2022;TLS;3.142857143
INJJHVEZRHQLNQYRJAUF;4;2019;TLS;1.125628141
IHISGQLYKQHUBHMNZLPH;3;2020;TLS;1.288888889
IHASKQSLQZLRQQEUTIQI;1;2022;TLS;0.14285714300000002
IAUQPUVKZNPVUQVCFKRR;3;2020;TLS;2.075
IAHMTPZLOZYRGODPTOUW;1;2022;TLS;2.785714286
HXULDWGPFNJWUBCIXPFP;4;2019;TLS;1.348837209
HUXSUNHTILFBMXQOSDTL;1;2022;TLS;0.7857142859999999
HUJJQFUCJNYMGTYDYKZN;1;2022;TLS;2.0714285709999998
HTRMCLMSZELJKIYDNCME;3;2020;TLS;2.0645161290000003
HTFJNUFDEAPNUAYBXTUN;2;2021;TLS;0.666666667
